,who,did,tesla,credit,for,his,abilities,?
nikola,0.22927239537239075,0.1303156167268753,0.5656248331069946,0.10279339551925659,0.16655883193016052,0.15682895481586456,0.1940677911043167,0.06297405064105988
credited,0.26110976934432983,0.2554740309715271,0.07292511314153671,0.6531762480735779,0.19538459181785583,0.26905950903892517,0.1578148603439331,0.06334620714187622
his,0.44966956973075867,0.3546801507472992,0.1580733060836792,0.2684380114078522,0.39312878251075745,0.9999998807907104,0.3117562532424927,0.18075084686279297
eidetic,0.2254079431295395,0.20438118278980255,0.25827544927597046,0.22298382222652435,0.3054293990135193,0.2313608080148697,0.2213951051235199,0.24621257185935974
memory,0.17716307938098907,0.12954865396022797,0.23510560393333435,0.18173211812973022,0.2050125151872635,0.15526065230369568,0.2558339238166809,0.1397676020860672
and,0.41279885172843933,0.34479495882987976,0.19560420513153076,0.22868889570236206,0.5064792633056641,0.4234102666378021,0.304757297039032,0.20544172823429108
creative,0.2546914219856262,0.24680769443511963,0.22929537296295166,0.3622478246688843,0.33405324816703796,0.2787231504917145,0.27351346611976624,0.1945163905620575
abilities,0.31004053354263306,0.2688460350036621,0.22979404032230377,0.224111407995224,0.28076139092445374,0.3117562532424927,1.0000001192092896,0.1976996213197708
to,0.42656609416007996,0.4452643394470215,0.17548894882202148,0.20738251507282257,0.4451248347759247,0.3715193271636963,0.3397108018398285,0.29463258385658264
his,0.44966956973075867,0.3546801507472992,0.1580733060836792,0.2684380114078522,0.39312878251075745,0.9999998807907104,0.3117562532424927,0.18075084686279297
mother,0.3498775064945221,0.236347496509552,0.0837036594748497,0.10119680315256119,0.15797074139118195,0.3978782892227173,0.13847516477108002,0.15180644392967224
's,0.05599616840481758,0.05069678649306297,0.06449045985937119,0.09795784205198288,-0.07241261005401611,0.047556519508361816,0.019947443157434464,-0.023395681753754616
genetics,0.2013283371925354,0.14495596289634705,0.2071499526500702,0.18472400307655334,0.23274339735507965,0.18752466142177582,0.25046995282173157,0.17386814951896667
and,0.41279885172843933,0.34479495882987976,0.19560420513153076,0.22868889570236206,0.5064792633056641,0.4234102666378021,0.304757297039032,0.20544172823429108
influence,0.2847938537597656,0.2526049315929413,0.09356265515089035,0.18869274854660034,0.22429068386554718,0.36487501859664917,0.2645356357097626,0.14200882613658905
.,0.3541337847709656,0.35288307070732117,0.17949827015399933,0.2024930715560913,0.4726039469242096,0.3119256794452667,0.2075580358505249,0.4130953550338745
