,what,is,the,central,article,of,the,christian,doctrine,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3417201042175293,0.3329811692237854,0.733189046382904,1.0,0.19930796325206757,0.23041051626205444,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.24005284905433655,0.23075944185256958,0.4178851246833801,0.47635307908058167,0.12098297476768494,0.17092369496822357,0.2107497900724411
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.2945139706134796,0.28756630420684814,0.43301743268966675,0.39348116517066956,0.1367737203836441,0.16219118237495422,0.17812499403953552
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.20646226406097412,0.31357312202453613,0.4185989499092102,0.4739971458911896,0.16278709471225739,0.1461196392774582,0.264628142118454
luther,0.2134782373905182,0.08282390236854553,0.1759674996137619,0.10148236155509949,0.19333717226982117,0.1719115972518921,0.1759674996137619,0.36969617009162903,0.34285056591033936,0.1732746809720993
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.21519865095615387,0.26395970582962036,0.4069072902202606,0.48711544275283813,0.21208207309246063,0.1871018409729004,0.18412111699581146
the,0.42745697498321533,0.5823672413825989,1.0,0.3417201042175293,0.3329811692237854,0.733189046382904,1.0,0.19930796325206757,0.23041051626205444,0.22068053483963013
doctrine,0.3112909197807312,0.15716557204723358,0.23041051626205444,0.20976762473583221,0.2615813612937927,0.23378130793571472,0.23041051626205444,0.4075440466403961,0.9999999403953552,0.21789313852787018
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3415789008140564,0.25720444321632385,1.0,0.733189046382904,0.23494116961956024,0.23378130793571472,0.1826142966747284
justification,0.41217631101608276,0.2093798965215683,0.26831284165382385,0.2292940616607666,0.43008849024772644,0.2991276681423187,0.26831284165382385,0.28002896904945374,0.451293408870697,0.4005378186702728
–,0.13008765876293182,0.1436920464038849,0.2607575058937073,0.13086025416851044,0.14180846512317657,0.2799985408782959,0.2607575058937073,0.23223210871219635,0.15016932785511017,0.2714554965496063
god,0.3127830922603607,0.2211674600839615,0.24689088761806488,0.024188246577978134,0.23937050998210907,0.2159487009048462,0.24689088761806488,0.27349409461021423,0.3320010006427765,0.23396754264831543
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.03171226754784584,-0.02360285259783268,-0.03817026689648628,-0.01540423184633255,0.06999260932207108,-0.004191047511994839,-0.023395681753754616
act,0.2622668445110321,0.18206438422203064,0.28682878613471985,0.1500396579504013,0.14247287809848785,0.2802577316761017,0.28682878613471985,0.09987520426511765,0.25676366686820984,0.1482519507408142
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3415789008140564,0.25720444321632385,1.0,0.733189046382904,0.23494116961956024,0.23378130793571472,0.1826142966747284
declaring,0.31397342681884766,0.16035866737365723,0.28212109208106995,0.16133275628089905,0.25338035821914673,0.3457174301147461,0.28212109208106995,0.1648103892803192,0.4193981885910034,0.22835050523281097
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26925721764564514,0.30913418531417847,0.5052502155303955,0.5829201340675354,0.1843954622745514,0.14698471128940582,0.23916715383529663
sinner,0.3065337836742401,0.234376460313797,0.24675686657428741,0.06287871301174164,0.18168263137340546,0.23442524671554565,0.24675686657428741,0.34127113223075867,0.346233606338501,0.2661270201206207
righteous,0.3436237871646881,0.15902668237686157,0.24047143757343292,0.12195058912038803,0.19112834334373474,0.26222315430641174,0.24047143757343292,0.2934601306915283,0.36052069067955017,0.2148566097021103
–,0.13008765876293182,0.1436920464038849,0.2607575058937073,0.13086025416851044,0.14180846512317657,0.2799985408782959,0.2607575058937073,0.23223210871219635,0.15016932785511017,0.2714554965496063
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.14742699265480042,0.22247393429279327,0.3646814823150635,0.4408751428127289,0.1705523282289505,0.1644960641860962,0.17966607213020325
faith,0.3120079040527344,0.2154717594385147,0.20665863156318665,0.09555616974830627,0.25150105357170105,0.20991961658000946,0.20665863156318665,0.4729708433151245,0.4240439236164093,0.2833177447319031
alone,0.3431425094604492,0.224456325173378,0.2769272029399872,0.1397748738527298,0.2222503423690796,0.2295283079147339,0.2769272029399872,0.175996333360672,0.1606185883283615,0.25589054822921753
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.25242578983306885,0.17626215517520905,0.3647414743900299,0.44071322679519653,0.11040846258401871,0.16118238866329193,0.16913433372974396
god,0.3127830922603607,0.2211674600839615,0.24689088761806488,0.024188246577978134,0.23937050998210907,0.2159487009048462,0.24689088761806488,0.27349409461021423,0.3320010006427765,0.23396754264831543
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.03171226754784584,-0.02360285259783268,-0.03817026689648628,-0.01540423184633255,0.06999260932207108,-0.004191047511994839,-0.023395681753754616
grace,0.16722138226032257,0.17061445116996765,0.20940588414669037,0.13293997943401337,0.19179074466228485,0.2101200968027115,0.20940588414669037,0.26604607701301575,0.3074033856391907,0.16775278747081757
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.3193301260471344,0.30669885873794556,0.5352458953857422,0.5934505462646484,0.2474701702594757,0.19162513315677643,0.4130953550338745
,what,is,the,central,article,of,the,christian,doctrine,?
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.03992777690291405,0.025853512808680534,0.06780257821083069,0.029072100296616554,0.03815840184688568,0.10813269019126892,0.0685480609536171
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.2078123539686203,0.46649065613746643,0.45148900151252747,0.6274310946464539,0.1363266259431839,0.2466030865907669,0.3155723512172699
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.18192924559116364,0.28421956300735474,0.4999135136604309,0.5514441132545471,0.1878010630607605,0.15954571962356567,0.2673267424106598
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2465941160917282,0.23647621273994446,0.5116966962814331,0.5171257257461548,0.210403174161911,0.16517424583435059,0.20544172823429108
firm,0.15721003711223602,0.20598553121089935,0.185079887509346,0.1211744174361229,0.16123880445957184,0.16486702859401703,0.185079887509346,0.19417425990104675,0.22768999636173248,0.08762375265359879
rock,0.1923677921295166,0.1981455236673355,0.23786304891109467,0.09958446025848389,0.16283729672431946,0.2653365731239319,0.23786304891109467,0.24045075476169586,0.09249608218669891,0.13172835111618042
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2587154507637024,0.28605279326438904,0.4946078956127167,0.4933079481124878,0.23595517873764038,0.15962223708629608,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.2778315246105194,0.3171063959598541,0.5011631846427917,0.6521818041801453,0.13629037141799927,0.27833762764930725,0.25814583897590637
we,0.5622460842132568,0.2876903712749481,0.3206169009208679,0.10434825718402863,0.5018615126609802,0.2769293785095215,0.3206169009208679,0.19684220850467682,0.25451597571372986,0.535264790058136
call,0.3242133855819702,0.2742006778717041,0.26640447974205017,0.10338683426380157,0.20472316443920135,0.2378445267677307,0.26640447974205017,0.11873601377010345,0.14330188930034637,0.23091886937618256
the,0.42745697498321533,0.5823672413825989,1.0,0.3417201042175293,0.3329811692237854,0.733189046382904,1.0,0.19930796325206757,0.23041051626205444,0.22068053483963013
doctrine,0.3112909197807312,0.15716557204723358,0.23041051626205444,0.20976762473583221,0.2615813612937927,0.23378130793571472,0.23041051626205444,0.4075440466403961,0.9999999403953552,0.21789313852787018
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3415789008140564,0.25720444321632385,1.0,0.733189046382904,0.23494116961956024,0.23378130793571472,0.1826142966747284
