,when,were,attacks,on,teachers,the,highest,?
a,0.44397395849227905,0.17203083634376526,0.24573074281215668,0.3848365545272827,0.2509842813014984,0.5829201340675354,0.23707912862300873,0.23916715383529663
growing,0.2794452905654907,0.19665975868701935,0.19541358947753906,0.1896074265241623,0.14682292938232422,0.33280637860298157,0.15438877046108246,0.10178618133068085
cause,0.36268818378448486,0.16935448348522186,0.2273973971605301,0.2381288707256317,0.11293970793485641,0.2551237642765045,0.10341980308294296,0.240532785654068
of,0.3757161796092987,0.34038281440734863,0.18891674280166626,0.3966929316520691,0.27737662196159363,0.733189046382904,0.3223685622215271,0.1826142966747284
concern,0.25020232796669006,0.22425255179405212,0.24358777701854706,0.176092728972435,0.17425408959388733,0.23735320568084717,0.21920479834079742,0.3455961048603058
are,0.29873907566070557,0.6489362716674805,0.2667422592639923,0.268924742937088,0.2565288841724396,0.40399202704429626,0.16502201557159424,0.24591213464736938
that,0.5860282182693481,0.35517072677612305,0.2314392775297165,0.42569106817245483,0.24071024358272552,0.5473989248275757,0.1878446489572525,0.32716336846351624
attacks,0.27656251192092896,0.2431853711605072,0.9999999403953552,0.2935330867767334,0.11091060936450958,0.2845265567302704,0.059810250997543335,0.14532065391540527
on,0.37706470489501953,0.2774328887462616,0.2935330867767334,0.9999999403953552,0.24610933661460876,0.5107308030128479,0.21068012714385986,0.2714994251728058
teachers,0.2084542065858841,0.26511338353157043,0.11091060936450958,0.24610933661460876,1.0,0.22025763988494873,0.1360860913991928,0.19522249698638916
in,0.4431333839893341,0.3815755248069763,0.223388671875,0.46853652596473694,0.2128150761127472,0.6662389636039734,0.3400614559650421,0.20430970191955566
welsh,0.10229820758104324,0.17476963996887207,0.11609465628862381,0.14429384469985962,0.1403873711824417,0.181475430727005,0.08651761710643768,0.0826316848397255
schools,0.16826190054416656,0.2387605458498001,0.1464446634054184,0.18452578783035278,0.5533654689788818,0.22905772924423218,0.20857633650302887,0.18349280953407288
which,0.572554349899292,0.2807837128639221,0.2929956614971161,0.4245251417160034,0.17664629220962524,0.6521818041801453,0.2561801075935364,0.25814583897590637
reached,0.22692134976387024,0.27639803290367126,0.1893419623374939,0.321969211101532,0.15568052232265472,0.29860952496528625,0.342646062374115,0.1518019139766693
an,0.33026179671287537,0.08893381804227829,0.1693469136953354,0.3192969560623169,0.12090782821178436,0.4207492768764496,0.20518521964550018,0.19793890416622162
all-time,0.34502193331718445,0.3332447409629822,0.25526100397109985,0.3246498107910156,0.2577279806137085,0.35489556193351746,0.2829586863517761,0.324725866317749
high,0.20577524602413177,0.15924203395843506,0.09873289614915848,0.20843200385570526,0.24631401896476746,0.28034812211990356,0.4382160007953644,0.11137914657592773
between,0.38258615136146545,0.27047741413116455,0.2005220651626587,0.3335416913032532,0.0932917594909668,0.39067012071609497,0.16059060394763947,0.12887074053287506
2005,0.001997772604227066,0.14405988156795502,-0.020099278539419174,0.018048860132694244,0.07854188233613968,0.037273142486810684,-0.016253937035799026,0.10709824413061142
and,0.4716290831565857,0.42175528407096863,0.28638073801994324,0.4077630043029785,0.28640416264533997,0.5171257257461548,0.22372882068157196,0.20544172823429108
2010,0.1552559733390808,0.3102222681045532,0.05855758488178253,0.18072794377803802,0.20494592189788818,0.31722962856292725,0.20087288320064545,0.21232788264751434
.,0.475719153881073,0.3378238379955292,0.295037180185318,0.49257001280784607,0.24628326296806335,0.5934505462646484,0.2254713773727417,0.4130953550338745
