,what,type,of,disability,would,a,teacher,help,a,student,with,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.16781824827194214,0.4133751392364502,0.5829201340675354,0.17760860919952393,0.30064165592193604,0.5829201340675354,0.21259291470050812,0.4223487675189972,0.22068053483963013
teacher,0.20492632687091827,0.13493123650550842,0.19968076050281525,0.28013336658477783,0.18345347046852112,0.31202319264411926,0.9999998807907104,0.2973319888114929,0.31202319264411926,0.5754092335700989,0.13737362623214722,0.1797819435596466
may,0.25739946961402893,0.1642589271068573,0.26447007060050964,0.2042515128850937,0.4155452847480774,0.29255667328834534,0.15417979657649994,0.28016674518585205,0.29255667328834534,0.17901644110679626,0.23512546718120575,0.2768254578113556
interact,0.33928218483924866,0.2232336550951004,0.2236374169588089,0.2997162640094757,0.31465134024620056,0.2641366422176361,0.13467012345790863,0.3355144262313843,0.2641366422176361,0.1940443515777588,0.36140885949134827,0.24087883532047272
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.21752706170082092,0.38372042775154114,0.3783375024795532,0.13737362623214722,0.32894450426101685,0.3783375024795532,0.1580762416124344,0.9999999403953552,0.2433311939239502
students,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.2632811665534973,0.21702182292938232,0.2676560878753662,0.5254908204078674,0.2723594009876251,0.2676560878753662,0.7746244072914124,0.17162418365478516,0.18017297983169556
of,0.33290785551071167,0.18112817406654358,1.0,0.1963096559047699,0.3353942930698395,0.5052502155303955,0.19968076050281525,0.22745388746261597,0.5052502155303955,0.20310284197330475,0.41827285289764404,0.1826142966747284
different,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.2602302134037018,0.28642526268959045,0.29175353050231934,0.1333521157503128,0.2979721128940582,0.29175353050231934,0.12107820063829422,0.3571763038635254,0.24476227164268494
ages,0.2546566128730774,0.1992737352848053,0.27638155221939087,0.16236476600170135,0.15224044024944305,0.18719108402729034,0.18023614585399628,0.1535489410161972,0.18719108402729034,0.14150622487068176,0.1527995467185974,0.16701677441596985
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19982612133026123,0.32586824893951416,0.427140474319458,0.2884024977684021,0.2855570912361145,0.427140474319458,0.2261858433485031,0.4120737314224243,0.31091248989105225
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.20739731192588806,0.26231399178504944,0.322764128446579,0.17958809435367584,0.22515058517456055,0.322764128446579,0.14416815340518951,0.26272761821746826,0.19969791173934937
infants,0.20155192911624908,0.09602141380310059,0.2112845629453659,0.3368252217769623,0.2553250193595886,0.17365014553070068,0.16878266632556915,0.22278261184692383,0.17365014553070068,0.14009584486484528,0.22097451984882355,0.17682571709156036
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.24326638877391815,0.5965728163719177,0.45503583550453186,0.1991342306137085,0.46191298961639404,0.45503583550453186,0.21220189332962036,0.4239959120750427,0.29463258385658264
adults,0.2567427158355713,0.21945138275623322,0.1983904391527176,0.32306408882141113,0.2516452670097351,0.19667603075504303,0.14734414219856262,0.2361583709716797,0.19667603075504303,0.213739812374115,0.19445449113845825,0.22581297159194946
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19982612133026123,0.32586824893951416,0.427140474319458,0.2884024977684021,0.2855570912361145,0.427140474319458,0.2261858433485031,0.4120737314224243,0.31091248989105225
students,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.2632811665534973,0.21702182292938232,0.2676560878753662,0.5254908204078674,0.2723594009876251,0.2676560878753662,0.7746244072914124,0.17162418365478516,0.18017297983169556
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.21752706170082092,0.38372042775154114,0.3783375024795532,0.13737362623214722,0.32894450426101685,0.3783375024795532,0.1580762416124344,0.9999999403953552,0.2433311939239502
different,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.2602302134037018,0.28642526268959045,0.29175353050231934,0.1333521157503128,0.2979721128940582,0.29175353050231934,0.12107820063829422,0.3571763038635254,0.24476227164268494
abilities,0.24971850216388702,0.19544129073619843,0.17270950973033905,0.35454484820365906,0.3286921977996826,0.21074023842811584,0.24953101575374603,0.3879857659339905,0.21074023842811584,0.17220287024974823,0.2714519798755646,0.1976996213197708
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.21917779743671417,0.34921059012413025,0.3739250600337982,0.27571162581443787,0.34926167130470276,0.3739250600337982,0.2391568422317505,0.5477725267410278,0.20544172823429108
students,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.2632811665534973,0.21702182292938232,0.2676560878753662,0.5254908204078674,0.2723594009876251,0.2676560878753662,0.7746244072914124,0.17162418365478516,0.18017297983169556
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.21752706170082092,0.38372042775154114,0.3783375024795532,0.13737362623214722,0.32894450426101685,0.3783375024795532,0.1580762416124344,0.9999999403953552,0.2433311939239502
learning,0.29806870222091675,0.20326043665409088,0.23709416389465332,0.3667340576648712,0.23331567645072937,0.23662391304969788,0.4099653959274292,0.3546825647354126,0.23662391304969788,0.3833320438861847,0.22291624546051025,0.25810256600379944
disabilities,0.29166853427886963,0.35248956084251404,0.18544678390026093,0.9020592570304871,0.2449801117181778,0.21534979343414307,0.2827930152416229,0.3560278117656708,0.21534979343414307,0.25906017422676086,0.2680645287036896,0.22903060913085938
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23468181490898132,0.35067233443260193,0.50484299659729,0.225234717130661,0.32205137610435486,0.50484299659729,0.20994822680950165,0.4446153938770294,0.4130953550338745
