,how,many,of,the,pitt,'s,planned,expeditions,were,successful,?
pitt,0.1611364334821701,0.17876310646533966,0.21231579780578613,0.25984519720077515,1.0000001192092896,0.013819952495396137,0.10280382633209229,0.1427764743566513,0.1752316653728485,0.10882722586393356,0.13721784949302673
's,-0.026164190843701363,0.01698932610452175,-0.03817026689648628,-0.01540423184633255,0.013819952495396137,0.9999999403953552,0.06015291437506676,0.04583461955189705,0.007088581565767527,-0.01727212779223919,-0.023395681753754616
plan,0.31514599919319153,0.1961388885974884,0.2742128372192383,0.2852855324745178,0.05464250221848488,0.014385199174284935,0.5824196338653564,0.2188451588153839,0.18876898288726807,0.18407054245471954,0.1961054503917694
called,0.2869613468647003,0.3552800714969635,0.4222904443740845,0.489897221326828,0.15235120058059692,-0.021773243322968483,0.2617592513561249,0.17911607027053833,0.30364301800727844,0.1613626331090927,0.18963319063186646
for,0.3308170735836029,0.40972793102264404,0.4185989499092102,0.4739971458911896,0.18541596829891205,-0.07241261005401611,0.21071262657642365,0.20896776020526886,0.33592689037323,0.2988608777523041,0.264628142118454
three,0.23807744681835175,0.4501400589942932,0.3844621181488037,0.43452659249305725,0.14082899689674377,0.03946888819336891,0.2320832908153534,0.19519135355949402,0.38429051637649536,0.22171202301979065,0.20928427577018738
major,0.12500809133052826,0.2907782793045044,0.2641255557537079,0.31775903701782227,0.13275650143623352,-0.010959804058074951,0.20045937597751617,0.22607095539569855,0.17227254807949066,0.21547342836856842,0.19788557291030884
offensive,0.11074206978082657,0.12459969520568848,0.20176489651203156,0.2699996531009674,0.18205058574676514,-0.016033265739679337,0.21197861433029175,0.22641001641750336,0.1906927525997162,0.25870758295059204,0.20278584957122803
actions,0.3413306176662445,0.3469963073730469,0.27202147245407104,0.297427237033844,0.07821980863809586,-0.019457440823316574,0.18070553243160248,0.34617292881011963,0.2608717679977417,0.19406476616859436,0.2841099798679352
involving,0.20357953011989594,0.2604101300239563,0.3404907286167145,0.2870389223098755,0.06970586627721786,-0.02785157598555088,0.2160545289516449,0.24863478541374207,0.27079081535339355,0.20109140872955322,0.19034086167812347
large,0.21342547237873077,0.42789679765701294,0.3569655418395996,0.3828733265399933,0.14243601262569427,0.06319566071033478,0.25294286012649536,0.2363480031490326,0.3147265911102295,0.179763063788414,0.1355665624141693
numbers,0.26623308658599854,0.3370567262172699,0.228018656373024,0.293011337518692,0.0854555293917656,0.02789759822189808,0.17758695781230927,0.19445064663887024,0.31236323714256287,0.185069739818573,0.19297972321510315
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.21231579780578613,-0.03817026689648628,0.2487981617450714,0.21364104747772217,0.34038281440734863,0.2304827868938446,0.1826142966747284
regular,0.2358456701040268,0.31490984559059143,0.22916868329048157,0.3214086890220642,0.09827321022748947,0.04493177309632301,0.17953112721443176,0.19599059224128723,0.22610516846179962,0.19400480389595032,0.18334713578224182
troops,0.10607875138521194,0.21669772267341614,0.23602326214313507,0.3229958415031433,0.08352381736040115,0.06779379397630692,0.2851507365703583,0.38891828060150146,0.3331645429134369,0.11892861127853394,0.14329779148101807
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.2581561803817749,-0.0016132977325469255,0.22345273196697235,0.20095069706439972,0.36755475401878357,0.28826844692230225,0.31091248989105225
supported,0.18413317203521729,0.2726788818836212,0.30414751172065735,0.27276676893234253,0.0953211560845375,-0.053373903036117554,0.2925715148448944,0.24076630175113678,0.271778404712677,0.29681602120399475,0.11593948304653168
by,0.34370526671409607,0.3409687578678131,0.3646814823150635,0.4408751428127289,0.14614497125148773,-0.010884488001465797,0.25277236104011536,0.18501269817352295,0.4406847059726715,0.1869579404592514,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.25984519720077515,-0.01540423184633255,0.3010992109775543,0.2768154442310333,0.3906462490558624,0.31354787945747375,0.22068053483963013
provincial,0.11071878671646118,0.17517153918743134,0.31268540024757385,0.2845842242240906,0.07559306919574738,0.030783694237470627,0.12761211395263672,0.14882183074951172,0.1574000120162964,0.10848116874694824,0.11250471323728561
militias,0.21399134397506714,0.32974258065223694,0.24756421148777008,0.2877093255519867,0.12575556337833405,0.03063873015344143,0.251496285200119,0.37319281697273254,0.385043740272522,0.14248082041740417,0.18957817554473877
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.2581561803817749,-0.0016132977325469255,0.22345273196697235,0.20095069706439972,0.36755475401878357,0.28826844692230225,0.31091248989105225
aimed,0.2377399355173111,0.19768163561820984,0.17739766836166382,0.2317158579826355,0.17012907564640045,0.05958856642246246,0.2944798171520233,0.14848122000694275,0.20949293673038483,0.19891834259033203,0.2069684863090515
at,0.2154216170310974,0.2716965675354004,0.42558613419532776,0.457212895154953,0.1965748369693756,-0.08481216430664062,0.23726597428321838,0.19108283519744873,0.2947486639022827,0.23558123409748077,0.21978627145290375
capturing,0.14121554791927338,0.21330967545509338,0.29810965061187744,0.3348090946674347,0.09700062870979309,-0.004737441893666983,0.23434801399707794,0.3241077959537506,0.19553908705711365,0.20836101472377777,0.1290988177061081
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.25984519720077515,-0.01540423184633255,0.3010992109775543,0.2768154442310333,0.3906462490558624,0.31354787945747375,0.22068053483963013
heartlands,0.11923462897539139,0.2985285520553589,0.33465513586997986,0.3700012266635895,0.25151073932647705,0.13399574160575867,0.1713525354862213,0.29446226358413696,0.27224865555763245,0.16960768401622772,0.11536221206188202
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.21231579780578613,-0.03817026689648628,0.2487981617450714,0.21364104747772217,0.34038281440734863,0.2304827868938446,0.1826142966747284
new,0.20832711458206177,0.2992318272590637,0.343457967042923,0.3845241069793701,0.19386398792266846,-0.008355522528290749,0.2545377016067505,0.13501808047294617,0.21711495518684387,0.19698897004127502,0.14782847464084625
france,0.13197430968284607,0.24514140188694,0.3265724182128906,0.35517507791519165,0.29252171516418457,0.024341266602277756,0.22055664658546448,0.1860847771167755,0.24330811202526093,0.2079799622297287,0.15069349110126495
.,0.3287222981452942,0.3974229395389557,0.5352458953857422,0.5934505462646484,0.23156610131263733,-0.003708066651597619,0.2560844421386719,0.1986430436372757,0.3378238379955292,0.361310213804245,0.4130953550338745
