,what,were,the,conditions,for,miners,in,the,gold,fields,in,victoria,?
conditions,0.27960067987442017,0.25564876198768616,0.2622014284133911,1.0,0.27253004908561707,0.2266293317079544,0.2580132484436035,0.2622014284133911,0.14831465482711792,0.23938383162021637,0.2580132484436035,0.09668572247028351,0.17021824419498444
on,0.34226128458976746,0.2774328887462616,0.5107308030128479,0.2553412914276123,0.36199691891670227,0.14178158342838287,0.46853652596473694,0.5107308030128479,0.15932275354862213,0.14855575561523438,0.46853652596473694,0.17229951918125153,0.2714994251728058
the,0.42745697498321533,0.3906462490558624,1.0,0.2622014284133911,0.4739971458911896,0.25137653946876526,0.6662389636039734,1.0,0.27136439085006714,0.16397054493427277,0.6662389636039734,0.2204313427209854,0.22068053483963013
gold,0.15779642760753632,0.25720104575157166,0.27136439085006714,0.14831465482711792,0.2409525066614151,0.39578977227211,0.21206732094287872,0.27136439085006714,0.9999999403953552,0.1775711476802826,0.21206732094287872,0.34557661414146423,0.11542754620313644
fields,0.14054246246814728,0.13715113699436188,0.16397054493427277,0.23938383162021637,0.2648622393608093,0.1869921237230301,0.19709080457687378,0.16397054493427277,0.1775711476802826,0.9999999403953552,0.19709080457687378,0.10120868682861328,0.1411406248807907
were,0.22298263013362885,1.0000001192092896,0.3906462490558624,0.25564876198768616,0.33592689037323,0.34333986043930054,0.3815755248069763,0.3906462490558624,0.25720104575157166,0.13715113699436188,0.3815755248069763,0.19546319544315338,0.17890112102031708
cramped,0.32451125979423523,0.32210826873779297,0.3091980516910553,0.34055256843566895,0.2347147911787033,0.2681780457496643,0.20911946892738342,0.3091980516910553,0.18127724528312683,0.18372173607349396,0.20911946892738342,0.13404832780361176,0.13061223924160004
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.252461701631546,0.5064792633056641,0.19314245879650116,0.4954058527946472,0.5171257257461548,0.26129499077796936,0.3074205219745636,0.4954058527946472,0.24507255852222443,0.20544172823429108
unsanitary,0.23060619831085205,0.2750508189201355,0.18144868314266205,0.45778918266296387,0.32402294874191284,0.3046826422214508,0.23664337396621704,0.18144868314266205,0.18340717256069183,0.20966652035713196,0.23664337396621704,0.19037926197052002,0.1970222145318985
;,0.10986888408660889,0.14040996134281158,0.09152708947658539,0.006760772317647934,0.0293948445469141,-0.022661713883280754,0.092739537358284,0.09152708947658539,0.012675312347710133,-0.05922285094857216,0.092739537358284,0.044363487511873245,0.10349778085947037
an,0.2821882665157318,0.08893381804227829,0.4207492768764496,0.1616596281528473,0.3236706852912903,0.11606648564338684,0.2605783939361572,0.4207492768764496,0.1284177303314209,0.19146087765693665,0.2605783939361572,0.12262015789747238,0.19793890416622162
outbreak,0.19845229387283325,0.23478053510189056,0.28401845693588257,0.2525770664215088,0.19200079143047333,0.26686710119247437,0.27757999300956726,0.28401845693588257,0.15011130273342133,0.11146166920661926,0.27757999300956726,0.23242361843585968,0.1898726373910904
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2074868083000183,0.4185989499092102,0.22123932838439941,0.5696388483047485,0.733189046382904,0.2101457566022873,0.19633589684963226,0.5696388483047485,0.2505437433719635,0.1826142966747284
typhoid,0.16676008701324463,0.2361990064382553,0.20365437865257263,0.33478987216949463,0.19384780526161194,0.23769231140613556,0.2235962301492691,0.20365437865257263,0.14666548371315002,0.1431291699409485,0.2235962301492691,0.22102947533130646,0.15795691311359406
