,what,cbs,website,provided,a,stream,?
cbs,0.1950361132621765,1.0,0.19977201521396637,0.14336982369422913,0.16314536333084106,0.12528888881206512,0.14594407379627228
provided,0.2206064909696579,0.14336982369422913,0.1480952799320221,1.0,0.20476344227790833,0.1834273636341095,0.16893617808818817
digital,0.1757969856262207,0.24499118328094482,0.10577093809843063,0.18947124481201172,0.19387772679328918,0.30089521408081055,0.12982943654060364
streams,0.12328469753265381,0.15178711712360382,0.10014883428812027,0.23119141161441803,0.2252943217754364,0.7826476097106934,0.1508319228887558
of,0.33290785551071167,0.16151919960975647,0.215549036860466,0.272808313369751,0.5052502155303955,0.1779453009366989,0.1826142966747284
the,0.42745697498321533,0.2283918708562851,0.2647613286972046,0.304488867521286,0.5829201340675354,0.2507912814617157,0.22068053483963013
game,0.2246788740158081,0.3367152214050293,0.18137481808662415,0.16750991344451904,0.23211604356765747,0.18612290918827057,0.1829071193933487
via,0.16736915707588196,0.08311855792999268,0.11916951090097427,0.2806166112422943,0.15732350945472717,0.32058706879615784,0.19443516433238983
cbssports.com,0.23111073672771454,0.5466516017913818,0.3199232816696167,0.26712003350257874,0.21760116517543793,0.1087680533528328,0.24396127462387085
",",0.3087472915649414,0.18569420278072357,0.12864577770233154,0.27036961913108826,0.427140474319458,0.2126854658126831,0.31091248989105225
and,0.31309178471565247,0.2054297775030136,0.13574272394180298,0.35591721534729004,0.3739250600337982,0.24512408673763275,0.20544172823429108
the,0.42745697498321533,0.2283918708562851,0.2647613286972046,0.304488867521286,0.5829201340675354,0.2507912814617157,0.22068053483963013
cbs,0.1950361132621765,1.0,0.19977201521396637,0.14336982369422913,0.16314536333084106,0.12528888881206512,0.14594407379627228
sports,0.13245077431201935,0.2991391718387604,0.11849069595336914,0.20946693420410156,0.1933065801858902,0.11348146945238113,0.04557104781270027
apps,0.1478865146636963,0.15470454096794128,0.25291574001312256,0.18829403817653656,0.17050905525684357,0.17079447209835052,0.21651507914066315
on,0.34226128458976746,0.25146469473838806,0.20945650339126587,0.24629086256027222,0.3848365545272827,0.2180166095495224,0.2714994251728058
tablets,0.2014158070087433,0.17008636891841888,0.11202362179756165,0.1871517449617386,0.18952995538711548,0.20527707040309906,0.15633375942707062
",",0.3087472915649414,0.18569420278072357,0.12864577770233154,0.27036961913108826,0.427140474319458,0.2126854658126831,0.31091248989105225
windows,0.18406382203102112,0.22388212382793427,0.18392978608608246,0.17961065471172333,0.2394280582666397,0.15815585851669312,0.17412035167217255
10,0.11840458959341049,-0.004114397801458836,0.1323714256286621,0.07852243632078171,0.12933704257011414,0.0358470119535923,0.022911956533789635
",",0.3087472915649414,0.18569420278072357,0.12864577770233154,0.27036961913108826,0.427140474319458,0.2126854658126831,0.31091248989105225
xbox,0.21293765306472778,0.3043312430381775,0.1616801917552948,0.22914442420005798,0.17871245741844177,0.19525545835494995,0.24734219908714294
one,0.376489520072937,0.13364626467227936,0.14669308066368103,0.25200116634368896,0.4910551905632019,0.20590563118457794,0.2673267424106598
and,0.31309178471565247,0.2054297775030136,0.13574272394180298,0.35591721534729004,0.3739250600337982,0.24512408673763275,0.20544172823429108
other,0.341873437166214,0.1471167653799057,0.17687736451625824,0.2508387267589569,0.2806335389614105,0.22886353731155396,0.24682199954986572
digital,0.1757969856262207,0.24499118328094482,0.10577093809843063,0.18947124481201172,0.19387772679328918,0.30089521408081055,0.12982943654060364
media,0.18292108178138733,0.30053117871284485,0.21604827046394348,0.1983412504196167,0.21000106632709503,0.17760327458381653,0.1571006178855896
players,0.21080905199050903,0.215696319937706,0.24008668959140778,0.1069585531949997,0.20581431686878204,0.14757759869098663,0.15925642848014832
(,0.2411840260028839,0.19355924427509308,0.1953553557395935,0.1930350810289383,0.3206180930137634,0.13697470724582672,0.40561532974243164
such,0.23989605903625488,0.13960908353328705,0.10708106309175491,0.28610771894454956,0.2706976532936096,0.21675695478916168,0.17851735651493073
as,0.31749409437179565,0.21606822311878204,0.13478536903858185,0.2797299921512604,0.39550232887268066,0.18706387281417847,0.27043893933296204
chromecast,0.2735980749130249,0.3412242829799652,0.2340390980243683,0.1999208927154541,0.25551915168762207,0.215377077460289,0.27047401666641235
and,0.31309178471565247,0.2054297775030136,0.13574272394180298,0.35591721534729004,0.3739250600337982,0.24512408673763275,0.20544172823429108
roku,0.1734328269958496,0.17769664525985718,0.12235448509454727,0.07833892852067947,0.2023288905620575,0.13213807344436646,0.15246115624904633
),0.26259949803352356,0.1881893426179886,0.19329166412353516,0.2010413557291031,0.3640355169773102,0.15274988114833832,0.42300865054130554
.,0.3567904531955719,0.2350580096244812,0.21623334288597107,0.22066283226013184,0.50484299659729,0.2079722285270691,0.4130953550338745
