,what,dynasty,came,before,the,yuan,?
in,0.30808621644973755,0.15246383845806122,0.29996100068092346,0.4155850410461426,0.6662389636039734,0.14850552380084991,0.20430970191955566
official,0.18967986106872559,0.12904107570648193,0.15657725930213928,0.23671287298202515,0.3133983910083771,0.09966789931058884,0.18097688257694244
chinese,0.11643128097057343,0.39861640334129333,0.18307432532310486,0.17685747146606445,0.2785343527793884,0.5665212273597717,0.20843194425106049
histories,0.3272237777709961,0.28173932433128357,0.25046902894973755,0.2679888606071472,0.3027343153953552,0.14596010744571686,0.27780789136886597
",",0.3087472915649414,0.1976536363363266,0.3049119710922241,0.3156566619873047,0.4933079481124878,0.20958951115608215,0.31091248989105225
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
yuan,0.13503028452396393,0.49336904287338257,0.13108937442302704,0.18829868733882904,0.2548272907733917,1.0,0.12871281802654266
dynasty,0.17240095138549805,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
bore,0.19731180369853973,0.15982498228549957,0.28770390152931213,0.20197303593158722,0.25482210516929626,0.08200517296791077,0.19251646101474762
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
mandate,0.29267245531082153,0.23376187682151794,0.13377679884433746,0.299526184797287,0.3209454417228699,0.2200096696615219,0.2593512535095215
of,0.33290785551071167,0.285645067691803,0.3201526999473572,0.3282964527606964,0.733189046382904,0.22696353495121002,0.1826142966747284
heaven,0.31919732689857483,0.24294854700565338,0.22158196568489075,0.26108604669570923,0.2808520495891571,0.21765518188476562,0.261896550655365
",",0.3087472915649414,0.1976536363363266,0.3049119710922241,0.3156566619873047,0.4933079481124878,0.20958951115608215,0.31091248989105225
following,0.2506418824195862,0.1435156613588333,0.17748412489891052,0.346343994140625,0.39779382944107056,0.1794196367263794,0.1555173695087433
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
song,0.21011823415756226,0.24676866829395294,0.17360688745975494,0.19804830849170685,0.300855815410614,0.2169226109981537,0.20782215893268585
dynasty,0.17240095138549805,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
and,0.31309178471565247,0.21357402205467224,0.3049735128879547,0.3518902659416199,0.5171257257461548,0.22359056770801544,0.20544172823429108
preceding,0.1640017181634903,0.22095482051372528,0.14708304405212402,0.3898736834526062,0.3293033242225647,0.23333574831485748,0.18089358508586884
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
ming,0.18258123099803925,0.5487013459205627,0.18923445045948029,0.24100719392299652,0.26838383078575134,0.5621496438980103,0.12298163771629333
dynasty,0.17240095138549805,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
.,0.3567904531955719,0.20616187155246735,0.26265060901641846,0.36693984270095825,0.5934505462646484,0.17233723402023315,0.4130953550338745
,what,dynasty,came,before,the,yuan,?
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
yuan,0.13503028452396393,0.49336904287338257,0.13108937442302704,0.18829868733882904,0.2548272907733917,1.0,0.12871281802654266
dynasty,0.17240095138549805,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
is,0.28837618231773376,0.16410371661186218,0.2892572581768036,0.25183290243148804,0.5823672413825989,0.1437031477689743,0.22961433231830597
considered,0.2834889590740204,0.16050711274147034,0.21178589761257172,0.20698583126068115,0.4028765559196472,0.09289617091417313,0.19909770786762238
both,0.3361809551715851,0.058194562792778015,0.2926093339920044,0.2842935621738434,0.4931981563568115,0.10960843414068222,0.19455738365650177
a,0.3320399522781372,0.14993494749069214,0.2477586567401886,0.3583870828151703,0.5829201340675354,0.18084076046943665,0.23916715383529663
successor,0.14961299300193787,0.17761319875717163,0.13605059683322906,0.16925738751888275,0.14193344116210938,0.21674972772598267,0.0913006067276001
to,0.455847829580307,0.1214921623468399,0.3111628592014313,0.4190867841243744,0.535392165184021,0.1499021351337433,0.29463258385658264
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
mongol,0.15870186686515808,0.5123041272163391,0.2198878973722458,0.21440400183200836,0.2924198508262634,0.5039428472518921,0.12849251925945282
empire,0.21723191440105438,0.43554046750068665,0.27072975039482117,0.21532359719276428,0.32532164454460144,0.2975424826145172,0.14909450709819794
and,0.31309178471565247,0.21357402205467224,0.3049735128879547,0.3518902659416199,0.5171257257461548,0.22359056770801544,0.20544172823429108
an,0.2821882665157318,0.17141813039779663,0.18223494291305542,0.2804223895072937,0.4207492768764496,0.0947575569152832,0.19793890416622162
imperial,0.09280271828174591,0.36272624135017395,0.14300981163978577,0.125410795211792,0.3074202835559845,0.3571368157863617,0.10900196433067322
chinese,0.11643128097057343,0.39861640334129333,0.18307432532310486,0.17685747146606445,0.2785343527793884,0.5665212273597717,0.20843194425106049
dynasty,0.17240095138549805,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
.,0.3567904531955719,0.20616187155246735,0.26265060901641846,0.36693984270095825,0.5934505462646484,0.17233723402023315,0.4130953550338745
