,what,religion,is,st,cuthbert,'s,high,school,dominated,by,?
st,0.13546641170978546,0.12748922407627106,0.14744308590888977,1.0000001192092896,0.4033965468406677,0.05475457385182381,0.2005736529827118,0.22408007085323334,0.1431768834590912,0.22418929636478424,0.13298600912094116
cuthbert,0.18748319149017334,0.22540254890918732,0.22389480471611023,0.4033965468406677,1.0,-0.033008258789777756,0.1561221182346344,0.2232433408498764,0.1559651792049408,0.21560171246528625,0.14355692267417908
's,0.02692362666130066,0.022218767553567886,0.02396530658006668,0.05475457385182381,-0.033008258789777756,0.9999999403953552,-0.04658069461584091,-0.017113132402300835,0.0071812765672802925,-0.010884488001465797,-0.023395681753754616
high,0.20466077327728271,0.06276010721921921,0.2383800595998764,0.2005736529827118,0.1561221182346344,-0.04658069461584091,1.0,0.5397339463233948,0.2462107241153717,0.2159195840358734,0.11137914657592773
school,0.18774057924747467,0.1739436537027359,0.19488026201725006,0.22408007085323334,0.2232433408498764,-0.017113132402300835,0.5397339463233948,1.0,0.15700237452983856,0.1477794349193573,0.15091250836849213
and,0.31309178471565247,0.2620435655117035,0.3859752118587494,0.18031862378120422,0.22341038286685944,0.06895173341035843,0.2911888659000397,0.2752758264541626,0.324688583612442,0.4289871156215668,0.20544172823429108
sacred,0.1834017038345337,0.3594183921813965,0.21494638919830322,0.20524080097675323,0.2964206635951996,0.05362413451075554,0.13171064853668213,0.16402702033519745,0.1605873703956604,0.19244463741779327,0.19191092252731323
heart,0.18515849113464355,0.17327594757080078,0.21632468700408936,0.11468848586082458,0.19850367307662964,-0.004939067177474499,0.1681322306394577,0.1680472493171692,0.06603794544935226,0.11031413078308105,0.11825142055749893
are,0.29724663496017456,0.1752774864435196,0.5330929756164551,0.10307276248931885,0.080288827419281,-0.008927806280553341,0.21708175539970398,0.17021894454956055,0.18188512325286865,0.37842893600463867,0.24591213464736938
the,0.42745697498321533,0.2757669985294342,0.5823672413825989,0.27966225147247314,0.2518726885318756,-0.01540423184633255,0.28034812211990356,0.22953221201896667,0.33543094992637634,0.4408751428127289,0.22068053483963013
two,0.23363454639911652,0.11716984957456589,0.2315155267715454,0.1865946352481842,0.16688717901706696,0.038143858313560486,0.1789831668138504,0.18459290266036987,0.19676415622234344,0.33852577209472656,0.19645625352859497
primary,0.2113915979862213,0.13312216103076935,0.23824772238731384,0.1706225574016571,0.06599760055541992,-0.06354844570159912,0.2813328802585602,0.4102175533771515,0.24900633096694946,0.21170571446418762,0.16286636888980865
state-catholic,0.25853684544563293,0.5426280498504639,0.22120001912117004,0.3243759870529175,0.36508435010910034,0.06025657430291176,0.25061991810798645,0.3119983375072479,0.19802668690681458,0.22570787370204926,0.25058266520500183
