,what,is,sky+,hd,material,broadcast,using,?
sky+,0.12067124247550964,0.210584819316864,0.9999999403953552,0.3398793339729309,0.08606705069541931,0.25185659527778625,0.1921544224023819,0.13872939348220825
hd,0.15220552682876587,0.16031022369861603,0.3398793339729309,0.9999998807907104,0.08948732167482376,0.4156099855899811,0.16770493984222412,0.1705414354801178
material,0.2591213285923004,0.2518187463283539,0.08606705069541931,0.08948732167482376,1.0000001192092896,0.14763200283050537,0.26639610528945923,0.18117131292819977
is,0.28837618231773376,1.0,0.210584819316864,0.16031022369861603,0.2518187463283539,0.1702820062637329,0.26543745398521423,0.22961433231830597
broadcast,0.17857211828231812,0.1702820062637329,0.25185659527778625,0.4156099855899811,0.14763200283050537,1.0,0.18822801113128662,0.15760008990764618
using,0.27984681725502014,0.26543745398521423,0.1921544224023819,0.16770493984222412,0.26639610528945923,0.18822801113128662,1.0,0.2804589569568634
mpeg-4,0.16936254501342773,0.16009026765823364,0.2613263428211212,0.37861084938049316,0.27349600195884705,0.2823390066623688,0.24530059099197388,0.15991093218326569
and,0.31309178471565247,0.3859752118587494,0.23343795537948608,0.17087101936340332,0.2923409640789032,0.22526025772094727,0.33157408237457275,0.20544172823429108
most,0.3219912350177765,0.41165053844451904,0.16803447902202606,0.1260523498058319,0.18791352212429047,0.12552721798419952,0.25117412209510803,0.2107497900724411
of,0.33290785551071167,0.4854315221309662,0.1877743899822235,0.1299077272415161,0.27520954608917236,0.20155203342437744,0.24298200011253357,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.2895233631134033,0.19996047019958496,0.26762521266937256,0.2713715434074402,0.28364112973213196,0.22068053483963013
hd,0.15220552682876587,0.16031022369861603,0.3398793339729309,0.9999998807907104,0.08948732167482376,0.4156099855899811,0.16770493984222412,0.1705414354801178
material,0.2591213285923004,0.2518187463283539,0.08606705069541931,0.08948732167482376,1.0000001192092896,0.14763200283050537,0.26639610528945923,0.18117131292819977
uses,0.1933930367231369,0.41359779238700867,0.16857531666755676,0.14525206387043,0.2029777467250824,0.13317814469337463,0.632046639919281,0.18407079577445984
the,0.42745697498321533,0.5823672413825989,0.2895233631134033,0.19996047019958496,0.26762521266937256,0.2713715434074402,0.28364112973213196,0.22068053483963013
dvb-s2,0.19240112602710724,0.1711091250181198,0.07700411975383759,0.40837743878364563,0.153689444065094,0.37101128697395325,0.21718432009220123,0.11494667083024979
standard,0.22809998691082,0.23514990508556366,0.1478046029806137,0.21808426082134247,0.21796682476997375,0.19257798790931702,0.33739233016967773,0.17029257118701935
.,0.3567904531955719,0.4569662809371948,0.2805819511413574,0.17191381752490997,0.24824832379817963,0.2280997633934021,0.3629456162452698,0.4130953550338745
