,what,responsibilities,are,pharmacists,believed,to,be,taking,on,more,in,the,future,?
rather,0.3923804461956024,0.2740247845649719,0.325596421957016,0.1528853327035904,0.213701993227005,0.4052407741546631,0.4789743721485138,0.2778148055076599,0.2960607409477234,0.5391596555709839,0.26646825671195984,0.31983619928359985,0.20308451354503632,0.3053998053073883
than,0.29388150572776794,0.19605843722820282,0.39206281304359436,0.20788773894309998,0.1982223093509674,0.3192550539970398,0.46516597270965576,0.2914716303348541,0.2864885926246643,0.726518988609314,0.3270052373409271,0.3227543234825134,0.15291158854961395,0.24917294085025787
simply,0.4566527307033539,0.2094275951385498,0.3214327394962311,0.22329296171665192,0.21694819629192352,0.3868776261806488,0.3588997721672058,0.2701912224292755,0.22995029389858246,0.29651209712028503,0.26013514399528503,0.3653980493545532,0.1895793229341507,0.2984147369861603
dispensing,0.3396281599998474,0.3125610947608948,0.28149062395095825,0.23425047099590302,0.22427111864089966,0.32893726229667664,0.31148067116737366,0.31420785188674927,0.20746846497058868,0.33285394310951233,0.21266135573387146,0.3174264430999756,0.170485720038414,0.23133355379104614
medication,0.28847256302833557,0.25428107380867004,0.28778642416000366,0.44281280040740967,0.23463958501815796,0.29681551456451416,0.35398632287979126,0.34362608194351196,0.22275333106517792,0.30388346314430237,0.18923917412757874,0.24671530723571777,0.1492624282836914,0.2275196760892868
",",0.3087472915649414,0.2557533085346222,0.4062570035457611,0.22197484970092773,0.2386300414800644,0.44245919585227966,0.39254459738731384,0.32216814160346985,0.49057599902153015,0.3696524500846863,0.5201468467712402,0.4933079481124878,0.2609160840511322,0.31091248989105225
pharmacists,0.28274545073509216,0.22749672830104828,0.33935052156448364,1.0,0.22353219985961914,0.24341562390327454,0.2688070833683014,0.25570693612098694,0.14047865569591522,0.2158937007188797,0.22358480095863342,0.24311043322086334,0.15497905015945435,0.1797308325767517
are,0.29724663496017456,0.29349708557128906,1.0,0.33935052156448364,0.2577219605445862,0.3504326641559601,0.5556803941726685,0.2409871220588684,0.268924742937088,0.4066504240036011,0.3841303884983063,0.40399202704429626,0.21288591623306274,0.24591213464736938
increasingly,0.19974569976329803,0.306887686252594,0.3079953193664551,0.20202744007110596,0.28475314378738403,0.33546900749206543,0.3333093822002411,0.20866185426712036,0.19398429989814758,0.511476457118988,0.23806603252887726,0.3152945339679718,0.21710887551307678,0.059327382594347
expected,0.3720298707485199,0.38473156094551086,0.19028612971305847,0.1782287210226059,0.33528202772140503,0.42255479097366333,0.35050156712532043,0.23033739626407623,0.27832189202308655,0.39012789726257324,0.2959997057914734,0.3108554780483246,0.3545355200767517,0.19474582374095917
to,0.455847829580307,0.2899641990661621,0.3504326641559601,0.24341562390327454,0.35322412848472595,1.0,0.4972836375236511,0.3001216948032379,0.41031414270401,0.47084665298461914,0.45010748505592346,0.535392165184021,0.3191963732242584,0.29463258385658264
be,0.3929833769798279,0.29736456274986267,0.5556803941726685,0.2688070833683014,0.32833608984947205,0.4972836375236511,1.0,0.28882884979248047,0.37900757789611816,0.5445363521575928,0.3481820821762085,0.4248143136501312,0.32757890224456787,0.3324260413646698
compensated,0.31319329142570496,0.3681708574295044,0.30489227175712585,0.2731776833534241,0.28344854712486267,0.35215097665786743,0.34304970502853394,0.17487017810344696,0.23112693428993225,0.314327210187912,0.19085793197155,0.26771852374076843,0.23715142905712128,0.20277786254882812
for,0.3017193675041199,0.3202719986438751,0.3895993232727051,0.21977780759334564,0.212932750582695,0.4451248347759247,0.3801851272583008,0.3636261522769928,0.36199691891670227,0.3891189992427826,0.4322226941585541,0.4739971458911896,0.2983153760433197,0.264628142118454
their,0.35142919421195984,0.3418694734573364,0.46887820959091187,0.3280321955680847,0.30500349402427673,0.44619059562683105,0.3200586438179016,0.28988099098205566,0.3598666191101074,0.36147117614746094,0.34976133704185486,0.516537070274353,0.20183047652244568,0.1898253709077835
patient,0.3135989308357239,0.2872101068496704,0.2341679036617279,0.348532497882843,0.15533463656902313,0.2912805676460266,0.2990906238555908,0.22214850783348083,0.2075355350971222,0.24067845940589905,0.18493591248989105,0.2195289433002472,0.17084841430187225,0.24355199933052063
care,0.2973911762237549,0.3665989935398102,0.2662802040576935,0.28419914841651917,0.13835857808589935,0.27786314487457275,0.3111850321292877,0.34075313806533813,0.20102925598621368,0.2853366732597351,0.14557574689388275,0.1663842648267746,0.23907099664211273,0.24279968440532684
skills,0.28520897030830383,0.4672227203845978,0.25136736035346985,0.2460516095161438,0.17060844600200653,0.29669415950775146,0.2587740123271942,0.24175028502941132,0.15123073756694794,0.2894810140132904,0.17281371355056763,0.20564566552639008,0.25710031390190125,0.1864275485277176
.,0.3567904531955719,0.22679820656776428,0.3452940285205841,0.27446362376213074,0.26106974482536316,0.4645031690597534,0.4383580684661865,0.3233465552330017,0.49257001280784607,0.4070230722427368,0.5591574311256409,0.5934505462646484,0.24031390249729156,0.4130953550338745
