,when,was,the,rhine,fully,within,the,holy,roman,empire,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.18126852810382843,0.40576374530792236,0.6662389636039734,0.2163282334804535,0.24986636638641357,0.24110576510429382,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.2750830352306366,0.39827480912208557,1.0,0.2778179347515106,0.2862859070301056,0.32532164454460144,0.22068053483963013
9th,0.18406076729297638,0.14873403310775757,0.15220077335834503,0.021898256614804268,0.06431451439857483,-0.00028397529968060553,0.15220077335834503,0.051056139171123505,0.05274119973182678,0.018473593518137932,0.06775698810815811
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.167837992310524,0.2252698540687561,0.2513136863708496,0.4933079481124878,0.2074567973613739,0.26863154768943787,0.27646857500076294,0.31091248989105225
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.17693428695201874,0.35778623819351196,0.31596240401268005,0.6251175999641418,0.22722505033016205,0.20999984443187714,0.24114786088466644,0.25732165575027466
formed,0.3096277713775635,0.3009849190711975,0.28813210129737854,0.12505698204040527,0.18485607206821442,0.25284543633461,0.28813210129737854,0.09668077528476715,0.08544259518384933,0.15364933013916016,0.09686966985464096
part,0.35435768961906433,0.3407018780708313,0.527681291103363,0.23044916987419128,0.27243250608444214,0.36533206701278687,0.527681291103363,0.1668402999639511,0.1638910472393036,0.28660473227500916,0.08557961881160736
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2548927664756775,0.1846403181552887,0.39594778418540955,0.733189046382904,0.32529065012931824,0.31028008460998535,0.30522286891937256,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.2750830352306366,0.39827480912208557,1.0,0.2778179347515106,0.2862859070301056,0.32532164454460144,0.22068053483963013
border,0.17932823300361633,0.15863363444805145,0.2856229841709137,0.32308438420295715,0.14884482324123383,0.2667786180973053,0.2856229841709137,0.1832117736339569,0.17437706887722015,0.278634250164032,0.1706928312778473
between,0.38258615136146545,0.24048170447349548,0.39067012071609497,0.17755062878131866,0.1538436859846115,0.38694965839385986,0.39067012071609497,0.1470588594675064,0.18287460505962372,0.15685386955738068,0.12887074053287506
middle,0.25323590636253357,0.21038298308849335,0.3405749201774597,0.23721498250961304,0.0938483327627182,0.179706871509552,0.3405749201774597,0.19848094880580902,0.20308412611484528,0.25981786847114563,0.13139553368091583
