,infrastructure,is,often,called,what,?
infrastructure,1.0,0.20160584151744843,0.229601189494133,0.11482524126768112,0.23299327492713928,0.15828795731067657
is,0.20160584151744843,1.0,0.3856629431247711,0.430266410112381,0.28837618231773376,0.22961433231830597
often,0.229601189494133,0.3856629431247711,1.0000001192092896,0.5175883173942566,0.3849453330039978,0.23748154938220978
called,0.11482524126768112,0.430266410112381,0.5175883173942566,1.0,0.3235960602760315,0.18963319063186646
heavy/highway,0.37359943985939026,0.2408791333436966,0.21022413671016693,0.1580786556005478,0.2795315384864807,0.22572331130504608
",",0.2647097706794739,0.4691906273365021,0.24139221012592316,0.26549121737480164,0.3087472915649414,0.31091248989105225
heavy,0.2671290934085846,0.23454418778419495,0.34574663639068604,0.1914110779762268,0.19175288081169128,0.16717074811458588
civil,0.25605764985084534,0.16941262781620026,0.1956346184015274,0.1720334142446518,0.15091551840305328,0.1494513899087906
or,0.2437850683927536,0.41870999336242676,0.5791526436805725,0.4293559193611145,0.33867141604423523,0.32389625906944275
heavy,0.2671290934085846,0.23454418778419495,0.34574663639068604,0.1914110779762268,0.19175288081169128,0.16717074811458588
engineering,0.44480037689208984,0.21758246421813965,0.1986456960439682,0.16978177428245544,0.1897483468055725,0.16555240750312805
.,0.25300246477127075,0.4569662809371948,0.30710849165916443,0.300344854593277,0.3567904531955719,0.4130953550338745
