,when,was,the,office,of,western,medicine,founded,?
the,0.5091903209686279,0.48711544275283813,1.0,0.27314993739128113,0.733189046382904,0.37920868396759033,0.19564834237098694,0.2840350568294525,0.22068053483963013
nestorian,0.18027488887310028,0.26551228761672974,0.2434549331665039,0.1788928061723709,0.23305381834506989,0.2681899666786194,0.1711985170841217,0.2998041808605194,0.11854059249162674
physician,0.17223495244979858,0.25259876251220703,0.1636791080236435,0.08477825671434402,0.1483788639307022,0.08983194828033447,0.4790349006652832,0.2413543313741684,0.1271199882030487
jesus,0.20633429288864136,0.1984250247478485,0.23073002696037292,0.0831017941236496,0.21039734780788422,0.11846564710140228,0.14255793392658234,0.18559463322162628,0.19975169003009796
the,0.5091903209686279,0.48711544275283813,1.0,0.27314993739128113,0.733189046382904,0.37920868396759033,0.19564834237098694,0.2840350568294525,0.22068053483963013
interpreter,0.20957913994789124,0.21994748711585999,0.24445651471614838,0.1713135838508606,0.1891809105873108,0.21694350242614746,0.11918523907661438,0.16429807245731354,0.20340946316719055
founded,0.16657374799251556,0.36917948722839355,0.2840350568294525,0.16775040328502655,0.24571022391319275,0.18686732649803162,0.17496205866336823,1.0000001192092896,0.09119737893342972
the,0.5091903209686279,0.48711544275283813,1.0,0.27314993739128113,0.733189046382904,0.37920868396759033,0.19564834237098694,0.2840350568294525,0.22068053483963013
office,0.22369864583015442,0.3002835810184479,0.27314993739128113,1.0000001192092896,0.24605777859687805,0.15442542731761932,0.09942850470542908,0.16775040328502655,0.16497313976287842
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.24605777859687805,1.0,0.32974064350128174,0.20997224748134613,0.24571022391319275,0.1826142966747284
western,0.2197389006614685,0.2864105999469757,0.37920868396759033,0.15442542731761932,0.32974064350128174,1.0000001192092896,0.1959279179573059,0.18686732649803162,0.17439141869544983
medicine,0.19803452491760254,0.15788467228412628,0.19564834237098694,0.09942850470542908,0.20997224748134613,0.1959279179573059,1.0,0.17496205866336823,0.14826606214046478
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.28433957695961,0.5696388483047485,0.35160520672798157,0.2281779944896698,0.24877111613750458,0.20430970191955566
1263,0.10559824854135513,0.1121201366186142,0.08459725230932236,-0.017426982522010803,0.06169035658240318,0.03390198573470116,0.1029055118560791,0.10926362127065659,0.07894309610128403
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.17611193656921387,0.3869180977344513,0.2569528818130493,0.09812596440315247,0.19434230029582977,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,1.0,0.27314993739128113,0.733189046382904,0.37920868396759033,0.19564834237098694,0.2840350568294525,0.22068053483963013
reign,0.26303771138191223,0.2893977761268616,0.2661008834838867,0.1455862820148468,0.2783183157444,0.20217542350292206,0.1366589069366455,0.1910436898469925,0.16399922966957092
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.24605777859687805,1.0,0.32974064350128174,0.20997224748134613,0.24571022391319275,0.1826142966747284
kublai,0.24958351254463196,0.3139400780200958,0.32886171340942383,0.19849494099617004,0.231930211186409,0.26490509510040283,0.09124814718961716,0.19787314534187317,0.14562560617923737
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.26038533449172974,0.5352458953857422,0.2816847264766693,0.242958664894104,0.23141497373580933,0.4130953550338745
