,in,which,year,was,the,the,forest,tapestry,created,?
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,1.0,1.0,0.24134553968906403,0.32432854175567627,0.3539263904094696,0.22068053483963013
collection,0.23004686832427979,0.30199134349823,0.12698578834533691,0.1743653565645218,0.25281965732574463,0.25281965732574463,0.16350334882736206,0.3567197918891907,0.20207332074642181,0.20069393515586853
has,0.4173259735107422,0.4350704550743103,0.2526876926422119,0.40313825011253357,0.4177538752555847,0.4177538752555847,0.15236540138721466,0.19307194650173187,0.2519540786743164,0.15994466841220856
numerous,0.30740252137184143,0.3937303423881531,0.14380094408988953,0.19624626636505127,0.3353725075721741,0.3353725075721741,0.1538659930229187,0.1953117847442627,0.15454265475273132,0.0875130444765091
examples,0.25567561388015747,0.38271647691726685,0.12472878396511078,0.07216602563858032,0.30092597007751465,0.30092597007751465,0.08270850777626038,0.20740056037902832,0.2303210347890854,0.19976599514484406
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.733189046382904,0.2309139519929886,0.3338794708251953,0.32043445110321045,0.1826142966747284
various,0.266343355178833,0.42230772972106934,0.09714669734239578,0.14120686054229736,0.3235042691230774,0.3235042691230774,0.09376974403858185,0.19265682995319366,0.18791113793849945,0.12823495268821716
types,0.18516337871551514,0.4006623923778534,0.12076514959335327,0.0920981764793396,0.23509301245212555,0.23509301245212555,0.09586174786090851,0.151228129863739,0.158224955201149,0.1285012811422348
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.733189046382904,0.2309139519929886,0.3338794708251953,0.32043445110321045,0.1826142966747284
textiles,0.2786903977394104,0.3003382682800293,0.065261110663414,0.20412349700927734,0.26939645409584045,0.26939645409584045,0.13996127247810364,0.43039828538894653,0.17292794585227966,0.06833552569150925
designed,0.22657902538776398,0.3073212206363678,0.10958598554134369,0.28384989500045776,0.2559613883495331,0.2559613883495331,0.07732746005058289,0.3265655040740967,0.4146225154399872,0.11213942617177963
by,0.370934396982193,0.40543368458747864,0.28805047273635864,0.4752357602119446,0.4408751428127289,0.4408751428127289,0.16046150028705597,0.22819288074970245,0.3492257595062256,0.17966607213020325
william,0.21605195105075836,0.13988013565540314,0.12221778929233551,0.28444796800613403,0.21537061035633087,0.21537061035633087,0.17139708995819092,0.222336083650589,0.1416419893503189,0.14462219178676605
morris,0.23848596215248108,0.13908357918262482,0.1744799166917801,0.2513708472251892,0.20765291154384613,0.20765291154384613,0.08352530002593994,0.19622604548931122,0.1490609049797058,0.1809966117143631
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.4933079481124878,0.2901519536972046,0.23794302344322205,0.2755771577358246,0.31091248989105225
