,which,articles,state,that,the,member,states,',rights,to,deliver,public,services,may,not,be,obstructed,?
affects,0.3434990644454956,0.20295049250125885,0.18758326768875122,0.3348403871059418,0.31535860896110535,0.07394514977931976,0.22060364484786987,0.21571630239486694,0.166195347905159,0.2505618929862976,0.19595173001289368,0.1781618744134903,0.18668332695960999,0.23788166046142578,0.28834396600723267,0.25754448771476746,0.26895731687545776,0.19840897619724274
a,0.56894451379776,0.29038286209106445,0.25097307562828064,0.47537946701049805,0.5829201340675354,0.24081070721149445,0.24708621203899384,0.48837921023368835,0.18041828274726868,0.45503583550453186,0.2722235321998596,0.19607044756412506,0.24030502140522003,0.29255667328834534,0.3791346549987793,0.39883795380592346,0.22734028100967407,0.23916715383529663
number,0.3661547005176544,0.2933134436607361,0.20709048211574554,0.32951247692108154,0.35145696997642517,0.20533400774002075,0.2313869148492813,0.19534216821193695,0.11001407355070114,0.2706126868724823,0.16847093403339386,0.17588801681995392,0.14776571094989777,0.18605102598667145,0.30033785104751587,0.28840136528015137,0.10077932476997375,0.19256845116615295
of,0.5011631846427917,0.24931834638118744,0.34253445267677307,0.41498205065727234,0.733189046382904,0.2701796889305115,0.30884552001953125,0.39136970043182373,0.19425496459007263,0.41548454761505127,0.18715758621692657,0.2391265481710434,0.23787347972393036,0.26447007060050964,0.3307090103626251,0.33904364705085754,0.2500370442867279,0.1826142966747284
eu,0.15620915591716766,0.20927253365516663,0.18008030951023102,0.10275088250637054,0.14126400649547577,0.2245567888021469,0.17918972671031952,0.04845505580306053,0.1998741328716278,0.1539587825536728,0.10271347314119339,0.21463967859745026,0.14086279273033142,0.14704449474811554,0.16702550649642944,0.1461477279663086,0.04253308102488518,0.21586786210536957
member,0.19141918420791626,0.13950103521347046,0.15961596369743347,0.17725452780723572,0.2806392312049866,0.9999998807907104,0.18290899693965912,0.23119290173053741,0.18115058541297913,0.19456195831298828,0.11796881258487701,0.200414776802063,0.17985451221466064,0.1533735990524292,0.1560761034488678,0.15509481728076935,0.13178327679634094,0.06826172769069672
states,0.27476921677589417,0.2240859866142273,0.5370627045631409,0.291576623916626,0.3463578522205353,0.18290899693965912,1.0,0.21096393465995789,0.26858797669410706,0.2828785181045532,0.18105274438858032,0.3012831211090088,0.22736811637878418,0.20767882466316223,0.24589264392852783,0.24637973308563232,0.23132722079753876,0.16272737085819244
),0.2758678197860718,0.21879267692565918,0.2340407520532608,0.23478686809539795,0.3456730246543884,0.26767680048942566,0.2059156745672226,0.5468860864639282,0.18886376917362213,0.31236231327056885,0.1813252866268158,0.15635275840759277,0.15659959614276886,0.3756577968597412,0.2718011736869812,0.24578070640563965,0.11962975561618805,0.42300865054130554
might,0.4112485647201538,0.35267290472984314,0.15235725045204163,0.5377011895179749,0.32504433393478394,0.16060644388198853,0.18115350604057312,0.2198607176542282,0.1597415655851364,0.5153919458389282,0.2309294193983078,0.21966522932052612,0.20955480635166168,0.5044193863868713,0.5709217190742493,0.5260229706764221,0.20625580847263336,0.41058459877967834
significantly,0.4212779104709625,0.3495534062385559,0.16351236402988434,0.4070014953613281,0.3313288986682892,0.1342824101448059,0.16735248267650604,0.17229345440864563,0.17805665731430054,0.33877497911453247,0.2063194364309311,0.27412149310112,0.2354460507631302,0.26289498805999756,0.3760618567466736,0.3630986213684082,0.22790168225765228,0.1823679804801941
impede,0.2633422017097473,0.21284690499305725,0.16047900915145874,0.23680147528648376,0.23950275778770447,0.19334235787391663,0.10198847949504852,0.2322327345609665,0.21616961061954498,0.27881863713264465,0.21717768907546997,0.13296152651309967,0.056853264570236206,0.16427215933799744,0.29081594944000244,0.2724025249481201,0.22879262268543243,0.2641570568084717
effective,0.2412784844636917,0.19363299012184143,0.17963910102844238,0.3091796338558197,0.23741452395915985,0.14817805588245392,0.2251044660806656,0.13640756905078888,0.18972718715667725,0.27306854724884033,0.24407120048999786,0.22633154690265656,0.25420060753822327,0.3284969627857208,0.30744922161102295,0.35076794028282166,0.283863365650177,0.21825028955936432
competition,0.27663862705230713,0.17948144674301147,0.13281098008155823,0.28371796011924744,0.257230669260025,0.20608334243297577,0.16046370565891266,0.1732896864414215,0.16878122091293335,0.20617300271987915,0.09538540989160538,0.21172578632831573,0.26518937945365906,0.16857367753982544,0.22046951949596405,0.16868816316127777,0.0611518956720829,0.1394461691379547
.,0.45942068099975586,0.27623623609542847,0.31380724906921387,0.4460422694683075,0.5934505462646484,0.19907453656196594,0.33941102027893066,0.4806240200996399,0.24957291781902313,0.4645031690597534,0.21824848651885986,0.21888655424118042,0.2179025262594223,0.35826805233955383,0.4824007451534271,0.4383580684661865,0.19207730889320374,0.4130953550338745
