,what,was,the,only,comedy,to,earn,a,second,season,for,the,2010-11,schedule,?
the,0.42745697498321533,0.48711544275283813,1.0,0.5497692227363586,0.18746663630008698,0.535392165184021,0.21796688437461853,0.5829201340675354,0.4620301127433777,0.2507155239582062,0.4739971458911896,1.0,0.204135000705719,0.21986375749111176,0.22068053483963013
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.21967212855815887,0.25875306129455566,0.25940340757369995,0.1206132099032402,0.17299489676952362,0.12895596027374268,0.27325206995010376,0.253274142742157,0.27187061309814453,0.044061195105314255,0.282244473695755,0.17853789031505585
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.5950305461883545,0.21188123524188995,0.5348826050758362,0.226229727268219,0.5149940252304077,0.3509063720703125,0.23262320458889008,0.5373267531394958,0.6021018624305725,0.1524590104818344,0.284001886844635,0.21848613023757935
struggled,0.2129613608121872,0.30934348702430725,0.28537142276763916,0.2518068850040436,0.13255196809768677,0.3124760687351227,0.2949649393558502,0.21445885300636292,0.2310936450958252,0.3167175352573395,0.27875515818595886,0.28537142276763916,0.08879871666431427,0.2119913250207901,0.11264374107122421
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.5096819996833801,0.1824766844511032,1.0,0.2928581237792969,0.45503583550453186,0.3098561465740204,0.22382742166519165,0.4451248347759247,0.535392165184021,0.1513209342956543,0.2847902476787567,0.29463258385658264
establish,0.24999600648880005,0.1769464761018753,0.31343501806259155,0.1845424473285675,0.12009665369987488,0.32019129395484924,0.23443296551704407,0.22806213796138763,0.13447768986225128,0.13543201982975006,0.1806582361459732,0.31343501806259155,0.24492841958999634,0.13250689208507538,0.21678102016448975
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.3027914762496948,0.14458589255809784,0.33159172534942627,0.18075399100780487,0.3214259147644043,0.2587158977985382,0.17859753966331482,0.2700757384300232,0.3845241069793701,0.07998085767030716,0.14268872141838074,0.14782847464084625
comedies,0.2392551153898239,0.20068001747131348,0.20470845699310303,0.20469549298286438,0.6894869208335876,0.17719049751758575,0.11410799622535706,0.1922728419303894,0.08300729840993881,0.1921054571866989,0.27943098545074463,0.20470845699310303,0.046252887696027756,0.14206255972385406,0.20290277898311615
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.5096819996833801,0.1824766844511032,1.0,0.2928581237792969,0.45503583550453186,0.3098561465740204,0.22382742166519165,0.4451248347759247,0.535392165184021,0.1513209342956543,0.2847902476787567,0.29463258385658264
support,0.2797985076904297,0.2208256870508194,0.22984638810157776,0.2951069474220276,0.10257269442081451,0.2742273211479187,0.21579374372959137,0.2484646886587143,0.2287684977054596,0.14013169705867767,0.3156939148902893,0.22984638810157776,0.17958490550518036,0.2274085283279419,0.22626608610153198
the,0.42745697498321533,0.48711544275283813,1.0,0.5497692227363586,0.18746663630008698,0.535392165184021,0.21796688437461853,0.5829201340675354,0.4620301127433777,0.2507155239582062,0.4739971458911896,1.0,0.204135000705719,0.21986375749111176,0.22068053483963013
previous,0.2743692696094513,0.2747909128665924,0.34706559777259827,0.36214756965637207,0.17031985521316528,0.26198142766952515,0.17500711977481842,0.23051196336746216,0.3163183629512787,0.25085392594337463,0.27794817090034485,0.34706559777259827,0.055823612958192825,0.20378006994724274,0.16724538803100586
year,0.15184831619262695,0.3209837079048157,0.3609684407711029,0.2698895335197449,0.1700032651424408,0.23523004353046417,0.27883005142211914,0.29350247979164124,0.3195519745349884,0.3561827838420868,0.29294124245643616,0.3609684407711029,0.09006424993276596,0.20663884282112122,0.18315006792545319
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.08984304964542389,0.09444256871938705,0.03782717138528824,0.07341156899929047,0.04866964742541313,-0.060212843120098114,0.06624794006347656,-0.07241261005401611,-0.01540423184633255,0.02180582843720913,0.019238965585827827,-0.023395681753754616
debuts,0.15134000778198242,0.2548919916152954,0.2841980457305908,0.13670575618743896,0.4692124128341675,0.15070022642612457,0.22391754388809204,0.20225365459918976,0.2415626347064972,0.3368406593799591,0.21278180181980133,0.2841980457305908,-0.030665703117847443,0.2134663313627243,0.16875320672988892
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.4220978021621704,0.17748676240444183,0.44245919585227966,0.2286224514245987,0.427140474319458,0.29927265644073486,0.2232367992401123,0.4464869201183319,0.4933079481124878,0.16264760494232178,0.183579683303833,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.367427259683609,0.24219387769699097,0.4239959120750427,0.22329042851924896,0.3783375024795532,0.272382527589798,0.26700887084007263,0.39140474796295166,0.4223487675189972,0.09095391631126404,0.14576628804206848,0.2433311939239502
only,0.41415658593177795,0.36249664425849915,0.5497692227363586,1.0,0.14362205564975739,0.5096819996833801,0.2608545124530792,0.47549712657928467,0.37246230244636536,0.23518846929073334,0.49157920479774475,0.5497692227363586,0.18489426374435425,0.29796338081359863,0.2767370045185089
late-season,0.19882702827453613,0.31843745708465576,0.319358766078949,0.3107317090034485,0.3197263479232788,0.2978554666042328,0.24117355048656464,0.28206080198287964,0.25445830821990967,0.8115232586860657,0.3618781864643097,0.319358766078949,0.00815500970929861,0.336590051651001,0.26611819863319397
premiere,0.14961349964141846,0.28039491176605225,0.26663899421691895,0.22499722242355347,0.34255507588386536,0.21522076427936554,0.22901326417922974,0.15134891867637634,0.2751753628253937,0.42500197887420654,0.18896788358688354,0.26663899421691895,-0.1121160089969635,0.2852223217487335,0.1942042112350464
