,what,term,is,used,to,explain,a,change,in,the,appearance,of,doctor,who,?
producers,0.1532686948776245,0.08070393651723862,0.19455154240131378,0.1587875932455063,0.2612137794494629,0.0976337194442749,0.16246287524700165,0.10644406825304031,0.15846984088420868,0.23758956789970398,0.211439847946167,0.131597638130188,0.16961602866649628,0.17970997095108032,0.15943901240825653
introduced,0.09417270123958588,0.27082300186157227,0.18314895033836365,0.3919791877269745,0.22615164518356323,0.19162273406982422,0.2573881149291992,0.189800426363945,0.2614979147911072,0.242969810962677,0.2192145735025406,0.23328952491283417,0.10804295539855957,0.18349657952785492,0.16386865079402924
the,0.42745697498321533,0.2740369141101837,0.5823672413825989,0.3718377649784088,0.535392165184021,0.24376994371414185,0.5829201340675354,0.3641999065876007,0.6662389636039734,1.0,0.2678116261959076,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
concept,0.28724339604377747,0.4290061593055725,0.2750450372695923,0.26928189396858215,0.2465057224035263,0.3642212450504303,0.29586365818977356,0.2376163899898529,0.21857000887393951,0.2355310022830963,0.19034795463085175,0.24082158505916595,0.14144235849380493,0.2084418535232544,0.17160645127296448
of,0.33290785551071167,0.26047757267951965,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.20952273905277252,0.5052502155303955,0.2569013833999634,0.5696388483047485,0.733189046382904,0.18182265758514404,1.0,0.16895952820777893,0.2827862501144409,0.1826142966747284
regeneration,0.22060240805149078,0.196629136800766,0.20627576112747192,0.1494564712047577,0.28147146105766296,0.14391186833381653,0.22819030284881592,0.26394692063331604,0.19745036959648132,0.3351733982563019,0.2655763328075409,0.32214465737342834,0.344775915145874,0.21646106243133545,0.13848066329956055
to,0.455847829580307,0.3310292959213257,0.42745086550712585,0.40058770775794983,1.0,0.3735564351081848,0.45503583550453186,0.3581787943840027,0.45010748505592346,0.535392165184021,0.2557435631752014,0.41548454761505127,0.22950075566768646,0.42656609416007996,0.29463258385658264
permit,0.2713043689727783,0.2258269339799881,0.16206875443458557,0.2317916750907898,0.38876909017562866,0.2876743972301483,0.2576712369918823,0.30730441212654114,0.1751854419708252,0.21805532276630402,0.17775171995162964,0.18578791618347168,0.13889732956886292,0.3083195090293884,0.17485858500003815
the,0.42745697498321533,0.2740369141101837,0.5823672413825989,0.3718377649784088,0.535392165184021,0.24376994371414185,0.5829201340675354,0.3641999065876007,0.6662389636039734,1.0,0.2678116261959076,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
recasting,0.3137270510196686,0.29585373401641846,0.22647875547409058,0.2822312116622925,0.3376462757587433,0.2515760064125061,0.22011853754520416,0.28903788328170776,0.2521430552005768,0.34074151515960693,0.21858173608779907,0.30610454082489014,0.17699918150901794,0.20112104713916779,0.17669227719306946
of,0.33290785551071167,0.26047757267951965,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.20952273905277252,0.5052502155303955,0.2569013833999634,0.5696388483047485,0.733189046382904,0.18182265758514404,1.0,0.16895952820777893,0.2827862501144409,0.1826142966747284
the,0.42745697498321533,0.2740369141101837,0.5823672413825989,0.3718377649784088,0.535392165184021,0.24376994371414185,0.5829201340675354,0.3641999065876007,0.6662389636039734,1.0,0.2678116261959076,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
main,0.2344268560409546,0.12044033408164978,0.3009335994720459,0.2582900822162628,0.26116618514060974,0.2512005567550659,0.27217230200767517,0.19647526741027832,0.28862449526786804,0.38631999492645264,0.15171314775943756,0.3177044689655304,0.16093844175338745,0.18417203426361084,0.1665669083595276
character,0.22097444534301758,0.12227404117584229,0.2699129581451416,0.22886160016059875,0.2381577491760254,0.25055113434791565,0.3054544925689697,0.23497194051742554,0.20910993218421936,0.25992274284362793,0.39859625697135925,0.17163237929344177,0.3171660602092743,0.31209835410118103,0.18056271970272064
