,why,did,the,demand,for,rentals,decrease,?
david,0.18169373273849487,0.15711668133735657,0.2237231284379959,0.13382308185100555,0.20388762652873993,0.11252542585134506,0.09847612679004669,0.04158485680818558
rodda,0.2064250111579895,0.20310315489768982,0.24732628464698792,0.09840153902769089,0.18628506362438202,0.18128608167171478,0.1610722690820694,0.2495654672384262
noted,0.17503537237644196,0.2848167419433594,0.248806893825531,0.17930473387241364,0.3074313700199127,0.08034278452396393,0.2189917266368866,0.13014346361160278
that,0.5601457357406616,0.47518548369407654,0.5473989248275757,0.31761109828948975,0.4137635827064514,0.16023775935173035,0.29537636041641235,0.32716336846351624
from,0.2592364251613617,0.20248863101005554,0.40150508284568787,0.20165932178497314,0.314039945602417,0.14465467631816864,0.17406168580055237,0.19969791173934937
1984,-0.044399745762348175,-0.041119784116744995,-0.007670710328966379,-0.10499563813209534,-0.06237468123435974,0.13599589467048645,-0.0425897054374218,0.07765956968069077
and,0.27806392312049866,0.34479495882987976,0.5171257257461548,0.3240898847579956,0.5064792633056641,0.21914149820804596,0.21722403168678284,0.20544172823429108
1991,0.13190796971321106,0.21974095702171326,0.002508036559447646,0.0938367247581482,0.07042362540960312,-0.10817500948905945,-0.08758345246315002,0.175977423787117
",",0.2827242314815521,0.3015086054801941,0.4933079481124878,0.25499746203422546,0.4464869201183319,0.21581248939037323,0.16787058115005493,0.31091248989105225
the,0.30742117762565613,0.34736719727516174,1.0,0.27194610238075256,0.4739971458911896,0.20186853408813477,0.2781965136528015,0.22068053483963013
number,0.22887302935123444,0.19046731293201447,0.35145696997642517,0.28563258051872253,0.2861633002758026,0.23302188515663147,0.2486405372619629,0.19256845116615295
of,0.28464117646217346,0.2513895630836487,0.733189046382904,0.2345065176486969,0.4185989499092102,0.1510644257068634,0.2226300835609436,0.1826142966747284
quality,0.24241748452186584,0.21685834228992462,0.21949779987335205,0.3957121968269348,0.3288601338863373,0.24143534898757935,0.31069937348365784,0.23524069786071777
rental,0.11932030320167542,0.15531359612941742,0.2814933657646179,0.3250929117202759,0.26608943939208984,0.7653700709342957,0.21325886249542236,0.13753974437713623
units,0.07706170529127121,0.17179901897907257,0.2691343426704407,0.15994329750537872,0.24534544348716736,0.260394424200058,0.23313294351100922,0.089388407766819
decreased,0.11252754926681519,0.18987904489040375,0.27965670824050903,0.28211161494255066,0.22295188903808594,0.18326443433761597,0.8924605846405029,0.08292442560195923
as,0.3103298544883728,0.3596470057964325,0.48381632566452026,0.21706032752990723,0.44774648547172546,0.19577337801456451,0.20124894380569458,0.27043893933296204
the,0.30742117762565613,0.34736719727516174,1.0,0.27194610238075256,0.4739971458911896,0.20186853408813477,0.2781965136528015,0.22068053483963013
demand,0.2423383742570877,0.26737719774246216,0.27194610238075256,1.0,0.3395264446735382,0.30475717782974243,0.30869415402412415,0.13359291851520538
for,0.3869043290615082,0.318512886762619,0.4739971458911896,0.3395264446735382,0.9999999403953552,0.21752306818962097,0.20651747286319733,0.264628142118454
higher,0.17308205366134644,0.17969463765621185,0.3292480409145355,0.23465347290039062,0.2346303015947342,0.22369419038295746,0.40582185983657837,0.15679465234279633
quality,0.24241748452186584,0.21685834228992462,0.21949779987335205,0.3957121968269348,0.3288601338863373,0.24143534898757935,0.31069937348365784,0.23524069786071777
housing,0.13618427515029907,0.19518278539180756,0.24837790429592133,0.2818814218044281,0.2967211902141571,0.32871368527412415,0.27664676308631897,0.11872038245201111
increased,0.1506301611661911,0.20765343308448792,0.3188653886318207,0.33498415350914,0.2777559161186218,0.24369364976882935,0.6600584983825684,0.09587585180997849
(,0.23387731611728668,0.18979617953300476,0.33289089798927307,0.09122268855571747,0.3357032239437103,0.14072567224502563,0.1518828421831131,0.40561532974243164
rhoda,0.12606260180473328,0.15823601186275482,0.20863088965415955,0.09959009289741516,0.19947735965251923,0.239241823554039,0.07998394221067429,0.14612112939357758
1994:148,0.010232712142169476,0.1266964077949524,-0.03623990714550018,0.04834561049938202,0.003854643553495407,-0.09581159800291061,-0.13298596441745758,0.06417020410299301
),0.25356316566467285,0.18584993481636047,0.3456730246543884,0.1121797263622284,0.3639558255672455,0.14201682806015015,0.13434776663780212,0.42300865054130554
.,0.32909876108169556,0.35288307070732117,0.5934505462646484,0.2543337345123291,0.4726039469242096,0.24627302587032318,0.24486805498600006,0.4130953550338745
