,some,people,describe,what,between,individuals,or,groups,as,imperialism,or,colonialism,?
some,0.9999999403953552,0.40364471077919006,0.3357565104961395,0.4491020441055298,0.29038727283477783,0.3909188508987427,0.5009974837303162,0.38417813181877136,0.4293700158596039,0.19825322926044464,0.5009974837303162,0.3038089871406555,0.2562315762042999
have,0.6421269774436951,0.3380994498729706,0.3165830671787262,0.39808809757232666,0.3203330636024475,0.4619733393192291,0.46389055252075195,0.3388051986694336,0.37788212299346924,0.1434110701084137,0.46389055252075195,0.24325884878635406,0.32991164922714233
described,0.31182169914245605,0.06986384093761444,0.653712809085846,0.22590412199497223,0.2376609444618225,0.24657940864562988,0.25404343008995056,0.18822693824768066,0.3644653260707855,0.2277216762304306,0.25404343008995056,0.23071372509002686,0.1374269425868988
the,0.4566698372364044,0.36838498711586,0.26495152711868286,0.42745697498321533,0.39067012071609497,0.3022412955760956,0.4174870550632477,0.27790749073028564,0.48381632566452026,0.2716025412082672,0.4174870550632477,0.25141018629074097,0.22068053483963013
internal,0.25206008553504944,0.13677170872688293,0.2203221321105957,0.2065390944480896,0.29288244247436523,0.31463533639907837,0.32101738452911377,0.186494842171669,0.18446122109889984,0.16801708936691284,0.32101738452911377,0.15955595672130585,0.1665428727865219
strife,0.22085382044315338,0.10384538769721985,0.13122209906578064,0.1897323727607727,0.24122478067874908,0.25347331166267395,0.18951788544654846,0.18768499791622162,0.21403159201145172,0.34505921602249146,0.18951788544654846,0.29921823740005493,0.12537287175655365
between,0.29038727283477783,0.20159919559955597,0.26704585552215576,0.2462156116962433,0.9999999403953552,0.2447623312473297,0.22536349296569824,0.28073278069496155,0.22009976208209991,0.17138710618019104,0.22536349296569824,0.20646117627620697,0.12887074053287506
various,0.5588168501853943,0.17459091544151306,0.3160392642021179,0.26045072078704834,0.29298338294029236,0.36430326104164124,0.3241712749004364,0.30180346965789795,0.35201138257980347,0.2392261028289795,0.3241712749004364,0.23637327551841736,0.12823495268821716
people,0.40364471077919006,1.0000001192092896,0.2086736559867859,0.32444337010383606,0.20159919559955597,0.3042522668838501,0.335800439119339,0.36025887727737427,0.15704652667045593,0.16122907400131226,0.335800439119339,0.2552579641342163,0.23739641904830933
groups,0.38417813181877136,0.36025887727737427,0.21435238420963287,0.23137421905994415,0.28073278069496155,0.40269169211387634,0.26111581921577454,1.0,0.18660825490951538,0.1966134011745453,0.26111581921577454,0.28340086340904236,0.14349548518657684
as,0.4293700158596039,0.15704652667045593,0.32652774453163147,0.31749409437179565,0.22009976208209991,0.2704373896121979,0.4400654137134552,0.18660825490951538,1.0,0.2192956656217575,0.4400654137134552,0.18886442482471466,0.27043893933296204
a,0.34539633989334106,0.3483705520629883,0.3062607944011688,0.3320399522781372,0.29385313391685486,0.2836177945137024,0.48853766918182373,0.2068004310131073,0.39550232887268066,0.17335295677185059,0.48853766918182373,0.19192901253700256,0.23916715383529663
form,0.33171209692955017,0.1481005847454071,0.30388155579566956,0.15868011116981506,0.24882446229457855,0.29634347558021545,0.3818044364452362,0.26510804891586304,0.24710296094417572,0.1891220360994339,0.3818044364452362,0.25731948018074036,0.1463010311126709
of,0.4300730526447296,0.3251037895679474,0.2764313519001007,0.33290785551071167,0.3737983703613281,0.27365922927856445,0.3792596757411957,0.24723079800605774,0.3886612355709076,0.29240643978118896,0.3792596757411957,0.2704770565032959,0.1826142966747284
imperialism,0.19825322926044464,0.16122907400131226,0.25242701172828674,0.24614648520946503,0.17138710618019104,0.22755034267902374,0.16436384618282318,0.1966134011745453,0.2192956656217575,1.0,0.16436384618282318,0.6857813596725464,0.14998586475849152
or,0.5009974837303162,0.335800439119339,0.40484312176704407,0.33867141604423523,0.22536349296569824,0.4400286376476288,1.0000001192092896,0.26111581921577454,0.4400654137134552,0.16436384618282318,1.0000001192092896,0.17756415903568268,0.32389625906944275
colonialism,0.3038089871406555,0.2552579641342163,0.30992090702056885,0.27914220094680786,0.20646117627620697,0.2932867407798767,0.17756415903568268,0.28340086340904236,0.18886442482471466,0.6857813596725464,0.17756415903568268,0.9999999403953552,0.1519109606742859
.,0.40663889050483704,0.33118996024131775,0.17917026579380035,0.3567904531955719,0.30295518040657043,0.2722686529159546,0.36683785915374756,0.2408272922039032,0.515582263469696,0.22279119491577148,0.36683785915374756,0.22091162204742432,0.4130953550338745
