,what,kind,of,organism,is,cyanophora,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23149779438972473,0.5823672413825989,0.2588452696800232,0.22068053483963013
alga,0.12795694172382355,0.20433013141155243,0.15750092267990112,0.5157644152641296,0.23884379863739014,0.5146681666374207,0.15664592385292053
cyanophora,0.24604105949401855,0.2688940763473511,0.2238575667142868,0.4837040901184082,0.21547691524028778,1.0000001192092896,0.25893574953079224
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.15651610493659973,0.4691906273365021,0.23608672618865967,0.31091248989105225
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24148842692375183,0.658733606338501,0.28012919425964355,0.23916715383529663
glaucophyte,0.24588492512702942,0.3426583409309387,0.3159969747066498,0.5528179407119751,0.2786009907722473,0.6888766288757324,0.21570050716400146
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.15651610493659973,0.4691906273365021,0.23608672618865967,0.31091248989105225
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.22845785319805145,1.0,0.21547691524028778,0.22961433231830597
thought,0.4469435214996338,0.37235593795776367,0.34673458337783813,0.2376096248626709,0.28001952171325684,0.2664668560028076,0.2600135803222656
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.26634952425956726,0.42745086550712585,0.19069908559322357,0.29463258385658264
be,0.3929833769798279,0.33508673310279846,0.33904364705085754,0.27493172883987427,0.4819129705429077,0.22971925139427185,0.3324260413646698
one,0.376489520072937,0.3653089106082916,0.4999135136604309,0.2407800853252411,0.4544198513031006,0.2126462459564209,0.2673267424106598
of,0.33290785551071167,0.2285657674074173,1.0,0.23540134727954865,0.4854315221309662,0.2238575667142868,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23149779438972473,0.5823672413825989,0.2588452696800232,0.22068053483963013
first,0.28086137771606445,0.21994365751743317,0.3536086082458496,0.14741094410419464,0.30889374017715454,0.22273577749729156,0.18701928853988647
organisms,0.22214920818805695,0.30799558758735657,0.23870134353637695,0.8696659207344055,0.1773757040500641,0.5335975289344788,0.22621455788612366
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.26634952425956726,0.42745086550712585,0.19069908559322357,0.29463258385658264
contain,0.1832355558872223,0.2706027626991272,0.30574339628219604,0.31462234258651733,0.31030410528182983,0.35637637972831726,0.18853069841861725
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24148842692375183,0.658733606338501,0.28012919425964355,0.23916715383529663
chloroplast,0.23505516350269318,0.2457917332649231,0.2069506198167801,0.5875638723373413,0.20798198878765106,0.5647469758987427,0.12532055377960205
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.24682649970054626,0.4569662809371948,0.27996137738227844,0.4130953550338745
