,what,kind,of,light,is,inadequate,for,chloroplasts,to,divide,?
chloroplasts,0.2524593770503998,0.25487130880355835,0.23179760575294495,0.35485613346099854,0.22550933063030243,0.2953525483608246,0.22036349773406982,0.9999999403953552,0.23370109498500824,0.2560095489025116,0.13049766421318054
can,0.34502777457237244,0.4151865541934967,0.2603091299533844,0.26152265071868896,0.44256699085235596,0.31594544649124146,0.35690054297447205,0.29016172885894775,0.4979398250579834,0.29248014092445374,0.3226337134838104
grow,0.23171839118003845,0.2446884661912918,0.2535724341869354,0.19320586323738098,0.22898592054843903,0.21380896866321564,0.16215160489082336,0.2959708869457245,0.3296493887901306,0.3453770577907562,0.12417493760585785
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.20458035171031952,0.3859752118587494,0.2561550736427307,0.5064792633056641,0.21511349081993103,0.48971283435821533,0.2515243589878082,0.20544172823429108
progress,0.2752872407436371,0.21320968866348267,0.27725252509117126,0.21414518356323242,0.15454937517642975,0.27983227372169495,0.26635557413101196,0.14634011685848236,0.25305503606796265,0.2556743621826172,0.20267242193222046
through,0.23167094588279724,0.20041711628437042,0.3647414743900299,0.2541295289993286,0.27805060148239136,0.1684778928756714,0.3172857463359833,0.21938547492027283,0.4062686562538147,0.2804274260997772,0.16913433372974396
some,0.4491020441055298,0.42079171538352966,0.4300730526447296,0.24385517835617065,0.3038453459739685,0.30958741903305054,0.4257155656814575,0.3096705377101898,0.4636894166469574,0.2618614733219147,0.2562315762042999
of,0.33290785551071167,0.2285657674074173,1.0,0.18257063627243042,0.4854315221309662,0.23723700642585754,0.4185989499092102,0.23179760575294495,0.41548454761505127,0.27984148263931274,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2649136185646057,0.5823672413825989,0.23429985344409943,0.4739971458911896,0.23062430322170258,0.535392165184021,0.296497642993927,0.22068053483963013
constriction,0.2952744960784912,0.29325956106185913,0.2590450346469879,0.26512208580970764,0.2888484299182892,0.31139737367630005,0.25904253125190735,0.3802509307861328,0.3524308204650879,0.198206827044487,0.2409362494945526
stages,0.18274828791618347,0.19002391397953033,0.27978867292404175,0.16533376276493073,0.190957173705101,0.17093394696712494,0.2248757928609848,0.32369887828826904,0.1880870908498764,0.23500002920627594,0.12672165036201477
under,0.20154598355293274,0.09037460386753082,0.32766106724739075,0.12961411476135254,0.21294879913330078,0.19268593192100525,0.2930702269077301,0.12968458235263824,0.27177539467811584,0.14951775968074799,0.18233340978622437
poor,0.2570318877696991,0.2002125233411789,0.23458099365234375,0.18311066925525665,0.18218109011650085,0.38116031885147095,0.2900572121143341,0.20498882234096527,0.2869894206523895,0.16425779461860657,0.12937016785144806
quality,0.28952741622924805,0.26462000608444214,0.24742498993873596,0.2703821063041687,0.24161657691001892,0.4319891333580017,0.3288601338863373,0.16795016825199127,0.28523996472358704,0.12848518788814545,0.23524069786071777
green,0.16762696206569672,0.15850861370563507,0.2225196659564972,0.28128349781036377,0.23195718228816986,0.029591964557766914,0.1723674237728119,0.32718849182128906,0.2122364193201065,0.18176695704460144,0.11409882456064224
light,0.22953972220420837,0.28256285190582275,0.18257063627243042,0.9999998807907104,0.2457275241613388,0.14538465440273285,0.21351271867752075,0.35485613346099854,0.22474321722984314,0.1370692253112793,0.17429810762405396
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22209852933883667,0.4691906273365021,0.21818454563617706,0.4464869201183319,0.20794041454792023,0.44245919585227966,0.21270453929901123,0.31091248989105225
but,0.5029441118240356,0.3482404947280884,0.39942997694015503,0.22629401087760925,0.4106791317462921,0.29494455456733704,0.45162561535835266,0.28110963106155396,0.5542377829551697,0.22010338306427002,0.27921953797340393
