,where,did,marin,build,first,fort,?
he,0.3705328106880188,0.3292143940925598,0.24139384925365448,0.16498902440071106,0.3826274573802948,0.17954927682876587,0.2089974731206894
first,0.3238157331943512,0.33691170811653137,0.1650903820991516,0.17361782491207123,1.0,0.17213241755962372,0.18701928853988647
constructed,0.22897350788116455,0.1521158069372177,0.1511789858341217,0.5130842924118042,0.2608717978000641,0.3260483741760254,0.12459525465965271
fort,0.1772805005311966,0.17500312626361847,0.18160508573055267,0.21944007277488708,0.17213241755962372,0.9999999403953552,0.15686731040477753
presque,0.16651427745819092,0.05368993431329727,0.19361793994903564,0.17091640830039978,0.1641889214515686,0.2982775866985321,0.091837577521801
isle,0.13809016346931458,0.11181894689798355,0.16393442451953888,0.11781555414199829,0.13484033942222595,0.2259160578250885,0.13833960890769958
(,0.1970011591911316,0.18979617953300476,0.16464680433273315,0.1842881143093109,0.2450505793094635,0.17754094302654266,0.40561532974243164
near,0.4188554286956787,0.08748484402894974,0.17318959534168243,0.21269913017749786,0.14128509163856506,0.328653484582901,0.10734958201646805
present-day,0.21362127363681793,0.20096364617347717,0.19566448032855988,0.17026552557945251,0.32695430517196655,0.21470458805561066,0.24972984194755554
erie,0.24484272301197052,0.09562680870294571,0.13272681832313538,0.16026578843593597,0.16365891695022583,0.3683077096939087,0.08352572470903397
",",0.3149496018886566,0.3015086054801941,0.29242756962776184,0.22204548120498657,0.34503069519996643,0.2651418149471283,0.31091248989105225
pennsylvania,0.19022543728351593,0.16386812925338745,0.16965417563915253,0.145288348197937,0.19976964592933655,0.2359011471271515,0.14032292366027832
),0.20711064338684082,0.18584993481636047,0.18285176157951355,0.18603895604610443,0.27228695154190063,0.17857417464256287,0.42300865054130554
on,0.37630224227905273,0.2670976221561432,0.12646006047725677,0.21995799243450165,0.3120559751987457,0.2436540275812149,0.2714994251728058
lake,0.17913374304771423,0.14357861876487732,0.15063241124153137,0.10689110308885574,0.1987440288066864,0.3142308294773102,0.07226386666297913
erie,0.24484272301197052,0.09562680870294571,0.13272681832313538,0.16026578843593597,0.16365891695022583,0.3683077096939087,0.08352572470903397
's,0.0007701900321990252,0.05069678649306297,-0.019260348752141,0.08569536358118057,-0.014458609744906425,-0.0009166967938654125,-0.023395681753754616
south,0.2539864182472229,0.1510593444108963,0.23379968106746674,0.1174008697271347,0.21650062501430511,0.24956068396568298,0.12336621433496475
shore,0.24002347886562347,0.0908011794090271,0.22560574114322662,0.14307603240013123,0.1796783208847046,0.26299700140953064,0.07139872014522552
.,0.41390106081962585,0.35288307070732117,0.22672776877880096,0.275961309671402,0.4345304071903229,0.2578873038291931,0.4130953550338745
