,what,is,victoria,'s,highest,monthly,temperature,?
victoria,0.1194850504398346,0.1633591204881668,1.0,0.06206126511096954,0.23788277804851532,0.09327670186758041,0.18480604887008667,0.12246892601251602
's,0.02692362666130066,0.02396530658006668,0.06206126511096954,0.9999999403953552,-0.02329092286527157,0.035364821553230286,0.029818275943398476,-0.023395681753754616
highest,0.19637788832187653,0.27460670471191406,0.23788277804851532,-0.02329092286527157,1.0,0.17479245364665985,0.24991264939308167,0.11527936160564423
maximum,0.19255907833576202,0.20349502563476562,0.17361801862716675,0.04792794957756996,0.29589712619781494,0.18595117330551147,0.3444400131702423,0.10959649085998535
temperature,0.26338207721710205,0.2979726195335388,0.18480604887008667,0.029818275943398476,0.24991264939308167,0.2815435826778412,1.0000001192092896,0.2011885941028595
since,0.29783400893211365,0.3567592203617096,0.2027265429496765,-0.04899144917726517,0.23434080183506012,0.1655515730381012,0.19375763833522797,0.2876587212085724
world,0.21669597923755646,0.24458536505699158,0.17221683263778687,0.11877062171697617,0.28919854760169983,0.14438651502132416,0.09115384519100189,0.17579582333564758
war,0.22516006231307983,0.18502555787563324,0.2230522632598877,0.06856801360845566,0.2129972130060196,0.11212658137083054,0.15466991066932678,0.15510529279708862
ii,0.13866674900054932,0.18301032483577728,0.172028586268425,0.06274007260799408,0.1536952406167984,0.0905442088842392,0.09408707916736603,0.11928234249353409
",",0.3087472915649414,0.4691906273365021,0.2279360294342041,-0.0016132977325469255,0.22094981372356415,0.21733209490776062,0.2439086139202118,0.31091248989105225
of,0.33290785551071167,0.4854315221309662,0.2505437433719635,-0.03817026689648628,0.3223685622215271,0.21505539119243622,0.21649840474128723,0.1826142966747284
48.8,-0.1013723835349083,-0.05169958248734474,-0.09926117211580276,0.012440505437552929,-0.06213763728737831,0.0919375792145729,-0.10544067621231079,-0.15338297188282013
°c,0.2101275473833084,0.22964106500148773,0.1630314439535141,0.05679900571703911,0.2879323661327362,0.2179907262325287,0.7912421226501465,0.2095707356929779
(,0.2411840260028839,0.35393038392066956,0.14948904514312744,0.0012731997994706035,0.17115482687950134,0.199871227145195,0.20595431327819824,0.40561532974243164
119.8,-0.010416444391012192,0.05264781787991524,0.1283632516860962,0.05714816227555275,-0.07734787464141846,0.01592167653143406,-0.011453205719590187,-0.045798592269420624
°f,0.20015408098697662,0.23312681913375854,0.1577220857143402,0.035270873457193375,0.30840063095092773,0.26902443170547485,0.7363657355308533,0.19986218214035034
),0.26259949803352356,0.37732169032096863,0.17964273691177368,0.021107977256178856,0.20505082607269287,0.210335373878479,0.2232651710510254,0.42300865054130554
was,0.22111038863658905,0.5810302495956421,0.2550773620605469,0.008974763564765453,0.23145779967308044,0.22951774299144745,0.18288718163967133,0.18412111699581146
recorded,0.17687608301639557,0.19766312837600708,0.21729527413845062,-0.01750672608613968,0.3071483373641968,0.20304234325885773,0.2721431851387024,0.19213420152664185
in,0.30808621644973755,0.5394441485404968,0.20823122560977936,-0.037580832839012146,0.3400614559650421,0.18886660039424896,0.269207626581192,0.20430970191955566
hopetoun,0.3070351779460907,0.2163279503583908,0.41767963767051697,0.11546347290277481,0.2741849720478058,0.2711547017097473,0.2444978803396225,0.18857823312282562
on,0.34226128458976746,0.3635730445384979,0.17229951918125153,0.0026888418942689896,0.21068012714385986,0.2393789440393448,0.2164885550737381,0.2714994251728058
7,-0.1699475795030594,-0.08589375764131546,0.0794837698340416,0.09292176365852356,-0.06156591325998306,-0.08180978149175644,-0.22603704035282135,-0.15092156827449799
february,0.1913013905286789,0.26240548491477966,0.18830442428588867,-0.056284528225660324,0.1407880336046219,0.2474827766418457,0.12766943871974945,0.29594847559928894
2009,-0.2519478499889374,-0.22361645102500916,-0.1940266489982605,-0.02547297812998295,-0.16200579702854156,-0.150990828871727,-0.23207242786884308,-0.2287932187318802
",",0.3087472915649414,0.4691906273365021,0.2279360294342041,-0.0016132977325469255,0.22094981372356415,0.21733209490776062,0.2439086139202118,0.31091248989105225
during,0.24137552082538605,0.2240111529827118,0.20968946814537048,0.011294117197394371,0.26514118909835815,0.19176660478115082,0.24492236971855164,0.1325719803571701
the,0.42745697498321533,0.5823672413825989,0.2204313427209854,-0.01540423184633255,0.36945265531539917,0.21759526431560516,0.27585095167160034,0.22068053483963013
2009,-0.2519478499889374,-0.22361645102500916,-0.1940266489982605,-0.02547297812998295,-0.16200579702854156,-0.150990828871727,-0.23207242786884308,-0.2287932187318802
southeastern,0.21616344153881073,0.297136127948761,0.22310641407966614,0.03497946262359619,0.29809147119522095,0.2205333262681961,0.15617799758911133,0.1729537695646286
australia,0.1913539320230484,0.1734699010848999,0.5548879504203796,0.040361400693655014,0.24044327437877655,0.12709017097949982,0.13394048810005188,0.15702682733535767
heat,0.1933984011411667,0.20543494820594788,0.18000680208206177,0.05812746658921242,0.17214520275592804,0.1237732321023941,0.5126028060913086,0.16343188285827637
wave,0.21830487251281738,0.16238313913345337,0.09508872777223587,0.004561342764645815,0.13466443121433258,0.19020111858844757,0.2686850428581238,0.19408074021339417
.,0.3567904531955719,0.4569662809371948,0.23069117963314056,-0.003708066651597619,0.2254713773727417,0.20780688524246216,0.2795942425727844,0.4130953550338745
