,why,did,he,want,to,make,the,language,accessible,to,people,?
he,0.26086166501045227,0.3292143940925598,1.0000001192092896,0.2257036566734314,0.385390967130661,0.24703912436962128,0.4571082592010498,0.20472171902656555,0.09946392476558685,0.385390967130661,0.324719101190567,0.2089974731206894
intended,0.3107491433620453,0.3671674132347107,0.16135427355766296,0.4139973223209381,0.48327770829200745,0.22181229293346405,0.29853108525276184,0.2542627453804016,0.3366122543811798,0.48327770829200745,0.1878434270620346,0.21823447942733765
his,0.19196097552776337,0.3546801507472992,0.7171558737754822,0.20445500314235687,0.3715193271636963,0.24823373556137085,0.4394008219242096,0.16114097833633423,0.09270217269659042,0.3715193271636963,0.17825907468795776,0.18075084686279297
vigorous,0.27291223406791687,0.17048287391662598,0.24736744165420532,0.1627352237701416,0.2891698181629181,0.2508358955383301,0.23662160336971283,0.11458522826433182,0.2556382417678833,0.2891698181629181,0.10934954136610031,0.1403348594903946
",",0.2827242314815521,0.3015086054801941,0.40251094102859497,0.30747702717781067,0.44245919585227966,0.324553906917572,0.4933079481124878,0.2694627344608307,0.20165064930915833,0.44245919585227966,0.36644625663757324,0.31091248989105225
direct,0.21197833120822906,0.25516921281814575,0.1325417459011078,0.2441847324371338,0.3420579433441162,0.23185741901397705,0.3262479901313782,0.2398577630519867,0.2641311585903168,0.3420579433441162,0.14467281103134155,0.18476411700248718
language,0.2840580344200134,0.1788339912891388,0.20472171902656555,0.21569061279296875,0.2763397693634033,0.20602314174175262,0.30198320746421814,0.9999998807907104,0.20523343980312347,0.2763397693634033,0.2826705873012543,0.25349316000938416
to,0.4100138247013092,0.4452643394470215,0.385390967130661,0.4966742694377899,1.0,0.497876912355423,0.535392165184021,0.2763397693634033,0.3116091787815094,1.0,0.37275731563568115,0.29463258385658264
make,0.4194630980491638,0.3602050840854645,0.24703912436962128,0.45181071758270264,0.497876912355423,1.0000001192092896,0.3146495521068573,0.20602314174175262,0.26640376448631287,0.497876912355423,0.33739447593688965,0.28314751386642456
the,0.30742117762565613,0.34736719727516174,0.4571082592010498,0.3003826439380646,0.535392165184021,0.3146495521068573,1.0,0.30198320746421814,0.21238647401332855,0.535392165184021,0.36838498711586,0.22068053483963013
bible,0.23430664837360382,0.24923516809940338,0.22914761304855347,0.2340477555990219,0.22778454422950745,0.2237989902496338,0.27647915482521057,0.3281344771385193,0.2774936556816101,0.22778454422950745,0.2409374862909317,0.22667601704597473
accessible,0.24947872757911682,0.10482631623744965,0.09946392476558685,0.27676036953926086,0.3116091787815094,0.26640376448631287,0.21238647401332855,0.20523343980312347,0.9999998807907104,0.3116091787815094,0.2024206966161728,0.22625717520713806
to,0.4100138247013092,0.4452643394470215,0.385390967130661,0.4966742694377899,1.0,0.497876912355423,0.535392165184021,0.2763397693634033,0.3116091787815094,1.0,0.37275731563568115,0.29463258385658264
everyday,0.2809666097164154,0.18948820233345032,0.202254980802536,0.3060529828071594,0.25894641876220703,0.31387269496917725,0.21434803307056427,0.23922228813171387,0.21167752146720886,0.25894641876220703,0.2942934036254883,0.1742577999830246
germans,0.22427405416965485,0.3212936818599701,0.2933379113674164,0.2704498767852783,0.31501704454421997,0.2655196487903595,0.28980037569999695,0.1887902021408081,0.13451774418354034,0.31501704454421997,0.40674296021461487,0.1468498557806015
",",0.2827242314815521,0.3015086054801941,0.40251094102859497,0.30747702717781067,0.44245919585227966,0.324553906917572,0.4933079481124878,0.2694627344608307,0.20165064930915833,0.44245919585227966,0.36644625663757324,0.31091248989105225
``,0.05334433168172836,-0.029888948425650597,0.05585138872265816,0.027326209470629692,0.06720756739377975,-0.00563934538513422,0.029072100296616554,0.13820524513721466,-0.10176537930965424,0.06720756739377975,0.08962737023830414,0.0685480609536171
for,0.3869043290615082,0.318512886762619,0.4540175199508667,0.2998926341533661,0.4451248347759247,0.386745423078537,0.4739971458911896,0.23522019386291504,0.2703911066055298,0.4451248347759247,0.24900002777576447,0.264628142118454
we,0.5258660912513733,0.3426455855369568,0.24045048654079437,0.566356897354126,0.4005183279514313,0.38382551074028015,0.3206169009208679,0.2769627869129181,0.2321704477071762,0.4005183279514313,0.3194175064563751,0.535264790058136
are,0.3273901343345642,0.2159031480550766,0.22751110792160034,0.29057955741882324,0.3504326641559601,0.4522273540496826,0.40399202704429626,0.26836323738098145,0.25448787212371826,0.3504326641559601,0.385090708732605,0.24591213464736938
removing,0.310733824968338,0.2253706008195877,0.12126147747039795,0.3058830797672272,0.30891114473342896,0.35498046875,0.2945282459259033,0.16548670828342438,0.19013403356075287,0.30891114473342896,0.1954260915517807,0.32110175490379333
impediments,0.2599818706512451,0.15610788762569427,0.18170326948165894,0.1958470344543457,0.2979796230792999,0.24821989238262177,0.292114794254303,0.22360949218273163,0.3520534038543701,0.2979796230792999,0.16195228695869446,0.2524040639400482
and,0.27806392312049866,0.34479495882987976,0.45427167415618896,0.34348347783088684,0.48971283435821533,0.4160483181476593,0.5171257257461548,0.24699117243289948,0.2206992655992508,0.48971283435821533,0.3016039729118347,0.20544172823429108
difficulties,0.269626647233963,0.27026957273483276,0.2792353928089142,0.2611495554447174,0.35752931237220764,0.21368369460105896,0.3089388310909271,0.30189988017082214,0.2926029562950134,0.35752931237220764,0.288703590631485,0.16303583979606628
