,x.25,uses,what,type,network,type
the,0.16611021757125854,0.2830192744731903,0.42745697498321533,0.21819381415843964,0.27187061309814453,0.21819381415843964
user,0.12188387662172318,0.3088037669658661,0.3184303641319275,0.18709644675254822,0.2575385272502899,0.18709644675254822
datagram,0.14735117554664612,0.31521719694137573,0.282522588968277,0.25357821583747864,0.40036627650260925,0.25357821583747864
protocol,0.12008358538150787,0.26587721705436707,0.1694250851869583,0.15868566930294037,0.46392375230789185,0.15868566930294037
(,0.11103180050849915,0.21819280087947845,0.2411840260028839,0.1677488386631012,0.20757101476192474,0.1677488386631012
udp,0.11625038832426071,0.30863961577415466,0.23184533417224884,0.21843945980072021,0.3617335855960846,0.21843945980072021
),0.09145893901586533,0.20974069833755493,0.26259949803352356,0.18612703680992126,0.23536871373653412,0.18612703680992126
is,0.12484429031610489,0.41359779238700867,0.28837618231773376,0.3053323030471802,0.2196272611618042,0.3053323030471802
an,0.08675431460142136,0.2683957815170288,0.2821882665157318,0.21485474705696106,0.22587502002716064,0.21485474705696106
example,0.1411706507205963,0.4338369369506836,0.3456268310546875,0.2937546968460083,0.17970600724220276,0.2937546968460083
of,0.12254032492637634,0.2738003432750702,0.33290785551071167,0.18112817406654358,0.21800683438777924,0.18112817406654358
a,0.1218629851937294,0.35566505789756775,0.3320399522781372,0.3813284635543823,0.17299489676952362,0.3813284635543823
datagram,0.14735117554664612,0.31521719694137573,0.282522588968277,0.25357821583747864,0.40036627650260925,0.25357821583747864
protocol,0.12008358538150787,0.26587721705436707,0.1694250851869583,0.15868566930294037,0.46392375230789185,0.15868566930294037
.,0.08462481200695038,0.30030930042266846,0.3567904531955719,0.23195341229438782,0.23909442126750946,0.23195341229438782
,x.25,uses,what,type,network,type
this,0.09802655130624771,0.30266672372817993,0.5489566326141357,0.36936521530151367,0.2292335033416748,0.36936521530151367
results,0.0979386419057846,0.2193584442138672,0.2425258755683899,0.15221865475177765,0.13133692741394043,0.15221865475177765
in,0.09796767681837082,0.2516363263130188,0.30808621644973755,0.20604541897773743,0.19496823847293854,0.20604541897773743
a,0.1218629851937294,0.35566505789756775,0.3320399522781372,0.3813284635543823,0.17299489676952362,0.3813284635543823
simpler,0.022726593539118767,0.3676483929157257,0.4114208221435547,0.2726299464702606,0.18867436051368713,0.2726299464702606
host,0.13249710202217102,0.10720883309841156,0.12779991328716278,0.07755744457244873,0.3693876266479492,0.07755744457244873
interface,0.07551629841327667,0.3393866717815399,0.24331238865852356,0.2423158884048462,0.32381147146224976,0.2423158884048462
with,0.0817740336060524,0.2903013229370117,0.2464839518070221,0.1964726597070694,0.2153671681880951,0.1964726597070694
less,0.09008766710758209,0.285388708114624,0.31119704246520996,0.2475823312997818,0.12960653007030487,0.2475823312997818
functionality,0.10654862970113754,0.3068760335445404,0.2880898118019104,0.243241086602211,0.22746971249580383,0.243241086602211
than,0.08504797518253326,0.28979262709617615,0.29388150572776794,0.21065692603588104,0.1737969070672989,0.21065692603588104
in,0.09796767681837082,0.2516363263130188,0.30808621644973755,0.20604541897773743,0.19496823847293854,0.20604541897773743
the,0.16611021757125854,0.2830192744731903,0.42745697498321533,0.21819381415843964,0.27187061309814453,0.21819381415843964
datagram,0.14735117554664612,0.31521719694137573,0.282522588968277,0.25357821583747864,0.40036627650260925,0.25357821583747864
model,-0.05619685351848602,0.17253141105175018,0.2303347885608673,0.19148899614810944,0.19834443926811218,0.19148899614810944
.,0.08462481200695038,0.30030930042266846,0.3567904531955719,0.23195341229438782,0.23909442126750946,0.23195341229438782
