,who,introduced,the,first,system,of,education,?
kenya,0.168242946267128,0.08576779067516327,0.21657514572143555,0.21750585734844208,0.09539425373077393,0.22226637601852417,0.18209131062030792,0.17197901010513306
's,0.05599616840481758,-0.07158663123846054,-0.01540423184633255,-0.014458609744906425,0.04329425096511841,-0.03817026689648628,0.0036171283572912216,-0.023395681753754616
first,0.39065709710121155,0.32411283254623413,0.49448907375335693,1.0,0.19536277651786804,0.3536086082458496,0.18416465818881989,0.18701928853988647
system,0.1550477296113968,0.20164276659488678,0.3233085572719574,0.19536277651786804,1.0000001192092896,0.25597915053367615,0.1948843002319336,0.15556083619594574
of,0.2827862501144409,0.23328952491283417,0.733189046382904,0.3536086082458496,0.25597915053367615,1.0,0.3015166223049164,0.1826142966747284
education,0.2051982581615448,0.1589459776878357,0.23982903361320496,0.18416465818881989,0.1948843002319336,0.3015166223049164,1.0,0.18067774176597595
was,0.3318818509578705,0.32667654752731323,0.48711544275283813,0.5022147297859192,0.2147521674633026,0.4069072902202606,0.23187610507011414,0.18412111699581146
introduced,0.18349657952785492,1.0,0.242969810962677,0.32411283254623413,0.20164276659488678,0.23328952491283417,0.1589459776878357,0.16386865079402924
by,0.39727845788002014,0.2554222345352173,0.4408751428127289,0.3877052962779999,0.23017624020576477,0.3646814823150635,0.18719787895679474,0.17966607213020325
british,0.2666113078594208,0.2372177243232727,0.28973397612571716,0.23959001898765564,0.11963485926389694,0.23701532185077667,0.14255455136299133,0.09711728990077972
colonists,0.30432194471359253,0.19470611214637756,0.2727788984775543,0.21593880653381348,0.17127875983715057,0.24155713617801666,0.1795232743024826,0.15893349051475525
.,0.3541337847709656,0.2799728810787201,0.5934505462646484,0.4345304071903229,0.2277725487947464,0.5352458953857422,0.27047446370124817,0.4130953550338745
