,when,did,the,kmj-tv,first,broadcast,?
the,0.5091903209686279,0.34736719727516174,1.0,0.3744090497493744,0.49448907375335693,0.2713715434074402,0.22068053483963013
very,0.4456231892108917,0.3388260006904602,0.34171217679977417,0.2819174826145172,0.25814202427864075,0.14588843286037445,0.20864155888557434
first,0.4282494783401489,0.33691170811653137,0.49448907375335693,0.21728183329105377,1.0,0.2604263722896576,0.18701928853988647
fresno,0.23177862167358398,0.1545737385749817,0.22571885585784912,0.2264210283756256,0.15842407941818237,0.23081621527671814,0.13224096596240997
television,0.19077982008457184,0.17055591940879822,0.24569597840309143,0.48604172468185425,0.2787016034126282,0.6160560846328735,0.16825827956199646
station,0.17569848895072937,0.11704530566930771,0.23609806597232819,0.4146748483181,0.1849050670862198,0.3892953395843506,0.12574981153011322
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.3665625751018524,0.3792489171028137,0.2326623648405075,0.29463258385658264
begin,0.3341256082057953,0.2970099151134491,0.34293439984321594,0.16893310844898224,0.2771400213241577,0.13977687060832977,0.16177093982696533
broadcasting,0.24492605030536652,0.12097854167222977,0.29916465282440186,0.5224314332008362,0.2611231207847595,0.843898594379425,0.10870421677827835
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.21526770293712616,0.5022147297859192,0.24068336188793182,0.18412111699581146
kmj-tv,0.30918750166893005,0.22428137063980103,0.3744090497493744,1.0000001192092896,0.21728183329105377,0.5092742443084717,0.31314224004745483
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.31413501501083374,0.34503069519996643,0.24917922914028168,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.6521818041801453,0.48256242275238037,0.3828166127204895,0.26385819911956787,0.25814583897590637
debuted,0.16806688904762268,0.19454216957092285,0.28418588638305664,0.3265848457813263,0.35306718945503235,0.35800012946128845,0.12089905142784119
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.40906810760498047,0.3120559751987457,0.2845228910446167,0.2714994251728058
june,0.2469879388809204,0.26244688034057617,0.24568822979927063,0.2584742307662964,0.2872718572616577,0.27800387144088745,0.31416764855384827
1,-0.2683585286140442,-0.2815930247306824,-0.1554475575685501,-0.1883174180984497,-0.26829156279563904,-0.20020334422588348,-0.249979168176651
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.31413501501083374,0.34503069519996643,0.24917922914028168,0.31091248989105225
1953,-0.0046747662127017975,0.024656908586621284,0.10330186039209366,0.14541582763195038,0.07000213116407394,0.09299812465906143,-0.048926934599876404
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.3695369362831116,0.4345304071903229,0.2280997633934021,0.4130953550338745
