,what,was,the,advantage,that,the,lor,method,produced,in,the,event,of,a,spacecraft,failure,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2844003438949585,0.5473989248275757,1.0,0.19965508580207825,0.21624743938446045,0.22045251727104187,0.6662389636039734,1.0,0.2960145175457001,0.733189046382904,0.5829201340675354,0.21476294100284576,0.24083465337753296,0.22068053483963013
lor,0.21237510442733765,0.19599664211273193,0.19965508580207825,0.041420117020606995,0.14702755212783813,0.19965508580207825,1.0000001192092896,0.023968972265720367,0.10870561748743057,0.20042209327220917,0.19965508580207825,0.10875485092401505,0.10741402953863144,0.225738063454628,0.14641714096069336,0.1176435798406601,0.19372881948947906
method,0.25476205348968506,0.18816342949867249,0.21624743938446045,0.39908796548843384,0.29335150122642517,0.21624743938446045,0.023968972265720367,1.0000001192092896,0.18808136880397797,0.13883966207504272,0.21624743938446045,0.13585828244686127,0.22896558046340942,0.2613512873649597,0.23571078479290009,0.11349231749773026,0.2194802314043045
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.27220678329467773,0.4407361149787903,0.3875846862792969,0.12609127163887024,0.12502546608448029,0.23262043297290802,0.385026752948761,0.3875846862792969,0.1993836760520935,0.37755560874938965,0.34897568821907043,0.15351621806621552,0.2194654792547226,0.20728366076946259
the,0.42745697498321533,0.48711544275283813,1.0,0.2844003438949585,0.5473989248275757,1.0,0.19965508580207825,0.21624743938446045,0.22045251727104187,0.6662389636039734,1.0,0.2960145175457001,0.733189046382904,0.5829201340675354,0.21476294100284576,0.24083465337753296,0.22068053483963013
advantage,0.17863520979881287,0.15638723969459534,0.2844003438949585,1.0,0.34659355878829956,0.2844003438949585,0.041420117020606995,0.39908796548843384,0.15052375197410583,0.1498534232378006,0.2844003438949585,0.2245350033044815,0.20611627399921417,0.2823992371559143,0.18208205699920654,0.2413455992937088,0.10412604361772537
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.20611627399921417,0.41498205065727234,0.733189046382904,0.10741402953863144,0.22896558046340942,0.18961067497730255,0.5696388483047485,0.733189046382904,0.19878064095973969,1.0,0.5052502155303955,0.16566437482833862,0.21345095336437225,0.1826142966747284
allowing,0.21854478120803833,0.17487339675426483,0.3440283536911011,0.41592657566070557,0.4088030755519867,0.3440283536911011,0.03396424651145935,0.29646703600883484,0.07859262824058533,0.22594089806079865,0.3440283536911011,0.19893498718738556,0.29282480478286743,0.3025304675102234,0.19988656044006348,0.16713058948516846,0.1434045135974884
the,0.42745697498321533,0.48711544275283813,1.0,0.2844003438949585,0.5473989248275757,1.0,0.19965508580207825,0.21624743938446045,0.22045251727104187,0.6662389636039734,1.0,0.2960145175457001,0.733189046382904,0.5829201340675354,0.21476294100284576,0.24083465337753296,0.22068053483963013
lander,0.19371511042118073,0.2005281299352646,0.23764421045780182,0.12311635166406631,0.1683920919895172,0.23764421045780182,0.2582336962223053,0.060179829597473145,0.1044430136680603,0.19621990621089935,0.23764421045780182,0.0965295061469078,0.17867128551006317,0.20947328209877014,0.4403747022151947,0.14999935030937195,0.19822992384433746
spacecraft,0.19567668437957764,0.18611936271190643,0.21476294100284576,0.18208205699920654,0.2425282597541809,0.21476294100284576,0.14641714096069336,0.23571078479290009,0.15167002379894257,0.19417698681354523,0.21476294100284576,0.16849422454833984,0.16566437482833862,0.1892588883638382,1.0000001192092896,0.16646239161491394,0.17708687484264374
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27752500772476196,0.5436353087425232,0.535392165184021,0.17278125882148743,0.2593044936656952,0.16305041313171387,0.45010748505592346,0.535392165184021,0.2585321366786957,0.41548454761505127,0.45503583550453186,0.25703316926956177,0.2692638337612152,0.29463258385658264
be,0.3929833769798279,0.42228707671165466,0.4248143136501312,0.2934611439704895,0.6036020517349243,0.4248143136501312,0.1200399249792099,0.22966717183589935,0.19579869508743286,0.3481820821762085,0.4248143136501312,0.2608627378940582,0.33904364705085754,0.39883795380592346,0.21235716342926025,0.14366182684898376,0.3324260413646698
used,0.27546408772468567,0.23679393529891968,0.3718377649784088,0.3078814744949341,0.37621384859085083,0.3718377649784088,0.078528493642807,0.40983709692955017,0.30167680978775024,0.3090210556983948,0.3718377649784088,0.19243893027305603,0.3075267970561981,0.3864384889602661,0.21979516744613647,0.13600972294807434,0.22430120408535004
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.22279125452041626,0.4735107421875,0.48381632566452026,0.1764213591814041,0.2215547412633896,0.2437988519668579,0.3887844979763031,0.48381632566452026,0.21454742550849915,0.3886612355709076,0.39550232887268066,0.15933988988399506,0.11834058165550232,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2823992371559143,0.47537946701049805,0.5829201340675354,0.225738063454628,0.2613512873649597,0.21993228793144226,0.539380669593811,0.5829201340675354,0.2635729908943176,0.5052502155303955,1.0,0.1892588883638382,0.24439255893230438,0.23916715383529663
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.08284550160169601,0.05285148695111275,0.029072100296616554,0.008629913441836834,0.04582330584526062,-0.12914173305034637,0.04765888676047325,0.029072100296616554,0.055578943341970444,0.06780257821083069,0.07272057235240936,-0.043760839849710464,-0.006230555474758148,0.0685480609536171
lifeboat,0.19931671023368835,0.2364250123500824,0.22414268553256989,0.1864638775587082,0.27872228622436523,0.22414268553256989,0.05429355427622795,0.13388702273368835,0.12438705563545227,0.1942255049943924,0.22414268553256989,0.1938268542289734,0.1874188631772995,0.2411310225725174,0.3983890116214752,0.13653278350830078,0.1711137443780899
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.03822442889213562,0.007880004122853279,0.041273195296525955,-0.031269386410713196,0.07508864998817444,0.04142039641737938,0.07432962208986282,0.041273195296525955,-0.03223077952861786,0.13035868108272552,0.04890415817499161,-0.0929514691233635,-0.05235418304800987,0.018684765323996544
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1498534232378006,0.435920387506485,0.6662389636039734,0.20042209327220917,0.13883966207504272,0.2542861998081207,1.0,0.6662389636039734,0.27304479479789734,0.5696388483047485,0.539380669593811,0.19417698681354523,0.2055809497833252,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2844003438949585,0.5473989248275757,1.0,0.19965508580207825,0.21624743938446045,0.22045251727104187,0.6662389636039734,1.0,0.2960145175457001,0.733189046382904,0.5829201340675354,0.21476294100284576,0.24083465337753296,0.22068053483963013
event,0.26981404423713684,0.28341150283813477,0.2960145175457001,0.2245350033044815,0.3453879952430725,0.2960145175457001,0.10875485092401505,0.13585828244686127,0.25595420598983765,0.27304479479789734,0.2960145175457001,0.9999998807907104,0.19878064095973969,0.2635729908943176,0.16849422454833984,0.15305103361606598,0.16076280176639557
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.20611627399921417,0.41498205065727234,0.733189046382904,0.10741402953863144,0.22896558046340942,0.18961067497730255,0.5696388483047485,0.733189046382904,0.19878064095973969,1.0,0.5052502155303955,0.16566437482833862,0.21345095336437225,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2823992371559143,0.47537946701049805,0.5829201340675354,0.225738063454628,0.2613512873649597,0.21993228793144226,0.539380669593811,0.5829201340675354,0.2635729908943176,0.5052502155303955,1.0,0.1892588883638382,0.24439255893230438,0.23916715383529663
failure,0.19130942225456238,0.29373642802238464,0.24083465337753296,0.2413455992937088,0.17428617179393768,0.24083465337753296,0.1176435798406601,0.11349231749773026,0.11782880127429962,0.2055809497833252,0.24083465337753296,0.15305103361606598,0.21345095336437225,0.24439255893230438,0.16646239161491394,1.0,0.12142058461904526
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.20611627399921417,0.41498205065727234,0.733189046382904,0.10741402953863144,0.22896558046340942,0.18961067497730255,0.5696388483047485,0.733189046382904,0.19878064095973969,1.0,0.5052502155303955,0.16566437482833862,0.21345095336437225,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2844003438949585,0.5473989248275757,1.0,0.19965508580207825,0.21624743938446045,0.22045251727104187,0.6662389636039734,1.0,0.2960145175457001,0.733189046382904,0.5829201340675354,0.21476294100284576,0.24083465337753296,0.22068053483963013
command,0.22732043266296387,0.22477014362812042,0.27488255500793457,0.2689005434513092,0.23043839633464813,0.27488255500793457,0.229699969291687,0.0711221769452095,0.08435186743736267,0.18293465673923492,0.27488255500793457,0.0682549849152565,0.23060646653175354,0.1801539957523346,0.3021649122238159,0.17407745122909546,0.13402260839939117
ship,0.15709257125854492,0.20396772027015686,0.24414241313934326,0.16532503068447113,0.2733630836009979,0.24414241313934326,0.034326232969760895,0.09590935707092285,0.09957640618085861,0.21587909758090973,0.24414241313934326,0.14384210109710693,0.23378267884254456,0.20629847049713135,0.4701367914676666,0.12703028321266174,0.14488010108470917
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.18389295041561127,0.4460422694683075,0.5934505462646484,0.23552289605140686,0.18224337697029114,0.2634154260158539,0.5591574311256409,0.5934505462646484,0.2068977802991867,0.5352458953857422,0.50484299659729,0.19334369897842407,0.22655700147151947,0.4130953550338745
