,who,influenced,the,taliban,'s,ideology,?
their,0.3767721951007843,0.19342902302742004,0.516537070274353,0.27294743061065674,-0.005530759692192078,0.18817000091075897,0.1898253709077835
ideology,0.24626760184764862,0.3939485251903534,0.17914913594722748,0.35036876797676086,0.05649937689304352,0.9999999403953552,0.14344371855258942
was,0.3318818509578705,0.23784680664539337,0.48711544275283813,0.2781808078289032,0.008974763564765453,0.1863693743944168,0.18412111699581146
also,0.47919341921806335,0.22805197536945343,0.6021018624305725,0.2707690894603729,-0.0014726108638569713,0.19586437940597534,0.21848613023757935
described,0.24653644859790802,0.40331780910491943,0.2878154516220093,0.13724280893802643,-0.013899330981075764,0.22087979316711426,0.1374269425868988
as,0.3923053741455078,0.22780272364616394,0.48381632566452026,0.18671482801437378,-0.05775856226682663,0.19506432116031647,0.27043893933296204
being,0.44037187099456787,0.16852305829524994,0.419739305973053,0.26468104124069214,-0.055871423333883286,0.23440800607204437,0.26743772625923157
influenced,0.21744515001773834,1.0,0.18518297374248505,0.206603541970253,-0.0006173446890898049,0.3939485251903534,0.1310873031616211
by,0.39727845788002014,0.37002116441726685,0.4408751428127289,0.28549808263778687,-0.010884488001465797,0.175731360912323,0.17966607213020325
wahhabism,0.29163873195648193,0.39824196696281433,0.2502059042453766,0.48446229100227356,-0.021132592111825943,0.5952514410018921,0.1985596865415573
",",0.3365725874900818,0.2484109252691269,0.4933079481124878,0.24089160561561584,-0.0016132977325469255,0.19314546883106232,0.31091248989105225
and,0.41279885172843933,0.2976251244544983,0.5171257257461548,0.3037244379520416,0.06895173341035843,0.23461033403873444,0.20544172823429108
the,0.3733934462070465,0.18518297374248505,1.0,0.26727861166000366,-0.01540423184633255,0.17914913594722748,0.22068053483963013
extremist,0.3363332152366638,0.2950374186038971,0.2740326523780823,0.5313301682472229,-0.058937013149261475,0.4744229316711426,0.14525245130062103
jihadism,0.24582098424434662,0.3005388379096985,0.2225016951560974,0.5706644654273987,-0.03398282825946808,0.5751464366912842,0.23851723968982697
of,0.2827862501144409,0.25486209988594055,0.733189046382904,0.2280503511428833,-0.03817026689648628,0.2324344515800476,0.1826142966747284
their,0.3767721951007843,0.19342902302742004,0.516537070274353,0.27294743061065674,-0.005530759692192078,0.18817000091075897,0.1898253709077835
guest,0.2661038935184479,0.1773807257413864,0.17925196886062622,0.10393490642309189,-0.0491914227604866,0.08105703443288803,0.23479853570461273
osama,0.2671177387237549,0.10107506066560745,0.24427366256713867,0.5086359977722168,-0.1024593785405159,0.22126387059688568,0.2064143270254135
bin,0.203443706035614,0.12411510944366455,0.15085823833942413,0.4550010561943054,-0.05608178302645683,0.16172201931476593,0.18378846347332
laden,0.22204375267028809,0.13265328109264374,0.24923722445964813,0.5078741908073425,-0.01045935321599245,0.17709417641162872,0.17972345650196075
.,0.3541337847709656,0.24771656095981598,0.5934505462646484,0.2613162100315094,-0.003708066651597619,0.13883206248283386,0.4130953550338745
