,what,ethnic,group,located,in,jacksonville,is,ranked,tenth,largest,?
jacksonville,0.14578714966773987,0.1758783906698227,0.17437711358070374,0.18067680299282074,0.22147351503372192,1.0000001192092896,0.1726600080728531,0.16087976098060608,0.18150772154331207,0.1861613392829895,0.1359667330980301
has,0.20338068902492523,0.16746316850185394,0.1970849484205246,0.2580956220626831,0.4173259735107422,0.22732819616794586,0.5668748617172241,0.23182447254657745,0.12316752225160599,0.24081888794898987,0.15994466841220856
the,0.42745697498321533,0.2494550496339798,0.30795547366142273,0.407527357339859,0.6662389636039734,0.2176690250635147,0.5823672413825989,0.2711145281791687,0.3562787175178528,0.3757036626338959,0.22068053483963013
country,0.22705033421516418,0.3581138253211975,0.2667160928249359,0.19386409223079681,0.3040012717247009,0.16358605027198792,0.24409033358097076,0.21970579028129578,0.1881362497806549,0.20205822587013245,0.12647280097007751
's,0.02692362666130066,0.005507649388164282,-0.01093533169478178,-0.031078986823558807,-0.037580832839012146,0.02280956320464611,0.02396530658006668,0.0652458518743515,0.030220801010727882,-0.02050611935555935,-0.023395681753754616
tenth-largest,0.16572879254817963,0.18854857981204987,0.2320341318845749,0.36545342206954956,0.3832363188266754,0.2584458589553833,0.3632681667804718,0.3770071268081665,0.5715259313583374,0.8894650936126709,0.1897798329591751
arab,0.14742176234722137,0.4004237651824951,0.22176843881607056,0.1334162950515747,0.19895488023757935,0.1727002114057541,0.17620310187339783,0.14661329984664917,0.15755070745944977,0.20438577234745026,0.18450474739074707
population,0.2000674307346344,0.4035727381706238,0.20475351810455322,0.2726474106311798,0.3268454372882843,0.23063048720359802,0.2727566361427307,0.2346661388874054,0.18774685263633728,0.41943269968032837,0.14449454843997955
",",0.3087472915649414,0.21101661026477814,0.2809832692146301,0.2678719460964203,0.5201468467712402,0.2837527096271515,0.4691906273365021,0.21935869753360748,0.21015258133411407,0.26626327633857727,0.31091248989105225
with,0.2464839518070221,0.18319790065288544,0.23998425900936127,0.12990716099739075,0.4080928862094879,0.2283513844013214,0.3250955045223236,0.13434433937072754,0.13223600387573242,0.16282805800437927,0.2433311939239502
a,0.3320399522781372,0.20294994115829468,0.2594761848449707,0.2605401277542114,0.539380669593811,0.28008249402046204,0.658733606338501,0.15578456223011017,0.2407987415790558,0.24042341113090515,0.23916715383529663
total,0.19850242137908936,0.20638033747673035,0.21857476234436035,0.16183878481388092,0.27667245268821716,0.17370817065238953,0.18159881234169006,0.27332717180252075,0.21015000343322754,0.29352495074272156,0.14396025240421295
population,0.2000674307346344,0.4035727381706238,0.20475351810455322,0.2726474106311798,0.3268454372882843,0.23063048720359802,0.2727566361427307,0.2346661388874054,0.18774685263633728,0.41943269968032837,0.14449454843997955
of,0.33290785551071167,0.2623131573200226,0.25542253255844116,0.32520920038223267,0.5696388483047485,0.23084138333797455,0.4854315221309662,0.276383638381958,0.2729830741882324,0.36650770902633667,0.1826142966747284
"5,751",0.017718670889735222,-0.004837890155613422,-0.0532015897333622,-0.0056668659672141075,0.07925445586442947,0.1998777836561203,-0.09570057690143585,0.08049274981021881,0.13749486207962036,-0.02763175033032894,-0.032363612204790115
according,0.2776208221912384,0.23334409296512604,0.1359664797782898,0.281026154756546,0.29259276390075684,0.15883150696754456,0.2838992476463318,0.28960883617401123,0.2432606965303421,0.1551414579153061,0.21173474192619324
to,0.455847829580307,0.18814419209957123,0.2672896385192871,0.20850814878940582,0.45010748505592346,0.1994343250989914,0.42745086550712585,0.08006753772497177,0.2801809310913086,0.18687231838703156,0.29463258385658264
the,0.42745697498321533,0.2494550496339798,0.30795547366142273,0.407527357339859,0.6662389636039734,0.2176690250635147,0.5823672413825989,0.2711145281791687,0.3562787175178528,0.3757036626338959,0.22068053483963013
2000,-0.10562582314014435,-0.18927456438541412,-0.08057468384504318,-0.1677985042333603,-0.0435720756649971,0.04041608050465584,-0.07182633876800537,-0.03034326806664467,0.04674560949206352,-0.17434780299663544,-0.0824366956949234
united,0.20036718249320984,0.18464666604995728,0.23352159559726715,0.21170265972614288,0.3938477039337158,0.303199827671051,0.22408509254455566,0.2151578664779663,0.23159199953079224,0.2719666361808777,0.17266890406608582
states,0.21526020765304565,0.1911894977092743,0.19787800312042236,0.24650995433330536,0.3977442979812622,0.31034567952156067,0.21939043700695038,0.21335366368293762,0.24436628818511963,0.23322616517543793,0.16272737085819244
census,0.2061002552509308,0.30150142312049866,0.14098750054836273,0.3130044937133789,0.2571312189102173,0.29302671551704407,0.18403194844722748,0.21611575782299042,0.17006738483905792,0.3100188374519348,0.12548218667507172
.,0.3567904531955719,0.17723505198955536,0.27268800139427185,0.28226932883262634,0.5591574311256409,0.2843366861343384,0.4569662809371948,0.21607504785060883,0.22688600420951843,0.18871670961380005,0.4130953550338745
