,what,team,had,the,best,start,ever,in,the,nfl,?
despite,0.1825345903635025,0.16347023844718933,0.4136416018009186,0.3172689974308014,0.18091048300266266,0.13784188032150269,0.2633798122406006,0.27473363280296326,0.3172689974308014,0.15728704631328583,0.14350546896457672
waiving,0.33251965045928955,0.15709131956100464,0.32836130261421204,0.3694417178630829,0.2691361904144287,0.20632901787757874,0.31797200441360474,0.3322989046573639,0.3694417178630829,0.23892506957054138,0.242996484041214
longtime,0.10752114653587341,0.23471619188785553,0.30973899364471436,0.2717287242412567,0.29314863681793213,0.1192307099699974,0.1672406792640686,0.21562570333480835,0.2717287242412567,0.25788789987564087,0.07657656818628311
running,0.2357972115278244,0.1671857237815857,0.21985846757888794,0.28883472084999084,0.20971718430519104,0.25299039483070374,0.19113288819789886,0.2874506413936615,0.28883472084999084,0.25257569551467896,0.15679655969142914
back,0.2965294420719147,0.23621436953544617,0.3374921381473541,0.3612101674079895,0.2097540646791458,0.33157768845558167,0.21242856979370117,0.25397348403930664,0.3612101674079895,0.1497868448495865,0.2397768795490265
deangelo,0.1812259703874588,0.17731830477714539,0.19638586044311523,0.2024650275707245,0.2361629754304886,0.1669505536556244,0.10820034891366959,0.24543344974517822,0.2024650275707245,0.2586706280708313,0.18370559811592102
williams,0.12967023253440857,0.27572599053382874,0.24326007068157196,0.20852252840995789,0.25649282336235046,0.1600981056690216,0.3070800304412842,0.16579249501228333,0.20852252840995789,0.23999285697937012,0.1924409717321396
and,0.31309178471565247,0.22394508123397827,0.3872550129890442,0.5171257257461548,0.30328524112701416,0.2890162169933319,0.22324110567569733,0.4954058527946472,0.5171257257461548,0.2080700695514679,0.20544172823429108
losing,0.2354373037815094,0.28624942898750305,0.32655465602874756,0.3114689588546753,0.2149401307106018,0.22721397876739502,0.1833428293466568,0.3055514097213745,0.3114689588546753,0.18746362626552582,0.15056444704532623
top,0.21232028305530548,0.17830802500247955,0.22438767552375793,0.31754136085510254,0.32390400767326355,0.20333530008792877,0.22243182361125946,0.2235720455646515,0.31754136085510254,0.18408949673175812,0.17265194654464722
wide,0.22181174159049988,0.08190646767616272,0.20107664167881012,0.28078147768974304,0.15974637866020203,0.17861278355121613,0.17333440482616425,0.22946839034557343,0.28078147768974304,0.24957473576068878,0.12719376385211945
receiver,0.17021551728248596,0.26599493622779846,0.14794345200061798,0.21850530803203583,0.18235863745212555,0.12160570919513702,0.1781376302242279,0.16248875856399536,0.21850530803203583,0.46299049258232117,0.11587938666343689
kelvin,0.2659316062927246,0.0933637022972107,0.10200969874858856,0.20588484406471252,0.14160192012786865,0.17295052111148834,0.1931968480348587,0.20857983827590942,0.20588484406471252,0.16299770772457123,0.18197040259838104
benjamin,0.18476101756095886,0.17997358739376068,0.1834128499031067,0.2507040798664093,0.17911787331104279,0.07970110327005386,0.1961870938539505,0.20055828988552094,0.2507040798664093,0.12891431152820587,0.20336422324180603
to,0.455847829580307,0.23889471590518951,0.37984350323677063,0.535392165184021,0.21715646982192993,0.33345553278923035,0.33233755826950073,0.45010748505592346,0.535392165184021,0.1526731252670288,0.29463258385658264
a,0.3320399522781372,0.19125498831272125,0.34897568821907043,0.5829201340675354,0.2547774314880371,0.29672953486442566,0.27561625838279724,0.539380669593811,0.5829201340675354,0.1210956797003746,0.23916715383529663
torn,0.21371328830718994,0.10052528232336044,0.2971421480178833,0.270181804895401,0.17343969643115997,0.1988425999879837,0.2065332531929016,0.24918708205223083,0.270181804895401,0.15514671802520752,0.13564015924930573
acl,0.10634554177522659,0.18752607703208923,0.13574959337711334,0.23845629394054413,0.13096582889556885,0.1475374847650528,0.1474364995956421,0.15011103451251984,0.23845629394054413,0.2741280198097229,0.14736860990524292
