,what,does,isobaric,mean,?
the,0.42745697498321533,0.35928019881248474,0.2787138521671295,0.25977957248687744,0.22068053483963013
main,0.2344268560409546,0.245339035987854,0.25660252571105957,0.12818342447280884,0.1665669083595276
difference,0.4114832878112793,0.34595608711242676,0.1989605724811554,0.37592145800590515,0.2842230200767517
is,0.28837618231773376,0.4403602182865143,0.2957768142223358,0.3152560591697693,0.22961433231830597
that,0.6297725439071655,0.4764937460422516,0.23745551705360413,0.3935231864452362,0.32716336846351624
heat,0.1933984011411667,0.24580630660057068,0.16237379610538483,0.21166615188121796,0.16343188285827637
addition,0.20643717050552368,0.29091760516166687,0.22230082750320435,0.15299469232559204,0.19187232851982117
(,0.2411840260028839,0.2728188931941986,0.2963632047176361,0.24319502711296082,0.40561532974243164
in,0.30808621644973755,0.214483380317688,0.2475080043077469,0.2099098116159439,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.2787138521671295,0.25977957248687744,0.22068053483963013
boiler,0.23551298677921295,0.18338285386562347,0.21191857755184174,0.12391297519207001,0.20881007611751556
),0.26259949803352356,0.2575884759426117,0.2866930067539215,0.2426333725452423,0.42300865054130554
and,0.31309178471565247,0.3461615741252899,0.2964669466018677,0.22596950829029083,0.20544172823429108
rejection,0.28061577677726746,0.2792224586009979,0.21599377691745758,0.2003660649061203,0.2854093909263611
(,0.2411840260028839,0.2728188931941986,0.2963632047176361,0.24319502711296082,0.40561532974243164
in,0.30808621644973755,0.214483380317688,0.2475080043077469,0.2099098116159439,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.2787138521671295,0.25977957248687744,0.22068053483963013
condenser,0.2606344223022461,0.2796042859554291,0.27116191387176514,0.21915371716022491,0.1732601672410965
),0.26259949803352356,0.2575884759426117,0.2866930067539215,0.2426333725452423,0.42300865054130554
are,0.29724663496017456,0.3126322329044342,0.24677087366580963,0.32494738698005676,0.24591213464736938
isobaric,0.25266921520233154,0.3304944634437561,1.0,0.2041463553905487,0.253923237323761
(,0.2411840260028839,0.2728188931941986,0.2963632047176361,0.24319502711296082,0.40561532974243164
constant,0.22559526562690735,0.17741715908050537,0.23594285547733307,0.20341750979423523,0.14516431093215942
pressure,0.2625555694103241,0.21297191083431244,0.2217949479818344,0.20363876223564148,0.142023503780365
),0.26259949803352356,0.2575884759426117,0.2866930067539215,0.2426333725452423,0.42300865054130554
processes,0.35821089148521423,0.2932664752006531,0.17524102330207825,0.24900612235069275,0.22719913721084595
in,0.30808621644973755,0.214483380317688,0.2475080043077469,0.2099098116159439,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.2787138521671295,0.25977957248687744,0.22068053483963013
rankine,0.14446263015270233,0.17876403033733368,0.2328769862651825,0.21913808584213257,0.15256094932556152
cycle,0.17920038104057312,0.186013326048851,0.17319174110889435,0.13645972311496735,0.07156776636838913
and,0.31309178471565247,0.3461615741252899,0.2964669466018677,0.22596950829029083,0.20544172823429108
isothermal,0.21658018231391907,0.24648906290531158,0.41922417283058167,0.24839212000370026,0.17426927387714386
(,0.2411840260028839,0.2728188931941986,0.2963632047176361,0.24319502711296082,0.40561532974243164
constant,0.22559526562690735,0.17741715908050537,0.23594285547733307,0.20341750979423523,0.14516431093215942
temperature,0.26338207721710205,0.26498737931251526,0.2423279881477356,0.3009777367115021,0.2011885941028595
),0.26259949803352356,0.2575884759426117,0.2866930067539215,0.2426333725452423,0.42300865054130554
processes,0.35821089148521423,0.2932664752006531,0.17524102330207825,0.24900612235069275,0.22719913721084595
in,0.30808621644973755,0.214483380317688,0.2475080043077469,0.2099098116159439,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.2787138521671295,0.25977957248687744,0.22068053483963013
theoretical,0.3012935221195221,0.1772969514131546,0.27069875597953796,0.22994260489940643,0.14929188787937164
carnot,0.16825038194656372,0.1695818156003952,0.33112388849258423,0.1831160932779312,0.18029625713825226
cycle,0.17920038104057312,0.186013326048851,0.17319174110889435,0.13645972311496735,0.07156776636838913
.,0.3567904531955719,0.3022993505001068,0.3136464059352875,0.21881133317947388,0.4130953550338745
