,which,of,temüjin,'s,brothers,took,up,the,role,of,male,leader,of,the,family,?
for,0.44095608592033386,0.4185989499092102,0.2671065032482147,-0.07241261005401611,0.1550751030445099,0.27585867047309875,0.342966228723526,0.4739971458911896,0.34694939851760864,0.4185989499092102,0.24583595991134644,0.1646857112646103,0.4185989499092102,0.4739971458911896,0.18213365972042084,0.264628142118454
the,0.6521818041801453,0.733189046382904,0.43713900446891785,-0.01540423184633255,0.2150324583053589,0.31657639145851135,0.38423117995262146,1.0,0.26607486605644226,0.733189046382904,0.2487100213766098,0.27799519896507263,0.733189046382904,1.0,0.2394849956035614,0.22068053483963013
next,0.3187560439109802,0.2935165464878082,0.18684138357639313,-0.056625429540872574,0.13915859162807465,0.2056168168783188,0.2348165065050125,0.35833123326301575,0.18119516968727112,0.2935165464878082,0.10725683718919754,0.13698405027389526,0.2935165464878082,0.35833123326301575,0.11210478097200394,0.167460098862648
several,0.4863804280757904,0.3271615505218506,0.2575584948062897,-0.012985157780349255,0.1740090548992157,0.21294540166854858,0.2875290513038635,0.40559855103492737,0.18841400742530823,0.3271615505218506,0.136186882853508,0.15047875046730042,0.3271615505218506,0.40559855103492737,0.2516409754753113,0.15595775842666626
years,0.23232990503311157,0.2904134690761566,0.3053538501262665,0.05563735216856003,0.20456194877624512,0.32735753059387207,0.24200905859470367,0.2912273406982422,0.15365691483020782,0.2904134690761566,0.160359725356102,0.16104817390441895,0.2904134690761566,0.2912273406982422,0.21846431493759155,0.1914375126361847
",",0.3658004403114319,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.24914874136447906,0.27655306458473206,0.34193792939186096,0.4933079481124878,0.199491485953331,0.4946078956127167,0.19301897287368774,0.23893310129642487,0.4946078956127167,0.4933079481124878,0.22142739593982697,0.31091248989105225
hoelun,0.2727368175983429,0.29598546028137207,0.479356586933136,0.037844713777303696,0.25502482056617737,0.2848842740058899,0.17283767461776733,0.35117197036743164,0.12492763996124268,0.29598546028137207,0.20355041325092316,0.2647767663002014,0.29598546028137207,0.35117197036743164,0.18122847378253937,0.19743679463863373
and,0.506277859210968,0.5116966962814331,0.3789469599723816,0.06895173341035843,0.28383347392082214,0.25750628113746643,0.4032393991947174,0.5171257257461548,0.2629789710044861,0.5116966962814331,0.26849403977394104,0.23547638952732086,0.5116966962814331,0.5171257257461548,0.23506124317646027,0.20544172823429108
her,0.3091151714324951,0.27399197220802307,0.40914061665534973,0.045009974390268326,0.3105642795562744,0.27435919642448425,0.24723616242408752,0.354963481426239,0.26773545145988464,0.27399197220802307,0.27704691886901855,0.250794917345047,0.27399197220802307,0.354963481426239,0.29759877920150757,0.20310723781585693
children,0.1595885455608368,0.1978350728750229,0.226019486784935,0.0160713829100132,0.34952738881111145,0.1512497514486313,0.1355152726173401,0.15654058754444122,0.13065379858016968,0.1978350728750229,0.23192986845970154,0.16824448108673096,0.1978350728750229,0.15654058754444122,0.30274513363838196,0.21788206696510315
lived,0.12307385355234146,0.3103700876235962,0.3163924217224121,-0.020320259034633636,0.15917633473873138,0.27214404940605164,0.11014208942651749,0.2897515296936035,0.06502142548561096,0.3103700876235962,0.14893241226673126,0.20242449641227722,0.3103700876235962,0.2897515296936035,0.2576839327812195,0.1798510104417801
in,0.4840516746044159,0.5696388483047485,0.3433155417442322,-0.037580832839012146,0.2192208170890808,0.2818296551704407,0.3120773434638977,0.6662389636039734,0.243671715259552,0.5696388483047485,0.1523800492286682,0.22669851779937744,0.5696388483047485,0.6662389636039734,0.2165997177362442,0.20430970191955566
poverty,0.16014906764030457,0.2334604412317276,0.2632371485233307,0.006857520900666714,0.17002031207084656,0.10278762876987457,0.14087575674057007,0.20494918525218964,0.1421058028936386,0.2334604412317276,0.1435692459344864,0.1380159556865692,0.2334604412317276,0.20494918525218964,0.2127329409122467,0.16537553071975708
",",0.3658004403114319,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.24914874136447906,0.27655306458473206,0.34193792939186096,0.4933079481124878,0.199491485953331,0.4946078956127167,0.19301897287368774,0.23893310129642487,0.4946078956127167,0.4933079481124878,0.22142739593982697,0.31091248989105225
surviving,0.2585808336734772,0.3663707971572876,0.32389745116233826,0.06567038595676422,0.24546821415424347,0.22492313385009766,0.13850753009319305,0.3328552544116974,0.19985431432724,0.3663707971572876,0.20506297051906586,0.2045474499464035,0.3663707971572876,0.3328552544116974,0.2103637307882309,0.1395692080259323
primarily,0.411638468503952,0.2761906683444977,0.19207720458507538,-0.08149473369121552,0.06473454087972641,0.13379351794719696,0.15775562822818756,0.34785038232803345,0.17395514249801636,0.2761906683444977,0.11505912989377975,0.05126005411148071,0.2761906683444977,0.34785038232803345,0.21370865404605865,0.06029784679412842
on,0.4245251417160034,0.3966929316520691,0.2295033484697342,0.0026888418942689896,0.15763533115386963,0.22459004819393158,0.34194523096084595,0.5107308030128479,0.16022825241088867,0.3966929316520691,0.11993876099586487,0.13550986349582672,0.3966929316520691,0.5107308030128479,0.19757194817066193,0.2714994251728058
wild,0.22725671529769897,0.18349416553974152,0.16159114241600037,0.15503185987472534,0.1923821121454239,0.09852034598588943,0.15597975254058838,0.2266727238893509,0.16975994408130646,0.18349416553974152,0.25374019145965576,0.1633656769990921,0.18349416553974152,0.2266727238893509,0.15476539731025696,0.1359478384256363
fruits,0.2517172694206238,0.26401686668395996,0.23069968819618225,0.04981550946831703,0.08888626098632812,0.12090057134628296,0.2004317194223404,0.23631547391414642,0.11701056361198425,0.26401686668395996,0.20505471527576447,0.0898800790309906,0.26401686668395996,0.23631547391414642,0.13821624219417572,0.14703810214996338
and,0.506277859210968,0.5116966962814331,0.3789469599723816,0.06895173341035843,0.28383347392082214,0.25750628113746643,0.4032393991947174,0.5171257257461548,0.2629789710044861,0.5116966962814331,0.26849403977394104,0.23547638952732086,0.5116966962814331,0.5171257257461548,0.23506124317646027,0.20544172823429108
ox,0.16104845702648163,0.10956273972988129,0.1646214872598648,0.04220807924866676,0.12777340412139893,0.17579203844070435,0.15790335834026337,0.14499858021736145,0.09156664460897446,0.10956273972988129,0.1917356252670288,0.06347624212503433,0.10956273972988129,0.14499858021736145,0.086396224796772,0.1723390370607376
carcasses,0.3459380567073822,0.2939141094684601,0.31913208961486816,0.051572877913713455,0.1777837574481964,0.20253372192382812,0.2582955062389374,0.33515429496765137,0.14117571711540222,0.2939141094684601,0.2794409394264221,0.12274442613124847,0.2939141094684601,0.33515429496765137,0.24887044727802277,0.17511554062366486
",",0.3658004403114319,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.24914874136447906,0.27655306458473206,0.34193792939186096,0.4933079481124878,0.199491485953331,0.4946078956127167,0.19301897287368774,0.23893310129642487,0.4946078956127167,0.4933079481124878,0.22142739593982697,0.31091248989105225
marmots,0.21707086265087128,0.29519370198249817,0.24196940660476685,0.06534219533205032,0.17705854773521423,0.12814076244831085,0.24367135763168335,0.309575617313385,0.14287109673023224,0.29519370198249817,0.2754608690738678,0.14217491447925568,0.29519370198249817,0.309575617313385,0.34038278460502625,0.22892306745052338
",",0.3658004403114319,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.24914874136447906,0.27655306458473206,0.34193792939186096,0.4933079481124878,0.199491485953331,0.4946078956127167,0.19301897287368774,0.23893310129642487,0.4946078956127167,0.4933079481124878,0.22142739593982697,0.31091248989105225
and,0.506277859210968,0.5116966962814331,0.3789469599723816,0.06895173341035843,0.28383347392082214,0.25750628113746643,0.4032393991947174,0.5171257257461548,0.2629789710044861,0.5116966962814331,0.26849403977394104,0.23547638952732086,0.5116966962814331,0.5171257257461548,0.23506124317646027,0.20544172823429108
other,0.50507652759552,0.38583824038505554,0.28115615248680115,0.04445967823266983,0.2167707085609436,0.19757719337940216,0.30423301458358765,0.44152235984802246,0.1534264087677002,0.38583824038505554,0.2068372219800949,0.1510489135980606,0.38583824038505554,0.44152235984802246,0.24132311344146729,0.24682199954986572
small,0.42979657649993896,0.353353351354599,0.24164192378520966,0.08369652181863785,0.1304437220096588,0.20960673689842224,0.3115811347961426,0.39655908942222595,0.1468454897403717,0.353353351354599,0.1795271933078766,0.1357942521572113,0.353353351354599,0.39655908942222595,0.28568699955940247,0.13914890587329865
game,0.23652023077011108,0.2298848181962967,0.274681031703949,0.07448072731494904,0.15507330000400543,0.16754378378391266,0.2075866311788559,0.285271555185318,0.20485715568065643,0.2298848181962967,0.14423096179962158,0.14056195318698883,0.2298848181962967,0.285271555185318,0.10900665074586868,0.1829071193933487
killed,0.14481931924819946,0.2589981257915497,0.32560741901397705,-0.004342961125075817,0.2575336992740631,0.37384140491485596,0.15881852805614471,0.23115427792072296,0.1312590390443802,0.2589981257915497,0.14886222779750824,0.2789110541343689,0.2589981257915497,0.23115427792072296,0.1540597826242447,0.17928971350193024
by,0.40543368458747864,0.3646814823150635,0.2763390839099884,-0.010884488001465797,0.3191544711589813,0.21169665455818176,0.2738759219646454,0.4408751428127289,0.20783835649490356,0.3646814823150635,0.16616706550121307,0.16688144207000732,0.3646814823150635,0.4408751428127289,0.1652497947216034,0.17966607213020325
temüjin,0.37199702858924866,0.378805011510849,1.0,-0.010023289360105991,0.28206151723861694,0.36550742387771606,0.2783955931663513,0.43713900446891785,0.21796871721744537,0.378805011510849,0.24729575216770172,0.3823694586753845,0.378805011510849,0.43713900446891785,0.2874669134616852,0.21090233325958252
and,0.506277859210968,0.5116966962814331,0.3789469599723816,0.06895173341035843,0.28383347392082214,0.25750628113746643,0.4032393991947174,0.5171257257461548,0.2629789710044861,0.5116966962814331,0.26849403977394104,0.23547638952732086,0.5116966962814331,0.5171257257461548,0.23506124317646027,0.20544172823429108
