,who,reigned,over,the,ottoman,empire,when,it,was,at,its,most,powerful,.
during,0.30551859736442566,0.3041417896747589,0.3472751975059509,0.4838213622570038,0.21802297234535217,0.24941793084144592,0.46721696853637695,0.26678937673568726,0.4470829963684082,0.372769296169281,0.23688937723636627,0.3715948462486267,0.23669305443763733,0.3485563397407532
the,0.3733934462070465,0.21480600535869598,0.39856547117233276,1.0,0.2623080313205719,0.32532164454460144,0.5091903209686279,0.6251175999641418,0.48711544275283813,0.457212895154953,0.559237003326416,0.47635307908058167,0.3115491271018982,0.5934505462646484
16th,0.09550163894891739,0.06800656765699387,0.07003552466630936,0.2201097458600998,0.08079668879508972,0.09097147732973099,0.09667909890413284,0.12146008014678955,0.23553764820098877,0.08016463369131088,0.10231982916593552,0.1310880482196808,0.10873991996049881,0.21393761038780212
and,0.41279885172843933,0.19338300824165344,0.4021143913269043,0.5171257257461548,0.24569445848464966,0.27479609847068787,0.4716290831565857,0.40957894921302795,0.3740963041782379,0.3571503460407257,0.3841775357723236,0.4309377074241638,0.28323009610176086,0.588965117931366
17th,0.0544084869325161,0.15888060629367828,0.12671992182731628,0.2679309546947479,0.036172568798065186,0.07206670939922333,0.1468975991010666,0.23302410542964935,0.2182053178548813,0.18051086366176605,0.228539377450943,0.16921821236610413,0.14756181836128235,0.24070394039154053
centuries,0.25522559881210327,0.35948318243026733,0.27925294637680054,0.32166481018066406,0.39221712946891785,0.3826601803302765,0.24950438737869263,0.24550244212150574,0.27720052003860474,0.1350167989730835,0.23990042507648468,0.3335590362548828,0.25520840287208557,0.22407080233097076
",",0.3365725874900818,0.2855651080608368,0.3301127254962921,0.4933079481124878,0.22751282155513763,0.27646857500076294,0.36674630641937256,0.48329564929008484,0.45456063747406006,0.38314947485923767,0.33157986402511597,0.3636029064655304,0.19557704031467438,0.6812511086463928
in,0.2792111933231354,0.22864234447479248,0.3605569899082184,0.6662389636039734,0.17080391943454742,0.24110576510429382,0.4431333839893341,0.5130809545516968,0.45514053106307983,0.4374977946281433,0.3793783485889435,0.41416558623313904,0.17873525619506836,0.5591574311256409
particular,0.304595410823822,0.1040465384721756,0.28441092371940613,0.4066357910633087,0.19065411388874054,0.15291042625904083,0.33299341797828674,0.34117943048477173,0.20213615894317627,0.22621183097362518,0.33972424268722534,0.42976608872413635,0.17880193889141083,0.28589439392089844
at,0.22096660733222961,0.17586734890937805,0.34008997678756714,0.457212895154953,0.14614491164684296,0.18196320533752441,0.38876327872276306,0.36473900079727173,0.36707764863967896,1.0,0.2685394287109375,0.22451047599315643,0.06700512766838074,0.4549728035926819
the,0.3733934462070465,0.21480600535869598,0.39856547117233276,1.0,0.2623080313205719,0.32532164454460144,0.5091903209686279,0.6251175999641418,0.48711544275283813,0.457212895154953,0.559237003326416,0.47635307908058167,0.3115491271018982,0.5934505462646484
height,0.08261597156524658,0.1926276981830597,0.236084446310997,0.2694929540157318,0.17739330232143402,0.19126209616661072,0.2304079234600067,0.20494982600212097,0.1334953010082245,0.23267672955989838,0.2827153205871582,0.12270801514387131,0.1749008744955063,0.2575502097606659
of,0.2827862501144409,0.2697424292564392,0.36136594414711,0.733189046382904,0.239910289645195,0.30522286891937256,0.3757161796092987,0.38761502504348755,0.4069072902202606,0.42558613419532776,0.48690423369407654,0.4178851246833801,0.2867213189601898,0.5352458953857422
its,0.1326070874929428,0.10766193270683289,0.36371928453445435,0.559237003326416,0.18237708508968353,0.22907911241054535,0.34032323956489563,0.5786119699478149,0.3518870174884796,0.2685394287109375,1.0,0.32324016094207764,0.293252557516098,0.3566088080406189
