,what,was,konstantin,mereschkowski,'s,career,?
this,0.5489566326141357,0.3638818562030792,0.060911551117897034,0.2169342339038849,0.02106832154095173,0.16351760923862457,0.3155723512172699
origin,0.20149369537830353,0.20749133825302124,0.005250090267509222,0.0824933797121048,-0.029064321890473366,0.1654268056154251,0.12716172635555267
of,0.33290785551071167,0.4069072902202606,0.14262403547763824,0.21273104846477509,-0.03817026689648628,0.18121089041233063,0.1826142966747284
chloroplasts,0.2524593770503998,0.1579415500164032,0.23530510067939758,0.23021596670150757,-0.026035647839307785,0.14308221638202667,0.13049766421318054
was,0.22111038863658905,1.0000001192092896,0.22763784229755402,0.3049047589302063,0.008974763564765453,0.2927095592021942,0.18412111699581146
first,0.28086137771606445,0.5022147297859192,0.23273798823356628,0.26189884543418884,-0.014458609744906425,0.25265049934387207,0.18701928853988647
suggested,0.30050885677337646,0.30712512135505676,0.12254129350185394,0.24106177687644958,-0.03879263624548912,0.06116899102926254,0.2549840807914734
by,0.2455483376979828,0.4752357602119446,0.18230651319026947,0.21850495040416718,-0.010884488001465797,0.1585821509361267,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.14999036490917206,0.2222645878791809,-0.01540423184633255,0.19230268895626068,0.22068053483963013
russian,0.1513282060623169,0.19927078485488892,0.5248938798904419,0.3454265594482422,0.02067267894744873,0.16625076532363892,0.12951652705669403
biologist,0.18255768716335297,0.25700777769088745,0.25740376114845276,0.3171278238296509,-0.012244239449501038,0.15305490791797638,0.176077201962471
konstantin,0.10748802125453949,0.22763784229755402,1.0000001192092896,0.492320716381073,0.07599546015262604,0.19367799162864685,0.10035119205713272
mereschkowski,0.17022697627544403,0.3049047589302063,0.492320716381073,1.0000001192092896,0.0021185048390179873,0.2670506536960602,0.24179978668689728
in,0.30808621644973755,0.45514053106307983,0.08711223304271698,0.24443049728870392,-0.037580832839012146,0.2564375698566437,0.20430970191955566
1905,0.160391703248024,0.07948453724384308,0.2730569839477539,0.21671707928180695,0.07165787369012833,0.07969116419553757,0.1770307421684265
after,0.21973377466201782,0.49306565523147583,0.1738843023777008,0.27141326665878296,-0.055672239512205124,0.2621670663356781,0.16608688235282898
andreas,0.1377047747373581,0.26392862200737,0.4155939519405365,0.44458943605422974,0.0308078583329916,0.07880117744207382,0.06663193553686142
schimper,0.22378486394882202,0.24723248183727264,0.33865299820899963,0.5421561598777771,0.07264469563961029,0.14308515191078186,0.24383647739887238
observed,0.26469987630844116,0.18324865400791168,0.07388382405042648,0.1881471425294876,-0.0507233701646328,0.08808965981006622,0.12128034234046936
in,0.30808621644973755,0.45514053106307983,0.08711223304271698,0.24443049728870392,-0.037580832839012146,0.2564375698566437,0.20430970191955566
1883,0.0958414077758789,-0.08600115031003952,0.04193082079291344,-0.01954885758459568,0.08547264337539673,-0.012879797257483006,0.05876028537750244
that,0.6297725439071655,0.33670201897621155,0.10057835280895233,0.22980636358261108,0.04397977516055107,0.14372368156909943,0.32716336846351624
chloroplasts,0.2524593770503998,0.1579415500164032,0.23530510067939758,0.23021596670150757,-0.026035647839307785,0.14308221638202667,0.13049766421318054
closely,0.24221673607826233,0.20436210930347443,0.07564301788806915,0.1769164353609085,0.03867218270897865,0.12765179574489594,0.08341413736343384
resemble,0.2502787411212921,0.19811926782131195,0.060299281030893326,0.1884734332561493,0.06771834194660187,0.0761619284749031,0.09784040600061417
cyanobacteria,0.2489619106054306,0.19797080755233765,0.14413706958293915,0.20770642161369324,0.014678227715194225,0.13208149373531342,0.2106003761291504
.,0.3567904531955719,0.40146201848983765,0.22267475724220276,0.29589977860450745,-0.003708066651597619,0.2458854615688324,0.4130953550338745
