,what,answer,denotes,that,an,algorithm,has,accepted,an,input,string,?
a,0.3320399522781372,0.2724393308162689,0.2941366136074066,0.47537946701049805,0.44552403688430786,0.20294487476348877,0.4670248031616211,0.21079644560813904,0.44552403688430786,0.20009170472621918,0.1667976677417755,0.23916715383529663
decision,0.32053670287132263,0.41143798828125,0.08163457363843918,0.35045957565307617,0.1716570407152176,0.24399326741695404,0.19688548147678375,0.32377806305885315,0.1716570407152176,0.2815944254398346,0.2014676183462143,0.2796577215194702
problem,0.42183366417884827,0.4718674123287201,0.12499774992465973,0.4416671693325043,0.21292734146118164,0.39858657121658325,0.19944548606872559,0.25814640522003174,0.21292734146118164,0.2680823802947998,0.18788205087184906,0.3762950301170349
is,0.28837618231773376,0.21693027019500732,0.2905273139476776,0.3995479643344879,0.4654068350791931,0.24848374724388123,0.5668748617172241,0.16579633951187134,0.4654068350791931,0.2170686423778534,0.1763434112071991,0.22961433231830597
a,0.3320399522781372,0.2724393308162689,0.2941366136074066,0.47537946701049805,0.44552403688430786,0.20294487476348877,0.4670248031616211,0.21079644560813904,0.44552403688430786,0.20009170472621918,0.1667976677417755,0.23916715383529663
special,0.24134232103824615,0.18083485960960388,0.20345546305179596,0.27173271775245667,0.19840748608112335,0.1515970528125763,0.2109246850013733,0.14871066808700562,0.19840748608112335,0.16327029466629028,0.1538182646036148,0.29623302817344666
type,0.2722663879394531,0.12056254595518112,0.16704723238945007,0.25817251205444336,0.21485474705696106,0.16641801595687866,0.1795734018087387,0.14566823840141296,0.21485474705696106,0.19163690507411957,0.19778890907764435,0.17536182701587677
of,0.33290785551071167,0.17047110199928284,0.22453853487968445,0.41498205065727234,0.32280945777893066,0.17516344785690308,0.3909035325050354,0.2863047122955322,0.32280945777893066,0.13291659951210022,0.17002220451831818,0.1826142966747284
computational,0.29464593529701233,0.4019113779067993,0.3115110397338867,0.3084385395050049,0.19987577199935913,0.580475389957428,0.20865057408809662,0.3076162040233612,0.19987577199935913,0.3868173062801361,0.3567862808704376,0.21617397665977478
problem,0.42183366417884827,0.4718674123287201,0.12499774992465973,0.4416671693325043,0.21292734146118164,0.39858657121658325,0.19944548606872559,0.25814640522003174,0.21292734146118164,0.2680823802947998,0.18788205087184906,0.3762950301170349
whose,0.22831642627716064,0.14510981738567352,0.19759660959243774,0.3740115463733673,0.3151819109916687,0.06599448621273041,0.2824438214302063,0.19738072156906128,0.3151819109916687,0.17908534407615662,0.18302027881145477,0.16990536451339722
answer,0.44430363178253174,1.0,0.2084677517414093,0.39350852370262146,0.15634042024612427,0.417924165725708,0.20112939178943634,0.3461633622646332,0.15634042024612427,0.32805678248405457,0.22083967924118042,0.367276668548584
is,0.28837618231773376,0.21693027019500732,0.2905273139476776,0.3995479643344879,0.4654068350791931,0.24848374724388123,0.5668748617172241,0.16579633951187134,0.4654068350791931,0.2170686423778534,0.1763434112071991,0.22961433231830597
either,0.3851809501647949,0.33529138565063477,0.27818775177001953,0.44538983702659607,0.23698745667934418,0.16601213812828064,0.2964928448200226,0.26864176988601685,0.23698745667934418,0.3018684387207031,0.19173090159893036,0.31498292088508606
