,what,can,work,to,even,the,distribution,of,wealth,?
additionally,0.27606531977653503,0.384065181016922,0.30461394786834717,0.3863547742366791,0.37538906931877136,0.34359288215637207,0.2530643045902252,0.2477567195892334,0.16383297741413116,0.24129506945610046
",",0.3087472915649414,0.3139454126358032,0.3283594250679016,0.44245919585227966,0.34610581398010254,0.4933079481124878,0.20136328041553497,0.4946078956127167,0.22482609748840332,0.31091248989105225
steeper,0.21784666180610657,0.27348625659942627,0.17789344489574432,0.2921184301376343,0.307951956987381,0.2715778648853302,0.08641758561134338,0.20731689035892487,0.14839042723178864,0.1413855254650116
tax,0.21278929710388184,0.2272718995809555,0.20123061537742615,0.24948102235794067,0.1793862283229828,0.19507044553756714,0.23437757790088654,0.2403477430343628,0.36712419986724854,0.2097984105348587
progressivity,0.26819783449172974,0.2716802656650543,0.311279833316803,0.22957178950309753,0.2783491015434265,0.30776816606521606,0.29810869693756104,0.3020932376384735,0.30364805459976196,0.15726478397846222
applied,0.1944669634103775,0.24775297939777374,0.2552745044231415,0.26928162574768066,0.29374170303344727,0.22842662036418915,0.21108706295490265,0.2825285494327545,0.14975477755069733,0.15585725009441376
to,0.455847829580307,0.4979398250579834,0.3482864499092102,1.0,0.46467068791389465,0.535392165184021,0.18405549228191376,0.41548454761505127,0.30562296509742737,0.29463258385658264
social,0.22217629849910736,0.1910768300294876,0.24260936677455902,0.19684761762619019,0.2185843586921692,0.21797899901866913,0.22905874252319336,0.2605111300945282,0.3313053846359253,0.1615191102027893
spending,0.31686943769454956,0.29426801204681396,0.3208523690700531,0.34208691120147705,0.3254205286502838,0.30911970138549805,0.18963928520679474,0.3114427626132965,0.36915332078933716,0.21198494732379913
can,0.34502777457237244,1.0,0.28794336318969727,0.4979398250579834,0.4626958966255188,0.312528520822525,0.21980498731136322,0.2603091299533844,0.13289016485214233,0.3226337134838104
result,0.19945499300956726,0.2741678059101105,0.10479757934808731,0.23653174936771393,0.3229354918003082,0.27778977155685425,0.20707570016384125,0.231380432844162,0.11621258407831192,0.17218433320522308
in,0.30808621644973755,0.26527702808380127,0.2753349542617798,0.45010748505592346,0.29146435856819153,0.6662389636039734,0.23537677526474,0.5696388483047485,0.1835664063692093,0.20430970191955566
a,0.3320399522781372,0.3915780484676361,0.266241192817688,0.45503583550453186,0.3278432786464691,0.5829201340675354,0.21514776349067688,0.5052502155303955,0.20101723074913025,0.23916715383529663
more,0.3484537899494171,0.4044358730316162,0.3156890571117401,0.47084665298461914,0.5038509368896484,0.39758381247520447,0.2244625687599182,0.30478984117507935,0.24429993331432343,0.27894994616508484
equal,0.2397335022687912,0.27450141310691833,0.22532610595226288,0.28325995802879333,0.2798266112804413,0.21154357492923737,0.1873987466096878,0.2787107825279236,0.2537494897842407,0.15421567857265472
distribution,0.17429208755493164,0.21980498731136322,0.23777452111244202,0.18405549228191376,0.26295727491378784,0.27569329738616943,1.0,0.254255473613739,0.23516376316547394,0.0929616317152977
of,0.33290785551071167,0.2603091299533844,0.23473061621189117,0.41548454761505127,0.34735506772994995,0.733189046382904,0.254255473613739,1.0,0.27235376834869385,0.1826142966747284
income,0.21837803721427917,0.21239306032657623,0.261774480342865,0.27188464999198914,0.2380070835351944,0.23699946701526642,0.24441708624362946,0.2581324577331543,0.46220239996910095,0.14935168623924255
across,0.24809791147708893,0.24235227704048157,0.18460196256637573,0.36818596720695496,0.26357564330101013,0.3816230297088623,0.22874793410301208,0.2936134934425354,0.18424449861049652,0.17034576833248138
the,0.42745697498321533,0.312528520822525,0.2704800069332123,0.535392165184021,0.37996912002563477,1.0,0.27569329738616943,0.733189046382904,0.24999672174453735,0.22068053483963013
board,0.15681391954421997,0.19576036930084229,0.09459833055734634,0.20624859631061554,0.14227189123630524,0.2871673107147217,0.09641290456056595,0.23488809168338776,0.14812371134757996,0.1261475533246994
.,0.3567904531955719,0.35783761739730835,0.33121398091316223,0.4645031690597534,0.3729337155818939,0.5934505462646484,0.22641029953956604,0.5352458953857422,0.1815606653690338,0.4130953550338745
