,when,was,earthenware,movable,type,invented,?
some,0.386913925409317,0.21528802812099457,0.31259942054748535,0.22994254529476166,0.2761056125164032,0.2560841739177704,0.2562315762042999
yuan,0.14659123122692108,0.19482262432575226,0.24254998564720154,0.19371885061264038,0.10084673017263412,0.11116661876440048,0.12871281802654266
documents,0.23476333916187286,0.20024479925632477,0.27060481905937195,0.29246702790260315,0.1628907322883606,0.10710657387971878,0.19020383059978485
such,0.27679547667503357,0.12487147748470306,0.33568188548088074,0.22496341168880463,0.2636772096157074,0.2311914563179016,0.17851735651493073
as,0.4437963366508484,0.3677520453929901,0.229509636759758,0.16688655316829681,0.19307732582092285,0.19728437066078186,0.27043893933296204
wang,0.17521333694458008,0.2320348173379898,0.22525236010551453,0.19567741453647614,0.1585976928472519,0.15729984641075134,0.17497806251049042
zhen,0.1697554737329483,0.1614416390657425,0.24634255468845367,0.18748997151851654,0.10203244537115097,0.17541120946407318,0.1595749706029892
's,-0.03368149697780609,0.008974763564765453,0.030212756246328354,0.10341282188892365,0.05257158726453781,-0.04714568704366684,-0.023395681753754616
nong,0.10816235840320587,0.1331452876329422,0.19475603103637695,0.21032458543777466,0.15177248418331146,0.12508077919483185,0.1824045032262802
shu,0.19057691097259521,0.16930893063545227,0.27008888125419617,0.19696933031082153,0.10344774276018143,0.1320624202489853,0.14095842838287354
were,0.29649975895881653,0.590133786201477,0.2718241810798645,0.16571712493896484,0.09534358233213425,0.21718862652778625,0.17890112102031708
printed,0.22858504951000214,0.218587726354599,0.3107181787490845,0.3834930658340454,0.18130967020988464,0.3514617681503296,0.1726173758506775
with,0.5075214505195618,0.27411898970603943,0.2554387152194977,0.1750638782978058,0.1964726597070694,0.19030655920505524,0.2433311939239502
earthenware,0.2682868242263794,0.1817971169948578,1.0000001192092896,0.3835456073284149,0.21783749759197235,0.3156358599662781,0.14835289120674133
movable,0.18357300758361816,0.15621668100357056,0.3835456073284149,0.9999998807907104,0.31965696811676025,0.287832111120224,0.15568538010120392
type,0.17292563617229462,0.14348182082176208,0.21783749759197235,0.31965696811676025,1.0000001192092896,0.26327723264694214,0.17536182701587677
",",0.36674630641937256,0.45456063747406006,0.2519879639148712,0.15716393291950226,0.1804078221321106,0.21420055627822876,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.23791499435901642,0.3385913670063019,0.3813284635543823,0.26715824007987976,0.23916715383529663
technology,0.18014967441558838,0.20640774071216583,0.17795105278491974,0.25976741313934326,0.1020873561501503,0.24486812949180603,0.11564995348453522
invented,0.24984751641750336,0.2900676131248474,0.3156358599662781,0.287832111120224,0.26327723264694214,0.9999998807907104,0.13781782984733582
in,0.4431333839893341,0.45514053106307983,0.1704336702823639,0.16514281928539276,0.20604541897773743,0.21565213799476624,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.2493865191936493,0.24211017787456512,0.21819381415843964,0.16009420156478882,0.22068053483963013
12th,0.14530569314956665,0.2558962404727936,0.10024823993444443,0.12743914127349854,0.0847364291548729,0.06093532592058182,0.05097517371177673
century,0.22992412745952606,0.3521432876586914,0.2669695317745209,0.23658524453639984,0.12631413340568542,0.35786738991737366,0.1026201918721199
.,0.475719153881073,0.40146201848983765,0.20526553690433502,0.21676753461360931,0.23195341229438782,0.2224365919828415,0.4130953550338745
