,approximately,how,many,silver,and,gold,objects,does,the,v,&,a,have,it,its,collection,?
there,0.2711881697177887,0.3328511416912079,0.4993700683116913,0.12468180060386658,0.4242868423461914,0.18934296071529388,0.2632409632205963,0.2930194139480591,0.47025805711746216,0.10717330873012543,0.10558571666479111,0.4214206337928772,0.5194604992866516,0.4020688533782959,0.28282350301742554,0.18927989900112152,0.29405656456947327
are,0.28388988971710205,0.311818927526474,0.5655534863471985,0.15979748964309692,0.48576638102531433,0.1368532031774521,0.3614059388637543,0.3126322329044342,0.40399202704429626,0.07239489257335663,0.17888472974300385,0.265255331993103,0.6577680706977844,0.3617996573448181,0.30942749977111816,0.22862131893634796,0.24591213464736938
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.12038730829954147,0.4021143913269043,0.14181938767433167,0.24880146980285645,0.24276040494441986,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.41283175349235535,0.3669605255126953,0.36371928453445435,0.21212655305862427,0.25742942094802856
"10,000",-0.08985824137926102,-0.08011393249034882,-0.13516037166118622,0.025126874446868896,-0.05527769401669502,-0.021542809903621674,-0.17628321051597595,-0.0472201369702816,-0.07657112926244736,0.1218033954501152,0.12590238451957703,-0.006958124227821827,-0.13996334373950958,-0.08600370585918427,-0.07947498559951782,0.000463886623037979,0.10342991352081299
objects,0.21734820306301117,0.36155834794044495,0.28860995173454285,0.17939405143260956,0.2794862985610962,0.19525331258773804,1.0000001192092896,0.2463521659374237,0.24716724455356598,0.12864506244659424,0.043518271297216415,0.24898670613765717,0.34085074067115784,0.2569741904735565,0.23373836278915405,0.3340989947319031,0.15479016304016113
made,0.16741147637367249,0.2655200958251953,0.3638485074043274,0.2191540002822876,0.34954607486724854,0.21762214601039886,0.18952734768390656,0.20829549431800842,0.3885267674922943,0.14221197366714478,0.13146528601646423,0.3180864453315735,0.2891587018966675,0.3944323658943176,0.23243726789951324,0.20294539630413055,0.17218779027462006
from,0.302482545375824,0.22939439117908478,0.33099696040153503,0.14321425557136536,0.3601827025413513,0.18462617695331573,0.22604778409004211,0.1777622550725937,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.30702701210975647,0.325604110956192,0.32706040143966675,0.2754948139190674,0.19969791173934937
silver,0.1793287694454193,0.10463301092386246,0.2056533396244049,1.0,0.25048989057540894,0.6871094107627869,0.17939405143260956,0.1293029487133026,0.2600913643836975,0.10406357049942017,0.09482749551534653,0.22950784862041473,0.1887110322713852,0.24080641567707062,0.2049979269504547,0.19618919491767883,0.11920861899852753
or,0.24341432750225067,0.3378981947898865,0.36905089020729065,0.17933593690395355,0.4713204801082611,0.18691161274909973,0.3741072118282318,0.4248845875263214,0.4174870550632477,0.16698549687862396,0.14438702166080475,0.48853766918182373,0.46389055252075195,0.36389440298080444,0.30017510056495667,0.20004552602767944,0.32389625906944275
gold,0.20415018498897552,0.12317182868719101,0.19098812341690063,0.6871094107627869,0.26129499077796936,0.9999999403953552,0.19525331258773804,0.10554102808237076,0.27136439085006714,0.07604137063026428,0.13380365073680878,0.22218312323093414,0.18522241711616516,0.226699560880661,0.1952981948852539,0.21767574548721313,0.11542754620313644
