,when,did,colonial,governors,meet,with,general,edward,braddock,about,attack,on,the,french,?
in,0.4431333839893341,0.2593238651752472,0.25196215510368347,0.2137649804353714,0.21700093150138855,0.4080928862094879,0.259066641330719,0.19466985762119293,0.23128293454647064,0.39797019958496094,0.1944931447505951,0.46853652596473694,0.6662389636039734,0.22093388438224792,0.20430970191955566
1755,0.037845250219106674,0.11053946614265442,0.13872314989566803,0.26423853635787964,0.1163245365023613,0.15765902400016785,0.1501903384923935,0.05885648727416992,0.1252749115228653,0.0990334153175354,0.048953186720609665,0.112730011343956,0.15697994828224182,0.33447322249412537,0.1890246421098709
",",0.36674630641937256,0.3015086054801941,0.2506951689720154,0.24975614249706268,0.31995680928230286,0.4120737314224243,0.3022127151489258,0.21751084923744202,0.3523558974266052,0.3877100944519043,0.29392024874687195,0.49057599902153015,0.4933079481124878,0.28806620836257935,0.31091248989105225
six,0.28502458333969116,0.20388470590114594,0.21682146191596985,0.19437554478645325,0.15172743797302246,0.261430561542511,0.12383328378200531,0.07780441641807556,0.18564766645431519,0.28994253277778625,0.16164709627628326,0.25166386365890503,0.3614266812801361,0.1724945604801178,0.15298804640769958
colonial,0.2143167406320572,0.17575712502002716,1.0,0.3458186984062195,0.08751335740089417,0.0768122598528862,0.23643313348293304,0.26421058177948,0.28924041986465454,0.11839554458856583,0.1330409049987793,0.09959574043750763,0.2715741693973541,0.28366798162460327,0.10191229730844498
governors,0.1595437377691269,0.17811524868011475,0.3458186984062195,1.0,0.18433299660682678,0.09904976934194565,0.35454127192497253,0.21081316471099854,0.28124091029167175,0.1130589172244072,0.13412904739379883,0.19420653581619263,0.26603612303733826,0.1387937068939209,0.14528851211071014
in,0.4431333839893341,0.2593238651752472,0.25196215510368347,0.2137649804353714,0.21700093150138855,0.4080928862094879,0.259066641330719,0.19466985762119293,0.23128293454647064,0.39797019958496094,0.1944931447505951,0.46853652596473694,0.6662389636039734,0.22093388438224792,0.20430970191955566
north,0.21003669500350952,0.16732536256313324,0.26874417066574097,0.21999101340770721,0.16673465073108673,0.185934916138649,0.17064547538757324,0.20143401622772217,0.32495465874671936,0.24974049627780914,0.191500723361969,0.24055036902427673,0.36298373341560364,0.14223402738571167,0.11829731613397598
america,0.21924224495887756,0.2212076634168625,0.28972792625427246,0.23403657972812653,0.17270562052726746,0.21664398908615112,0.1021103784441948,0.20568346977233887,0.21988694369792938,0.24487876892089844,0.09210925549268723,0.24962958693504333,0.37090015411376953,0.15473008155822754,0.19333907961845398
met,0.290595144033432,0.3307664096355438,0.10672930628061295,0.1331273913383484,0.5412517189979553,0.2998933792114258,0.20597584545612335,0.18400566279888153,0.23954977095127106,0.272112637758255,0.18813425302505493,0.19264070689678192,0.2303115278482437,0.1939317286014557,0.13848096132278442
with,0.5075214505195618,0.25472134351730347,0.0768122598528862,0.09904976934194565,0.26756221055984497,0.9999999403953552,0.1510423719882965,0.1395002156496048,0.1973833292722702,0.3347385823726654,0.1795673668384552,0.40749499201774597,0.4223487675189972,0.1637353003025055,0.2433311939239502
general,0.20438088476657867,0.19499315321445465,0.23643313348293304,0.35454127192497253,0.21120810508728027,0.1510423719882965,1.0000001192092896,0.1393127590417862,0.30013933777809143,0.17594024538993835,0.17591890692710876,0.18019753694534302,0.28634732961654663,0.20715788006782532,0.1972234547138214
edward,0.22842739522457123,0.18433494865894318,0.26421058177948,0.21081316471099854,0.12338001281023026,0.1395002156496048,0.1393127590417862,0.9999999403953552,0.40193971991539,0.15247215330600739,0.1443437933921814,0.18318775296211243,0.1896408498287201,0.21306505799293518,0.1439376026391983
