,what,is,the,only,divisor,besides,1,that,a,prime,number,can,have,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.47549712657928467,0.23674486577510834,0.26277080178260803,-0.20817746222019196,0.47537946701049805,1.0,0.17998681962490082,0.2992287278175354,0.3915780484676361,0.338716596364975,0.23916715383529663
prime,0.15586113929748535,0.16680827736854553,0.19960100948810577,0.19375240802764893,0.3703853487968445,0.16548949480056763,-0.17159132659435272,0.18163643777370453,0.17998681962490082,1.0,0.2556258738040924,0.1305878609418869,0.1710582673549652,0.11276303976774216
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.39694860577583313,0.4451514482498169,0.24924492835998535,-0.20963284373283386,0.32951247692108154,0.2992287278175354,0.2556258738040924,1.0,0.33886176347732544,0.3633861541748047,0.19256845116615295
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.30817532539367676,0.24717026948928833,0.22793836891651154,-0.15974698960781097,0.2264307141304016,0.3206180930137634,0.21646767854690552,0.16158060729503632,0.22726960480213165,0.23072676360607147,0.40561532974243164
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.42634648084640503,0.27261435985565186,0.35654622316360474,-0.21893133223056793,0.4729836881160736,0.48853766918182373,0.12635108828544617,0.28384777903556824,0.5614996552467346,0.46389055252075195,0.32389625906944275
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.47549712657928467,0.23674486577510834,0.26277080178260803,-0.20817746222019196,0.47537946701049805,1.0,0.17998681962490082,0.2992287278175354,0.3915780484676361,0.338716596364975,0.23916715383529663
prime,0.15586113929748535,0.16680827736854553,0.19960100948810577,0.19375240802764893,0.3703853487968445,0.16548949480056763,-0.17159132659435272,0.18163643777370453,0.17998681962490082,1.0,0.2556258738040924,0.1305878609418869,0.1710582673549652,0.11276303976774216
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.31837013363838196,0.24240751564502716,0.22768832743167877,-0.14927540719509125,0.23478686809539795,0.3640355169773102,0.20705947279930115,0.19318018853664398,0.23216170072555542,0.22866283357143402,0.42300865054130554
is,0.28837618231773376,1.0,0.5823672413825989,0.44708555936813354,0.25066447257995605,0.36560124158859253,-0.12491171807050705,0.3995479643344879,0.658733606338501,0.16680827736854553,0.22390379011631012,0.44256699085235596,0.3613572418689728,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.47549712657928467,0.23674486577510834,0.26277080178260803,-0.20817746222019196,0.47537946701049805,1.0,0.17998681962490082,0.2992287278175354,0.3915780484676361,0.338716596364975,0.23916715383529663
natural,0.15666867792606354,0.24589021503925323,0.2291368842124939,0.21377290785312653,0.20949460566043854,0.2613387107849121,-0.05183283984661102,0.23673862218856812,0.19475746154785156,0.1771565079689026,0.1901969313621521,0.24739035964012146,0.19322162866592407,0.16155436635017395
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.39694860577583313,0.4451514482498169,0.24924492835998535,-0.20963284373283386,0.32951247692108154,0.2992287278175354,0.2556258738040924,1.0,0.33886176347732544,0.3633861541748047,0.19256845116615295
greater,0.1946859508752823,0.21338969469070435,0.2814446687698364,0.25466158986091614,0.2615983784198761,0.24819956719875336,-0.041464030742645264,0.2520751655101776,0.20286329090595245,0.1424732804298401,0.2183322310447693,0.17744551599025726,0.23225228488445282,0.09723397344350815
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.4272705018520355,0.24534650146961212,0.3378583490848541,-0.1783061921596527,0.4891277849674225,0.3126874566078186,0.1307777762413025,0.2816639244556427,0.3532506823539734,0.46517109870910645,0.24917294085025787
1,-0.21266892552375793,-0.12491171807050705,-0.1554475575685501,-0.28475064039230347,-0.24665769934654236,-0.2070256471633911,1.0,-0.3131840229034424,-0.20817746222019196,-0.17159132659435272,-0.20963284373283386,-0.2700748145580292,-0.30716702342033386,-0.249979168176651
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.6004067063331604,0.25301024317741394,0.4139655530452728,-0.3131840229034424,1.0,0.47537946701049805,0.18163643777370453,0.32951247692108154,0.4522190988063812,0.6182622313499451,0.32716336846351624
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.4251205623149872,0.17039142549037933,0.3843696117401123,-0.1557902842760086,0.41272613406181335,0.4670248031616211,0.17349666357040405,0.31251442432403564,0.4103628396987915,0.6353569626808167,0.15994466841220856
no,0.339326947927475,0.19581134617328644,0.3461136817932129,0.4522853493690491,0.20754924416542053,0.2803768217563629,-0.21420909464359283,0.41830796003341675,0.26280897855758667,0.13853290677070618,0.28227460384368896,0.2225070297718048,0.38691386580467224,0.32165053486824036
positive,0.2491111010313034,0.18898358941078186,0.20502062141895294,0.243252232670784,0.2861469089984894,0.09887104481458664,-0.2308845967054367,0.3317312002182007,0.2522195875644684,0.20673994719982147,0.3057291805744171,0.23233865201473236,0.2856961190700531,0.16532565653324127
divisors,0.269854873418808,0.26978355646133423,0.2761973440647125,0.34727439284324646,0.9018741846084595,0.22777613997459412,-0.2115272879600525,0.3084642291069031,0.234344020485878,0.3620528280735016,0.47861936688423157,0.3134455382823944,0.3179492652416229,0.19582416117191315
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.43831267952919006,0.2050233632326126,0.4082275927066803,-0.25242504477500916,0.5570666193962097,0.2806335389614105,0.12105745822191238,0.3754757344722748,0.454561322927475,0.559082567691803,0.24682199954986572
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.4272705018520355,0.24534650146961212,0.3378583490848541,-0.1783061921596527,0.4891277849674225,0.3126874566078186,0.1307777762413025,0.2816639244556427,0.3532506823539734,0.46517109870910645,0.24917294085025787
1,-0.21266892552375793,-0.12491171807050705,-0.1554475575685501,-0.28475064039230347,-0.24665769934654236,-0.2070256471633911,1.0,-0.3131840229034424,-0.20817746222019196,-0.17159132659435272,-0.20963284373283386,-0.2700748145580292,-0.30716702342033386,-0.249979168176651
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.4542345404624939,0.21644574403762817,0.3610946238040924,-0.20516018569469452,0.4731321930885315,0.3739250600337982,0.21528048813343048,0.28545793890953064,0.3675691485404968,0.4711785912513733,0.20544172823429108
