,how,old,was,chopin,when,he,moved,to,warsaw,with,his,family,?
though,0.38766178488731384,0.22749601304531097,0.34332048892974854,0.1718403697013855,0.45963284373283386,0.2840442955493927,0.16089612245559692,0.46191829442977905,0.14314691722393036,0.40347301959991455,0.2983919382095337,0.23449839651584625,0.3188856542110443
chopin,0.1381504386663437,0.08478288352489471,0.172151580452919,1.0000001192092896,0.15278206765651703,0.22081901133060455,0.1098349466919899,0.16394734382629395,0.4150010049343109,0.15529568493366241,0.3159043788909912,0.13035976886749268,0.14239183068275452
was,0.16678167879581451,0.2867572605609894,1.0000001192092896,0.172151580452919,0.37326499819755554,0.5410010814666748,0.3804442584514618,0.3636345863342285,0.2614976763725281,0.27411898970603943,0.4405253231525421,0.21917963027954102,0.18412111699581146
born,0.09305194020271301,0.16977225244045258,0.388632208108902,0.1282324343919754,0.1850178986787796,0.45102882385253906,0.3295045793056488,0.13695985078811646,0.19116704165935516,0.11715008318424225,0.3081984519958496,0.23834733664989471,0.19166848063468933
in,0.2601168751716614,0.2865324318408966,0.45514053106307983,0.2448127418756485,0.4431333839893341,0.41690486669540405,0.3323737680912018,0.45010748505592346,0.22642600536346436,0.4080928862094879,0.3598145842552185,0.2165997177362442,0.20430970191955566
the,0.33890387415885925,0.31849798560142517,0.48711544275283813,0.1946633756160736,0.5091903209686279,0.4571082592010498,0.32031023502349854,0.535392165184021,0.23137180507183075,0.4223487675189972,0.4394008219242096,0.2394849956035614,0.22068053483963013
village,0.08677869290113449,0.14895766973495483,0.21511445939540863,0.21963465213775635,0.15276367962360382,0.18306982517242432,0.1875433772802353,0.18001757562160492,0.1943075954914093,0.12559480965137482,0.1903042197227478,0.16646338999271393,0.040922991931438446
of,0.2480744868516922,0.30522194504737854,0.4069072902202606,0.19214171171188354,0.3757161796092987,0.38706058263778687,0.22242598235607147,0.41548454761505127,0.19253842532634735,0.41827285289764404,0.38364991545677185,0.1893671154975891,0.1826142966747284
żelazowa,0.19345806539058685,0.2066982090473175,0.24021100997924805,0.30703872442245483,0.24587368965148926,0.2816403806209564,0.23224347829818726,0.26006022095680237,0.3185615837574005,0.19137153029441833,0.26217082142829895,0.25693100690841675,0.2061973214149475
wola,0.14839741587638855,0.14335905015468597,0.17576974630355835,0.27915051579475403,0.12589217722415924,0.18879766762256622,0.16852068901062012,0.17168742418289185,0.43320903182029724,0.16911537945270538,0.13971368968486786,0.17642685770988464,0.10884926468133926
