,when,were,images,being,used,to,promote,the,spread,of,lutheranism,?
in,0.4431333839893341,0.3815755248069763,0.1735273003578186,0.33162933588027954,0.3090210556983948,0.45010748505592346,0.22624702751636505,0.6662389636039734,0.24312569200992584,0.5696388483047485,0.23415619134902954,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,0.22232814133167267,0.419739305973053,0.3718377649784088,0.535392165184021,0.2408624291419983,1.0,0.28994160890579224,0.733189046382904,0.2049541473388672,0.22068053483963013
1530s,-0.19162355363368988,-0.07824375480413437,-0.013706753961741924,-0.13609467446804047,-0.12429051101207733,-0.24151301383972168,-0.1846403032541275,-0.11879856884479523,-0.08245183527469635,-0.06536941975355148,-0.17219039797782898,-0.1440771520137787
and,0.4716290831565857,0.42175528407096863,0.1939600706100464,0.4286794066429138,0.3150506615638733,0.48971283435821533,0.2518306374549866,0.5171257257461548,0.2815358638763428,0.5116966962814331,0.19916264712810516,0.20544172823429108
1540s,0.03500024601817131,0.1912802904844284,-0.12318143993616104,0.09896733611822128,0.020225156098604202,0.05015302821993828,0.12938064336776733,0.09870734065771103,-0.03485145792365074,0.10465798527002335,0.11835330724716187,-0.04581177607178688
",",0.36674630641937256,0.36755475401878357,0.23035936057567596,0.34499165415763855,0.3120402991771698,0.44245919585227966,0.27121588587760925,0.4933079481124878,0.24950742721557617,0.4946078956127167,0.24572159349918365,0.31091248989105225
printed,0.22858504951000214,0.23089656233787537,0.2743823230266571,0.15454553067684174,0.2862871289253235,0.1925152689218521,0.09795258939266205,0.25742077827453613,0.14422790706157684,0.21046876907348633,0.17208610475063324,0.1726173758506775
images,0.13798581063747406,0.2116612046957016,0.9999999403953552,0.20980075001716614,0.23759497702121735,0.2165423482656479,0.2017105519771576,0.22232814133167267,0.1571897715330124,0.2139289528131485,0.17353954911231995,0.22502069175243378
of,0.3757161796092987,0.34038281440734863,0.2139289528131485,0.34885138273239136,0.3075267970561981,0.41548454761505127,0.22270441055297852,0.733189046382904,0.2895529866218567,1.0,0.26605138182640076,0.1826142966747284
luther,0.14516782760620117,0.18652333319187164,0.1797129064798355,0.17804069817066193,0.08111961930990219,0.18029534816741943,0.16737641394138336,0.1759674996137619,0.11462883651256561,0.1719115972518921,0.6462252736091614,0.1732746809720993
that,0.5860282182693481,0.35517072677612305,0.28046083450317383,0.46201252937316895,0.37621384859085083,0.5436353087425232,0.2708355188369751,0.5473989248275757,0.2891821265220642,0.41498205065727234,0.25016406178474426,0.32716336846351624
emphasized,0.1904175877571106,0.22199881076812744,0.22337329387664795,0.2621493935585022,0.2677764892578125,0.25887349247932434,0.3256019055843353,0.2486771047115326,0.19410595297813416,0.3148948550224304,0.3171788156032562,0.19381670653820038
his,0.37120407819747925,0.3142043352127075,0.13534238934516907,0.34421810507774353,0.20492680370807648,0.3715193271636963,0.22058026492595673,0.4394008219242096,0.1880594789981842,0.38364991545677185,0.19109421968460083,0.18075084686279297
monumental,0.07972032576799393,0.16704407334327698,0.2393122762441635,0.1936628222465515,0.114966981112957,0.11072076112031937,0.22683072090148926,0.23950743675231934,0.10222366452217102,0.24469900131225586,0.17040899395942688,0.15341590344905853
size,0.22355671226978302,0.14647510647773743,0.2568148672580719,0.18208295106887817,0.22543680667877197,0.26289698481559753,0.11228563636541367,0.2946445941925049,0.17658597230911255,0.27599775791168213,0.14981862902641296,0.13693112134933472
were,0.29649975895881653,1.0000001192092896,0.2116612046957016,0.4775565266609192,0.27636459469795227,0.31913647055625916,0.18763485550880432,0.3906462490558624,0.19662760198116302,0.34038281440734863,0.23228755593299866,0.17890112102031708
crucial,0.2598938047885895,0.08234502375125885,0.13920986652374268,0.2371038943529129,0.1843966245651245,0.25628989934921265,0.3683842420578003,0.3037804067134857,0.1313118040561676,0.2857859432697296,0.21546787023544312,0.18243193626403809
to,0.5423505902290344,0.31913647055625916,0.2165423482656479,0.4514104127883911,0.40058770775794983,1.0,0.3513890206813812,0.535392165184021,0.2748686373233795,0.41548454761505127,0.23014745116233826,0.29463258385658264
the,0.5091903209686279,0.3906462490558624,0.22232814133167267,0.419739305973053,0.3718377649784088,0.535392165184021,0.2408624291419983,1.0,0.28994160890579224,0.733189046382904,0.2049541473388672,0.22068053483963013
spread,0.22687478363513947,0.19662760198116302,0.1571897715330124,0.22428308427333832,0.273860365152359,0.2748686373233795,0.1977556347846985,0.28994160890579224,1.0,0.2895529866218567,0.24819165468215942,0.16482828557491302
of,0.3757161796092987,0.34038281440734863,0.2139289528131485,0.34885138273239136,0.3075267970561981,0.41548454761505127,0.22270441055297852,0.733189046382904,0.2895529866218567,1.0,0.26605138182640076,0.1826142966747284
protestantism,0.1701282560825348,0.27605393528938293,0.17215408384799957,0.22234058380126953,0.11093321442604065,0.2578659951686859,0.25338301062583923,0.2780466079711914,0.2673034965991974,0.31892913579940796,0.7339338660240173,0.1824951469898224
.,0.475719153881073,0.3378238379955292,0.20531399548053741,0.35574623942375183,0.33111312985420227,0.4645031690597534,0.2479933649301529,0.5934505462646484,0.2690257728099823,0.5352458953857422,0.27823755145072937,0.4130953550338745
