,in,what,sort,of,places,are,dry,cooling,towers,used,?
a,0.539380669593811,0.3320399522781372,0.31923773884773254,0.5052502155303955,0.27888578176498413,0.265255331993103,0.2334417849779129,0.253410667181015,0.15877503156661987,0.3864384889602661,0.23916715383529663
dry,0.2583382725715637,0.18359600007534027,0.14917130768299103,0.202105313539505,0.26601487398147583,0.22843118011951447,1.0000001192092896,0.35631483793258667,0.14246976375579834,0.25908878445625305,0.13395056128501892
type,0.20604541897773743,0.2722663879394531,0.3851916193962097,0.18112817406654358,0.2098340541124344,0.24155041575431824,0.1776585429906845,0.2565217912197113,0.04190061241388321,0.30943769216537476,0.17536182701587677
cooling,0.22014863789081573,0.28575754165649414,0.2022925317287445,0.2464919537305832,0.16485220193862915,0.21129457652568817,0.35631483793258667,1.0000001192092896,0.32186761498451233,0.2434728592634201,0.19326604902744293
tower,0.22630389034748077,0.12919922173023224,0.057040877640247345,0.2271278351545334,0.1380709409713745,0.0878683552145958,0.09536141157150269,0.2595007121562958,0.7998528480529785,0.1683586984872818,0.10395228117704391
is,0.5394441485404968,0.28837618231773376,0.27924588322639465,0.4854315221309662,0.3042297065258026,0.5330929756164551,0.2842336893081665,0.19721323251724243,0.13957606256008148,0.3288823366165161,0.22961433231830597
similar,0.28091391921043396,0.30608364939689636,0.28769972920417786,0.2911645472049713,0.2772553861141205,0.4060479998588562,0.22318407893180847,0.2454586774110794,0.09802184253931046,0.431619793176651,0.23309361934661865
to,0.45010748505592346,0.455847829580307,0.3190220594406128,0.41548454761505127,0.3195951581001282,0.3504326641559601,0.21135932207107544,0.26446348428726196,0.18453994393348694,0.40058770775794983,0.29463258385658264
an,0.2605783939361572,0.2821882665157318,0.2026878148317337,0.32280945777893066,0.16579945385456085,0.1556541919708252,0.1360049694776535,0.2121628224849701,0.0864497572183609,0.25728896260261536,0.19793890416622162
automobile,0.24175605177879333,0.1494080126285553,0.06931426376104355,0.20352987945079803,0.15504547953605652,0.11160518229007721,0.20392602682113647,0.29119372367858887,0.0967671200633049,0.19476793706417084,0.11581343412399292
radiator,0.20643389225006104,0.18495911359786987,0.14101921021938324,0.19248564541339874,0.18702659010887146,0.2302185595035553,0.26182588934898376,0.40162578225135803,0.23890165984630585,0.25781095027923584,0.08360183238983154
and,0.4954058527946472,0.31309178471565247,0.20330104231834412,0.5116966962814331,0.36121195554733276,0.48576638102531433,0.22237363457679749,0.2188228815793991,0.27830371260643005,0.3150506615638733,0.20544172823429108
is,0.5394441485404968,0.28837618231773376,0.27924588322639465,0.4854315221309662,0.3042297065258026,0.5330929756164551,0.2842336893081665,0.19721323251724243,0.13957606256008148,0.3288823366165161,0.22961433231830597
used,0.3090210556983948,0.27546408772468567,0.33937495946884155,0.3075267970561981,0.3295694887638092,0.3322218656539917,0.25908878445625305,0.2434728592634201,0.21220137178897858,0.9999998807907104,0.22430120408535004
in,1.0,0.30808621644973755,0.20928911864757538,0.5696388483047485,0.3709096312522888,0.3841303884983063,0.2583382725715637,0.22014863789081573,0.23192623257637024,0.3090210556983948,0.20430970191955566
locations,0.36845505237579346,0.21363390982151031,0.2448938637971878,0.2825617790222168,0.4582425057888031,0.34127214550971985,0.2115575224161148,0.177169069647789,0.30018362402915955,0.28124934434890747,0.14570996165275574
where,0.5344807505607605,0.4457937180995941,0.30809175968170166,0.38066378235816956,0.44862592220306396,0.32389864325523376,0.23985552787780762,0.23628607392311096,0.16867472231388092,0.31140151619911194,0.24793872237205505
water,0.23966141045093536,0.17456887662410736,0.1751960664987564,0.2741255462169647,0.27824822068214417,0.26855918765068054,0.4986197352409363,0.4451141655445099,0.19302599132061005,0.2721066176891327,0.14731885492801666
is,0.5394441485404968,0.28837618231773376,0.27924588322639465,0.4854315221309662,0.3042297065258026,0.5330929756164551,0.2842336893081665,0.19721323251724243,0.13957606256008148,0.3288823366165161,0.22961433231830597
costly,0.23989109694957733,0.3110659718513489,0.25697919726371765,0.26712068915367126,0.15536408126354218,0.24361105263233185,0.22182117402553558,0.2614109218120575,0.20023182034492493,0.3170642852783203,0.19718864560127258
.,0.5591574311256409,0.3567904531955719,0.24213188886642456,0.5352458953857422,0.27904579043388367,0.3452940285205841,0.24303671717643738,0.26918044686317444,0.22431601583957672,0.33111312985420227,0.4130953550338745
