,who,did,the,ottoman,empire,ally,with,in,ww,i,?
the,0.3733934462070465,0.34736719727516174,1.0,0.2623080313205719,0.32532164454460144,0.23644182085990906,0.4223487675189972,0.6662389636039734,0.22748953104019165,0.26687872409820557,0.22068053483963013
empire,0.18977859616279602,0.18850058317184448,0.32532164454460144,0.5869483351707458,1.0000001192092896,0.31090253591537476,0.16165103018283844,0.24110576510429382,0.2191024124622345,0.24779938161373138,0.14909450709819794
allied,0.21010679006576538,0.2220751941204071,0.3092154562473297,0.42075595259666443,0.3551214933395386,0.36576178669929504,0.21994063258171082,0.2222563773393631,0.3686285614967346,0.23500880599021912,0.1341097056865692
with,0.3282766342163086,0.25472134351730347,0.4223487675189972,0.13219141960144043,0.16165103018283844,0.24865752458572388,0.9999999403953552,0.4080928862094879,0.1498289406299591,0.2640714943408966,0.2433311939239502
germany,0.2021419107913971,0.2132834792137146,0.3181285262107849,0.28839707374572754,0.28472569584846497,0.16204792261123657,0.19588488340377808,0.3642844259738922,0.2842777669429779,0.18510089814662933,0.1388660967350006
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.17080391943454742,0.24110576510429382,0.16974596679210663,0.4080928862094879,1.0,0.17424236238002777,0.22907796502113342,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.2623080313205719,0.32532164454460144,0.23644182085990906,0.4223487675189972,0.6662389636039734,0.22748953104019165,0.26687872409820557,0.22068053483963013
early,0.23985694348812103,0.32047218084335327,0.34442198276519775,0.18605223298072815,0.21948890388011932,0.19888697564601898,0.23919914662837982,0.34672921895980835,0.20850849151611328,0.1276509016752243,0.15272949635982513
20th,0.12597180902957916,0.12900345027446747,0.3097512125968933,0.15553444623947144,0.14722545444965363,0.16220416128635406,0.22445109486579895,0.20743919909000397,0.13493788242340088,0.20806768536567688,0.14985637366771698
century,0.2990973889827728,0.2333737462759018,0.3617299497127533,0.35807204246520996,0.3632965385913849,0.19888584315776825,0.1467021107673645,0.3174034655094147,0.20063164830207825,0.16167661547660828,0.1026201918721199
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.22751282155513763,0.27646857500076294,0.2730591595172882,0.4120737314224243,0.5201468467712402,0.17345266044139862,0.3467482030391693,0.31091248989105225
with,0.3282766342163086,0.25472134351730347,0.4223487675189972,0.13219141960144043,0.16165103018283844,0.24865752458572388,0.9999999403953552,0.4080928862094879,0.1498289406299591,0.2640714943408966,0.2433311939239502
the,0.3733934462070465,0.34736719727516174,1.0,0.2623080313205719,0.32532164454460144,0.23644182085990906,0.4223487675189972,0.6662389636039734,0.22748953104019165,0.26687872409820557,0.22068053483963013
imperial,0.11028370261192322,0.16254396736621857,0.3074202835559845,0.27063608169555664,0.3880499303340912,0.10412658005952835,0.1504516303539276,0.2295355498790741,0.2511354684829712,0.18593730032444,0.10900196433067322
ambition,0.2842040956020355,0.30231717228889465,0.2179797738790512,0.1943853795528412,0.23596836626529694,0.4149835407733917,0.260509192943573,0.18256254494190216,0.062168922275304794,0.24788182973861694,0.14646735787391663
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.239910289645195,0.30522286891937256,0.15578524768352509,0.41827285289764404,0.5696388483047485,0.212408185005188,0.25849398970603943,0.1826142966747284
recovering,0.19735199213027954,0.23401841521263123,0.33151477575302124,0.1946549266576767,0.20628350973129272,0.2208406627178192,0.31467267870903015,0.30643370747566223,0.16811229288578033,0.16596032679080963,0.10804368555545807
its,0.1326070874929428,0.19922670722007751,0.559237003326416,0.18237708508968353,0.22907911241054535,0.17081959545612335,0.3087116777896881,0.3793783485889435,0.18484152853488922,0.19159892201423645,0.15103481709957123
lost,0.2206452637910843,0.30779293179512024,0.3376973867416382,0.19292670488357544,0.22720672190189362,0.19708764553070068,0.18925613164901733,0.3167656362056732,0.19794116914272308,0.18012580275535583,0.15261413156986237
territories,0.22358475625514984,0.14733213186264038,0.30191943049430847,0.33168110251426697,0.4287967085838318,0.25049301981925964,0.21146070957183838,0.27001065015792847,0.2042863667011261,0.20111322402954102,0.11298645287752151
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.22751282155513763,0.27646857500076294,0.2730591595172882,0.4120737314224243,0.5201468467712402,0.17345266044139862,0.3467482030391693,0.31091248989105225
but,0.4487357437610626,0.49033689498901367,0.4859698414802551,0.2168722003698349,0.22501397132873535,0.2583359479904175,0.4495173394680023,0.48674455285072327,0.12633922696113586,0.4407658576965332,0.27921953797340393
