,who,defeated,the,rebels,at,the,battle,of,frankenhausen,?
their,0.3767721951007843,0.17199310660362244,0.516537070274353,0.22514595091342926,0.23641370236873627,0.516537070274353,0.12281665951013565,0.4329940676689148,0.15531717240810394,0.1898253709077835
defeat,0.23519231379032135,0.8196790814399719,0.3182816207408905,0.4089148938655853,0.13423499464988708,0.3182816207408905,0.5788845419883728,0.2543899118900299,0.13921549916267395,0.12980464100837708
by,0.39727845788002014,0.26783451437950134,0.4408751428127289,0.21417291462421417,0.2368064820766449,0.4408751428127289,0.14325805008411407,0.3646814823150635,0.23665344715118408,0.17966607213020325
the,0.3733934462070465,0.2833898365497589,1.0,0.299993097782135,0.457212895154953,1.0,0.2820790410041809,0.733189046382904,0.29454031586647034,0.22068053483963013
swabian,0.17828363180160522,0.194526806473732,0.28632035851478577,0.21038120985031128,0.14541375637054443,0.28632035851478577,0.2558785080909729,0.33448514342308044,0.5461001396179199,0.09673494100570679
league,0.2161521464586258,0.2667180895805359,0.2724147439002991,0.2559452950954437,0.21134859323501587,0.2724147439002991,0.19218440353870392,0.23588460683822632,0.16274768114089966,0.15941482782363892
at,0.22096660733222961,0.21071182191371918,0.457212895154953,0.1776493489742279,1.0,0.457212895154953,0.23658646643161774,0.42558613419532776,0.1546228677034378,0.21978627145290375
the,0.3733934462070465,0.2833898365497589,1.0,0.299993097782135,0.457212895154953,1.0,0.2820790410041809,0.733189046382904,0.29454031586647034,0.22068053483963013
battle,0.16377700865268707,0.46693575382232666,0.2820790410041809,0.3911747634410858,0.23658646643161774,0.2820790410041809,1.0000001192092896,0.2291749268770218,0.1847819685935974,0.1680624783039093
of,0.2827862501144409,0.21236225962638855,0.733189046382904,0.21522146463394165,0.42558613419532776,0.733189046382904,0.2291749268770218,1.0,0.29499220848083496,0.1826142966747284
frankenhausen,0.24239593744277954,0.1710381954908371,0.29454031586647034,0.11962082982063293,0.1546228677034378,0.29454031586647034,0.1847819685935974,0.29499220848083496,1.0000001192092896,0.13644467294216156
on,0.2340552806854248,0.15746451914310455,0.5107308030128479,0.19017374515533447,0.4806317389011383,0.5107308030128479,0.19314859807491302,0.3966929316520691,0.21530114114284515,0.2714994251728058
15,0.04823268577456474,0.04542067274451256,-0.011810222640633583,-0.014847309328615665,-0.010676056146621704,-0.011810222640633583,0.06584225594997406,-0.02319195494055748,0.06571688503026962,-0.010706285014748573
may,0.23082798719406128,0.11912942677736282,0.2694292366504669,0.09891540557146072,0.2711789011955261,0.2694292366504669,0.14497102797031403,0.26447007060050964,0.1784633994102478,0.2768254578113556
1525,0.1364392787218094,0.18662981688976288,0.1667099893093109,0.14755283296108246,0.12084027379751205,0.1667099893093109,0.1825634241104126,0.13786408305168152,0.23958784341812134,0.09607826918363571
",",0.3365725874900818,0.2877303659915924,0.4933079481124878,0.21645475924015045,0.38314947485923767,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.27318111062049866,0.31091248989105225
followed,0.19133411347866058,0.22285908460617065,0.3567860722541809,0.20086932182312012,0.21549278497695923,0.3567860722541809,0.1610945165157318,0.3060508966445923,0.19532766938209534,0.20567169785499573
by,0.39727845788002014,0.26783451437950134,0.4408751428127289,0.21417291462421417,0.2368064820766449,0.4408751428127289,0.14325805008411407,0.3646814823150635,0.23665344715118408,0.17966607213020325
müntzer,0.2209564596414566,0.13476693630218506,0.2577848732471466,0.09753530472517014,0.19125860929489136,0.2577848732471466,0.1339099109172821,0.23115643858909607,0.5609318614006042,0.16854120790958405
's,0.05599616840481758,-0.037976399064064026,-0.01540423184633255,-0.03151790797710419,-0.08481216430664062,-0.01540423184633255,-0.03793543204665184,-0.03817026689648628,0.06359266489744186,-0.023395681753754616
execution,0.1693163961172104,0.1705128699541092,0.2074618637561798,0.26044347882270813,0.1777077168226242,0.2074618637561798,0.20539399981498718,0.2427012324333191,0.13191579282283783,0.15878841280937195
",",0.3365725874900818,0.2877303659915924,0.4933079481124878,0.21645475924015045,0.38314947485923767,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.27318111062049866,0.31091248989105225
brought,0.32684946060180664,0.21703863143920898,0.32700833678245544,0.20332005620002747,0.24314077198505402,0.32700833678245544,0.14410138130187988,0.3339962065219879,0.1813696026802063,0.2339296191930771
the,0.3733934462070465,0.2833898365497589,1.0,0.299993097782135,0.457212895154953,1.0,0.2820790410041809,0.733189046382904,0.29454031586647034,0.22068053483963013
revolutionary,0.22930976748466492,0.2502759099006653,0.24521014094352722,0.36515483260154724,0.15717056393623352,0.24521014094352722,0.2977171838283539,0.29118266701698303,0.13065773248672485,0.1343436986207962
stage,0.1983679085969925,0.12336715310811996,0.22652170062065125,0.13168372213840485,0.16777737438678741,0.22652170062065125,0.1581464260816574,0.1389172226190567,0.24359174072742462,0.14916576445102692
of,0.2827862501144409,0.21236225962638855,0.733189046382904,0.21522146463394165,0.42558613419532776,0.733189046382904,0.2291749268770218,1.0,0.29499220848083496,0.1826142966747284
the,0.3733934462070465,0.2833898365497589,1.0,0.299993097782135,0.457212895154953,1.0,0.2820790410041809,0.733189046382904,0.29454031586647034,0.22068053483963013
reformation,0.20763523876667023,0.16434015333652496,0.3290504217147827,0.2981361448764801,0.1682792603969574,0.3290504217147827,0.23113088309764862,0.311197429895401,0.20214423537254333,0.14843040704727173
