,which,task,force,states,that,pornography,is,harmful,?
the,0.6521818041801453,0.22566188871860504,0.2800885736942291,0.3463578522205353,0.5473989248275757,0.09595246613025665,0.5823672413825989,0.19134685397148132,0.22068053483963013
united,0.2821946144104004,0.1511642187833786,0.26005858182907104,0.8952266573905945,0.25567954778671265,0.1715724766254425,0.22408509254455566,0.1446325033903122,0.17266890406608582
methodist,0.16454297304153442,0.05640797317028046,0.11995308846235275,0.3077499568462372,0.18170638382434845,0.17364858090877533,0.14683330059051514,0.1572609841823578,0.1436992734670639
church,0.20821009576320648,0.08679450303316116,0.14272291958332062,0.17393819987773895,0.18300943076610565,0.2132217288017273,0.203276589512825,0.0800529345870018,0.18081501126289368
teaches,0.20112934708595276,0.21274130046367645,0.1282992959022522,0.1709921509027481,0.27677881717681885,0.23566006124019623,0.2536129355430603,0.20060157775878906,0.2008351981639862
that,0.6894589066505432,0.3318406343460083,0.26810982823371887,0.291576623916626,1.0,0.23013688623905182,0.3995479643344879,0.4233596622943878,0.32716336846351624
pornography,0.13601066172122955,0.1917630434036255,0.1601327657699585,0.226881742477417,0.23013688623905182,1.0,0.144915372133255,0.3283432126045227,0.21289344131946564
is,0.4457404911518097,0.19153684377670288,0.22036980092525482,0.21939043700695038,0.3995479643344879,0.144915372133255,1.0,0.24579806625843048,0.22961433231830597
``,0.05178012326359749,0.05618497356772423,0.08451810479164124,0.029627995565533638,0.05285148695111275,-0.08195872604846954,0.058766357600688934,0.01532656978815794,0.0685480609536171
about,0.4059852957725525,0.134719118475914,0.16604140400886536,0.22842468321323395,0.4500710964202881,0.21160615980625153,0.3532065451145172,0.2807667851448059,0.302409827709198
violence,0.23130570352077484,0.1662069708108902,0.29566967487335205,0.23190972208976746,0.2665633261203766,0.3809860348701477,0.17799268662929535,0.2915846109390259,0.20634515583515167
",",0.3658004403114319,0.21093271672725677,0.22091743350028992,0.3315127193927765,0.4137537479400635,0.25669875741004944,0.4691906273365021,0.25202834606170654,0.31091248989105225
degradation,0.454166054725647,0.26918405294418335,0.22942489385604858,0.23459085822105408,0.37782052159309387,0.22466793656349182,0.25428637862205505,0.49124976992607117,0.15629176795482635
",",0.3658004403114319,0.21093271672725677,0.22091743350028992,0.3315127193927765,0.4137537479400635,0.25669875741004944,0.4691906273365021,0.25202834606170654,0.31091248989105225
exploitation,0.24804700911045074,0.19358830153942108,0.25842636823654175,0.16359484195709229,0.21258315443992615,0.3640744090080261,0.21089857816696167,0.3271552324295044,0.2030007243156433
",",0.3658004403114319,0.21093271672725677,0.22091743350028992,0.3315127193927765,0.4137537479400635,0.25669875741004944,0.4691906273365021,0.25202834606170654,0.31091248989105225
and,0.506277859210968,0.23869574069976807,0.24372100830078125,0.2974761426448822,0.4731321930885315,0.1986406296491623,0.3859752118587494,0.25038784742355347,0.20544172823429108
coercion,0.3224737048149109,0.28799763321876526,0.3423994481563568,0.2789282500743866,0.3573834002017975,0.3300328850746155,0.22823862731456757,0.40208086371421814,0.2442706823348999
'',-0.03332270681858063,-0.08154521137475967,-0.09640523791313171,-0.06360612064599991,0.007880004122853279,0.007608215324580669,0.0793738141655922,0.011966550722718239,0.018684765323996544
