,what,did,albrecht,need,the,indulgences,to,pay,for,?
he,0.3114890456199646,0.3292143940925598,0.30674684047698975,0.17839474976062775,0.4571082592010498,0.17424233257770538,0.385390967130661,0.22859731316566467,0.4540175199508667,0.2089974731206894
needed,0.3631289601325989,0.40049824118614197,0.12608006596565247,0.7468620538711548,0.3064746856689453,0.22912633419036865,0.45002421736717224,0.2900870144367218,0.38127243518829346,0.2863257825374603
the,0.42745697498321533,0.34736719727516174,0.2253129929304123,0.2594960331916809,1.0,0.24909545481204987,0.535392165184021,0.1903611719608307,0.4739971458911896,0.22068053483963013
revenue,0.13091668486595154,0.20598828792572021,0.10896911472082138,0.21272878348827362,0.22562649846076965,0.325017511844635,0.18651896715164185,0.4016723930835724,0.2374301701784134,0.16413173079490662
from,0.2737620174884796,0.20248863101005554,0.1352754682302475,0.23362553119659424,0.40150508284568787,0.1380952000617981,0.4069952368736267,0.19024398922920227,0.314039945602417,0.19969791173934937
the,0.42745697498321533,0.34736719727516174,0.2253129929304123,0.2594960331916809,1.0,0.24909545481204987,0.535392165184021,0.1903611719608307,0.4739971458911896,0.22068053483963013
indulgences,0.28368377685546875,0.2802750766277313,0.26642751693725586,0.23224160075187683,0.24909545481204987,1.0,0.2608080208301544,0.2421705275774002,0.18798667192459106,0.21964608132839203
to,0.455847829580307,0.4452643394470215,0.21759264171123505,0.42094892263412476,0.535392165184021,0.2608080208301544,1.0,0.26723966002464294,0.4451248347759247,0.29463258385658264
pay,0.2870062291622162,0.29416757822036743,0.14122682809829712,0.2691105604171753,0.1903611719608307,0.2421705275774002,0.26723966002464294,1.0,0.24382255971431732,0.19821009039878845
off,0.2350364625453949,0.17696987092494965,0.026090409606695175,0.2524535357952118,0.2773582935333252,0.09144304692745209,0.3533020317554474,0.19535160064697266,0.20644043385982513,0.12937544286251068
a,0.3320399522781372,0.2552328109741211,0.21076905727386475,0.30329999327659607,0.5829201340675354,0.20999303460121155,0.45503583550453186,0.1940600425004959,0.44038116931915283,0.23916715383529663
papal,0.12481020390987396,0.17935830354690552,0.20042188465595245,0.15676411986351013,0.24918924272060394,0.42008474469184875,0.2142687439918518,0.2049991488456726,0.1711389422416687,0.18529073894023895
dispensation,0.3519720435142517,0.2657329738140106,0.2160360962152481,0.2951621413230896,0.29653945565223694,0.50014728307724,0.31401899456977844,0.30476659536361694,0.27571699023246765,0.2387525886297226
for,0.3017193675041199,0.318512886762619,0.12431797385215759,0.3668079972267151,0.4739971458911896,0.18798667192459106,0.4451248347759247,0.24382255971431732,0.9999999403953552,0.264628142118454
his,0.26976513862609863,0.3546801507472992,0.3068760931491852,0.14412902295589447,0.4394008219242096,0.31932055950164795,0.3715193271636963,0.21614401042461395,0.39312878251075745,0.18075084686279297
tenure,0.2016105353832245,0.2287319153547287,0.08300252258777618,0.19054195284843445,0.25439196825027466,0.24641390144824982,0.2154904156923294,0.2731294333934784,0.29878389835357666,0.19726786017417908
of,0.33290785551071167,0.2513895630836487,0.21748308837413788,0.24285943806171417,0.733189046382904,0.28176620602607727,0.41548454761505127,0.1583462655544281,0.4185989499092102,0.1826142966747284
more,0.3484537899494171,0.2803135812282562,0.19921942055225372,0.4469633102416992,0.39758381247520447,0.24011999368667603,0.47084665298461914,0.2310299277305603,0.3891189992427826,0.27894994616508484
than,0.29388150572776794,0.24820660054683685,0.10877124220132828,0.36472180485725403,0.3227543234825134,0.18532277643680573,0.3192550539970398,0.20565348863601685,0.30793827772140503,0.24917294085025787
one,0.376489520072937,0.27659472823143005,0.19319936633110046,0.3265838921070099,0.5514441132545471,0.13498549163341522,0.4025384783744812,0.22762547433376312,0.384836345911026,0.2673267424106598
bishopric,0.17773428559303284,0.1778980940580368,0.3141747713088989,0.14711593091487885,0.3057191073894501,0.2987440228462219,0.20434705913066864,0.18679387867450714,0.14068102836608887,0.14644725620746613
.,0.3567904531955719,0.35288307070732117,0.23622198402881622,0.26852357387542725,0.5934505462646484,0.2219848930835724,0.4645031690597534,0.17372290790081024,0.4726039469242096,0.4130953550338745
