,what,effect,does,trade,with,poorer,countries,have,on,the,workers,in,richer,countries,?
when,0.4700249433517456,0.2713961899280548,0.3380102217197418,0.1979909986257553,0.5075214505195618,0.26910069584846497,0.26415354013442993,0.40555819869041443,0.37706470489501953,0.5091903209686279,0.17852024734020233,0.4431333839893341,0.2932776212692261,0.26415354013442993,0.22841128706932068
rich,0.22860300540924072,0.1286655217409134,0.17937467992305756,0.19784407317638397,0.256880521774292,0.44075441360473633,0.22983206808567047,0.2090657353401184,0.15688900649547577,0.2007024586200714,0.2396405041217804,0.21139568090438843,0.6375691294670105,0.22983206808567047,0.13849185407161713
countries,0.22319257259368896,0.21742869913578033,0.2621564269065857,0.3294757902622223,0.33792537450790405,0.41619351506233215,0.9999999403953552,0.3603367507457733,0.2938643991947174,0.33290645480155945,0.3400564193725586,0.3027990758419037,0.3737826347351074,0.9999999403953552,0.15128466486930847
trade,0.1555381417274475,0.20736835896968842,0.15124301612377167,0.9999999403953552,0.2465960830450058,0.2594011127948761,0.3294757902622223,0.24281083047389984,0.20021353662014008,0.2681608200073242,0.3264685571193695,0.23862801492214203,0.3368557393550873,0.3294757902622223,0.09336511790752411
with,0.2464839518070221,0.2349119931459427,0.26186925172805786,0.2465960830450058,0.9999999403953552,0.19812379777431488,0.33792537450790405,0.48046383261680603,0.40749499201774597,0.4223487675189972,0.17668847739696503,0.4080928862094879,0.26564764976501465,0.33792537450790405,0.2433311939239502
poor,0.2570318877696991,0.16942840814590454,0.19849170744419098,0.15740612149238586,0.22900480031967163,0.6273274421691895,0.25384774804115295,0.261106014251709,0.20774881541728973,0.21093174815177917,0.3230462372303009,0.23408232629299164,0.3773938715457916,0.25384774804115295,0.12937016785144806
countries,0.22319257259368896,0.21742869913578033,0.2621564269065857,0.3294757902622223,0.33792537450790405,0.41619351506233215,0.9999999403953552,0.3603367507457733,0.2938643991947174,0.33290645480155945,0.3400564193725586,0.3027990758419037,0.3737826347351074,0.9999999403953552,0.15128466486930847
",",0.3087472915649414,0.2150653600692749,0.28617382049560547,0.1945054978132248,0.4120737314224243,0.22306500375270844,0.2966555655002594,0.3541618287563324,0.49057599902153015,0.4933079481124878,0.17716385424137115,0.5201468467712402,0.25877901911735535,0.2966555655002594,0.31091248989105225
the,0.42745697498321533,0.2865084111690521,0.35928019881248474,0.2681608200073242,0.4223487675189972,0.2263936996459961,0.33290645480155945,0.40389683842658997,0.5107308030128479,1.0,0.23066683113574982,0.6662389636039734,0.27868446707725525,0.33290645480155945,0.22068053483963013
low-skilled,0.23732228577136993,0.22532089054584503,0.24402113258838654,0.3147948086261749,0.30512088537216187,0.4062314033508301,0.23896387219429016,0.30595263838768005,0.22481080889701843,0.29033613204956055,0.390444278717041,0.2875152826309204,0.4162479341030121,0.23896387219429016,0.19992585480213165
workers,0.21390831470489502,0.12591581046581268,0.19339993596076965,0.3264685571193695,0.17668847739696503,0.41682377457618713,0.3400564193725586,0.224677175283432,0.14091183245182037,0.23066683113574982,1.0000001192092896,0.2254374474287033,0.3739997446537018,0.3400564193725586,0.1706571877002716
in,0.30808621644973755,0.25150683522224426,0.214483380317688,0.23862801492214203,0.4080928862094879,0.19442906975746155,0.3027990758419037,0.36843645572662354,0.46853652596473694,0.6662389636039734,0.2254374474287033,1.0,0.21892467141151428,0.3027990758419037,0.20430970191955566
the,0.42745697498321533,0.2865084111690521,0.35928019881248474,0.2681608200073242,0.4223487675189972,0.2263936996459961,0.33290645480155945,0.40389683842658997,0.5107308030128479,1.0,0.23066683113574982,0.6662389636039734,0.27868446707725525,0.33290645480155945,0.22068053483963013
rich,0.22860300540924072,0.1286655217409134,0.17937467992305756,0.19784407317638397,0.256880521774292,0.44075441360473633,0.22983206808567047,0.2090657353401184,0.15688900649547577,0.2007024586200714,0.2396405041217804,0.21139568090438843,0.6375691294670105,0.22983206808567047,0.13849185407161713
countries,0.22319257259368896,0.21742869913578033,0.2621564269065857,0.3294757902622223,0.33792537450790405,0.41619351506233215,0.9999999403953552,0.3603367507457733,0.2938643991947174,0.33290645480155945,0.3400564193725586,0.3027990758419037,0.3737826347351074,0.9999999403953552,0.15128466486930847
may,0.25739946961402893,0.25223419070243835,0.35508081316947937,0.16913652420043945,0.23512546718120575,0.19893741607666016,0.27083462476730347,0.35194188356399536,0.3428080081939697,0.2694292366504669,0.16141897439956665,0.3424151837825775,0.1656104028224945,0.27083462476730347,0.2768254578113556
