,who,ended,the,series,in,1989,?
falling,0.25209540128707886,0.20587563514709473,0.3168080151081085,0.16348539292812347,0.20502512156963348,-0.06644580513238907,0.159834623336792
viewing,0.2167779952287674,0.13474063575267792,0.309763640165329,0.20429834723472595,0.212466761469841,-0.03825946897268295,0.2183355838060379
numbers,0.17436935007572174,0.1268470734357834,0.293011337518692,0.2224692851305008,0.23087690770626068,-0.0008065109723247588,0.19297972321510315
",",0.3365725874900818,0.2682836353778839,0.4933079481124878,0.24060699343681335,0.5201468467712402,0.16465967893600464,0.31091248989105225
a,0.36608949303627014,0.23481619358062744,0.5829201340675354,0.23966510593891144,0.539380669593811,-0.0005065788282081485,0.23916715383529663
decline,0.14159156382083893,0.2531784176826477,0.2774365544319153,0.11060114949941635,0.2551143169403076,0.04651300609111786,0.131937175989151
in,0.2792111933231354,0.3353011906147003,0.6662389636039734,0.2914260923862457,1.0,0.006802527233958244,0.20430970191955566
the,0.3733934462070465,0.3356485068798065,1.0,0.31376904249191284,0.6662389636039734,-0.009533590637147427,0.22068053483963013
public,0.18950407207012177,0.16405083239078522,0.22857438027858734,0.09903182089328766,0.29074716567993164,-0.06347095966339111,0.19872993230819702
perception,0.19391611218452454,0.09634745866060257,0.2696559429168701,0.15847723186016083,0.21692068874835968,-0.0523073673248291,0.1807376742362976
of,0.2827862501144409,0.27636510133743286,0.733189046382904,0.22268271446228027,0.5696388483047485,0.01702592521905899,0.1826142966747284
the,0.3733934462070465,0.3356485068798065,1.0,0.31376904249191284,0.6662389636039734,-0.009533590637147427,0.22068053483963013
show,0.2095358669757843,0.2532934844493866,0.319829523563385,0.41789430379867554,0.27595704793930054,-0.01176610216498375,0.2520138621330261
and,0.41279885172843933,0.2036798745393753,0.5171257257461548,0.26972857117652893,0.4954058527946472,0.014511989429593086,0.20544172823429108
a,0.36608949303627014,0.23481619358062744,0.5829201340675354,0.23966510593891144,0.539380669593811,-0.0005065788282081485,0.23916715383529663
less-prominent,0.33022457361221313,0.12402114272117615,0.3574050962924957,0.15609858930110931,0.33232489228248596,0.13566581904888153,0.21438269317150116
transmission,0.1659122109413147,0.10182081907987595,0.26124435663223267,0.2518768906593323,0.16582068800926208,-0.011993750929832458,0.16372337937355042
slot,0.12752173840999603,0.14637711644172668,0.2677983343601227,0.2947189509868622,0.16402657330036163,0.008256351575255394,0.22194187343120575
saw,0.3193628191947937,0.30504560470581055,0.318278044462204,0.1828347146511078,0.24892163276672363,0.012002017349004745,0.14690998196601868
production,0.11406747996807098,0.1600579172372818,0.2657334506511688,0.19960786402225494,0.22079120576381683,0.024319276213645935,0.19318072497844696
suspended,0.10853397101163864,0.32980138063430786,0.28768354654312134,0.19916848838329315,0.20142072439193726,0.02220997028052807,0.13118882477283478
in,0.2792111933231354,0.3353011906147003,0.6662389636039734,0.2914260923862457,1.0,0.006802527233958244,0.20430970191955566
1989,-0.03504699468612671,-0.0053030564449727535,-0.009533590637147427,0.04167081043124199,0.006802527233958244,1.0,0.08110656589269638
by,0.39727845788002014,0.23570303618907928,0.4408751428127289,0.267352432012558,0.370934396982193,-0.05141887068748474,0.17966607213020325
jonathan,0.23593327403068542,0.14514784514904022,0.15282690525054932,0.19106397032737732,0.1474817991256714,0.16598151624202728,0.15653139352798462
powell,0.29201796650886536,0.1651821881532669,0.2418341487646103,0.2578218877315521,0.2602698802947998,0.2056220918893814,0.2445029318332672
",",0.3365725874900818,0.2682836353778839,0.4933079481124878,0.24060699343681335,0.5201468467712402,0.16465967893600464,0.31091248989105225
controller,0.20875100791454315,0.10531507432460785,0.27023249864578247,0.18197979032993317,0.18732145428657532,-0.046418219804763794,0.2098138928413391
of,0.2827862501144409,0.27636510133743286,0.733189046382904,0.22268271446228027,0.5696388483047485,0.01702592521905899,0.1826142966747284
bbc,0.2086644321680069,0.19128377735614777,0.2735401690006256,0.31758952140808105,0.22430340945720673,0.045454833656549454,0.20556949079036713
1,-0.35742413997650146,-0.19986186921596527,-0.1554475575685501,-0.265503853559494,-0.10660158097743988,0.1018323227763176,-0.249979168176651
.,0.3541337847709656,0.23468057811260223,0.5934505462646484,0.3121925890445709,0.5591574311256409,0.0880250409245491,0.4130953550338745
