,what,famous,indian,'s,actions,were,considered,civil,disobedience,?
``,0.008517155423760414,-0.023729778826236725,0.12306453287601471,-0.03416389226913452,0.13097381591796875,0.006090171169489622,0.06466352939605713,0.06784805655479431,0.06214885041117668,0.0685480609536171
cultural,0.18198847770690918,0.23551371693611145,0.15594355762004852,-0.06630771607160568,0.23669444024562836,0.12753407657146454,0.27571341395378113,0.22340162098407745,0.23987561464309692,0.09798457473516464
revolution,0.1946869045495987,0.2194841206073761,0.14446961879730225,-0.031944599002599716,0.2097761482000351,0.2724667489528656,0.12342444807291031,0.3380163013935089,0.3442854583263397,0.1727980077266693
'',0.08143015950918198,0.08682139962911606,0.044666726142168045,-0.04859459400177002,-0.1100800484418869,0.007215402089059353,0.15465481579303741,-0.062313709408044815,0.003403886454179883,0.018684765323996544
",",0.3087472915649414,0.2816491723060608,0.2407594621181488,-0.0016132977325469255,0.24007150530815125,0.36755475401878357,0.32932984828948975,0.24795588850975037,0.2878543734550476,0.31091248989105225
it,0.45803478360176086,0.1848643571138382,0.16747386753559113,0.06608816236257553,0.2268139123916626,0.25487732887268066,0.3332322835922241,0.17707513272762299,0.2648297846317291,0.25732165575027466
simply,0.4566527307033539,0.2436128854751587,0.1589069813489914,0.003126886673271656,0.24643857777118683,0.22693680226802826,0.33342620730400085,0.120736263692379,0.195425882935524,0.2984147369861603
implies,0.33707395195961,0.16268765926361084,0.1715541034936905,0.10232064127922058,0.2821901738643646,0.2039857655763626,0.338473916053772,0.1548483967781067,0.31109100580215454,0.24269460141658783
sweeping,0.20016790926456451,0.1769036501646042,0.16682110726833344,0.06708671152591705,0.23463594913482666,0.2259848564863205,0.15300433337688446,0.157615527510643,0.25222235918045044,0.16708126664161682
and,0.31309178471565247,0.2970265746116638,0.24078236520290375,0.06895173341035843,0.22014471888542175,0.42175528407096863,0.3359341621398926,0.25259146094322205,0.3041999638080597,0.20544172823429108
widespread,0.236628457903862,0.21646937727928162,0.19322283565998077,0.0231131874024868,0.19981837272644043,0.19632726907730103,0.34457308053970337,0.19120395183563232,0.27042531967163086,0.16958627104759216
change,0.3690716028213501,0.06893432140350342,0.16993160545825958,-0.030620932579040527,0.3017303943634033,0.16264456510543823,0.18784096837043762,0.18202711641788483,0.26300865411758423,0.24115969240665436
to,0.455847829580307,0.12665097415447235,0.19344423711299896,0.03782717138528824,0.27775833010673523,0.31913647055625916,0.2954166829586029,0.2019355595111847,0.30665844678878784,0.29463258385658264
a,0.3320399522781372,0.26728492975234985,0.21449552476406097,0.04866964742541313,0.22348695993423462,0.17203083634376526,0.36109375953674316,0.21693918108940125,0.25352153182029724,0.23916715383529663
section,0.28602200746536255,0.08902359008789062,0.14369530975818634,-0.04603724181652069,0.17518122494220734,0.11460794508457184,0.1502225250005722,0.20814035832881927,0.16898629069328308,0.2733710706233978
of,0.33290785551071167,0.3074295222759247,0.24303589761257172,-0.03817026689648628,0.27202147245407104,0.34038281440734863,0.4190242290496826,0.24698495864868164,0.31932318210601807,0.1826142966747284
the,0.42745697498321533,0.28616565465927124,0.23407642543315887,-0.01540423184633255,0.297427237033844,0.3906462490558624,0.4028765559196472,0.2477465271949768,0.30963727831840515,0.22068053483963013
social,0.22217629849910736,0.1639658659696579,0.15734587609767914,0.030711397528648376,0.23847033083438873,0.18136808276176453,0.19618983566761017,0.2795228660106659,0.323582261800766,0.1615191102027893
fabric,0.2184952050447464,0.1165224239230156,0.07703368365764618,-0.01737976260483265,0.14525315165519714,0.22938431799411774,0.17120639979839325,0.1338081657886505,0.18669210374355316,0.19376210868358612
),0.26259949803352356,0.16251085698604584,0.1789938360452652,0.021107977256178856,0.1893647164106369,0.1566188633441925,0.2430245578289032,0.168956458568573,0.1570320576429367,0.42300865054130554
.,0.3567904531955719,0.2322506159543991,0.2388933300971985,-0.003708066651597619,0.2696916162967682,0.3378238379955292,0.29356086254119873,0.2541380822658539,0.2603943943977356,0.4130953550338745
