,what,have,many,ht,members,graduated,to,joining,?
but,0.5029441118240356,0.5920813083648682,0.46599987149238586,0.09189574420452118,0.24694132804870605,0.1660786271095276,0.5542377829551697,0.2262314260005951,0.27921953797340393
many,0.36131182312965393,0.5841760635375977,0.9999999403953552,0.147587850689888,0.25127971172332764,0.18923063576221466,0.40243685245513916,0.17924098670482635,0.2124512493610382
ht,0.15722720324993134,0.1435459703207016,0.147587850689888,1.0,0.07462678104639053,0.13203564286231995,0.1455899029970169,0.17155340313911438,0.28602924942970276
members,0.16873176395893097,0.2992980480194092,0.25127971172332764,0.07462678104639053,0.9999998807907104,0.17116090655326843,0.26617446541786194,0.3042219579219818,0.10212311148643494
have,0.39808809757232666,0.9999999403953552,0.5841760635375977,0.1435459703207016,0.2992980480194092,0.1272878348827362,0.4544740617275238,0.1699473112821579,0.32991164922714233
gone,0.34073033928871155,0.349427729845047,0.27750852704048157,0.07753297686576843,0.1875210702419281,0.1370549350976944,0.2740478217601776,0.09018261730670929,0.2220623642206192
on,0.34226128458976746,0.36494916677474976,0.32520127296447754,0.12688884139060974,0.22849144041538239,0.16486965119838715,0.41031414270401,0.29309558868408203,0.2714994251728058
to,0.455847829580307,0.4544740617275238,0.40243685245513916,0.1455899029970169,0.26617446541786194,0.1760878711938858,1.0,0.23167216777801514,0.29463258385658264
join,0.22255058586597443,0.2664616107940674,0.1890607327222824,0.11283484101295471,0.3473204970359802,0.23298178613185883,0.34188714623451233,0.6425966620445251,0.13127188384532928
terrorist,0.19741851091384888,0.16343827545642853,0.15369880199432373,0.11375559121370316,0.2098493129014969,0.11887800693511963,0.18544448912143707,0.08496648818254471,0.14968016743659973
groups,0.23137421905994415,0.3388051986694336,0.3662751019001007,0.11118895560503006,0.399208128452301,0.13245582580566406,0.24181967973709106,0.2133563756942749,0.14349548518657684
and,0.31309178471565247,0.4711785912513733,0.5296266674995422,0.11999765783548355,0.2994427978992462,0.2498316913843155,0.48971283435821533,0.3040839731693268,0.20544172823429108
many,0.36131182312965393,0.5841760635375977,0.9999999403953552,0.147587850689888,0.25127971172332764,0.18923063576221466,0.40243685245513916,0.17924098670482635,0.2124512493610382
jihadi,0.21966904401779175,0.20122982561588287,0.1691325306892395,0.1668263077735901,0.24465617537498474,0.11995377391576767,0.16014820337295532,0.13111694157123566,0.21764077246189117
terrorists,0.2413320094347,0.23848310112953186,0.25704139471054077,0.09875718504190445,0.2964208722114563,0.09711646288633347,0.2560475468635559,0.11083298921585083,0.1439061462879181
have,0.39808809757232666,0.9999999403953552,0.5841760635375977,0.1435459703207016,0.2992980480194092,0.1272878348827362,0.4544740617275238,0.1699473112821579,0.32991164922714233
cited,0.28291428089141846,0.24381744861602783,0.1916373372077942,0.10659866780042648,0.15050578117370605,0.17667530477046967,0.17193306982517242,0.104238361120224,0.32995760440826416
ht,0.15722720324993134,0.1435459703207016,0.147587850689888,1.0,0.07462678104639053,0.13203564286231995,0.1455899029970169,0.17155340313911438,0.28602924942970276
as,0.31749409437179565,0.37788212299346924,0.4070141911506653,0.11169295012950897,0.21428564190864563,0.18058374524116516,0.42092081904411316,0.19405613839626312,0.27043893933296204
their,0.35142919421195984,0.523270845413208,0.4574248492717743,0.11449593305587769,0.32611769437789917,0.12531179189682007,0.44619059562683105,0.22124408185482025,0.1898253709077835
key,0.2270265817642212,0.1843632012605667,0.178392693400383,0.056894946843385696,0.1519842892885208,0.10450345277786255,0.25827717781066895,0.06262124329805374,0.18782930076122284
influence,0.2790174186229706,0.26689037680625916,0.3617742955684662,0.04092297703027725,0.20879937708377838,0.1757660061120987,0.23180463910102844,0.1340760439634323,0.14200882613658905
.,0.3567904531955719,0.41614407300949097,0.3974229395389557,0.21034403145313263,0.21119362115859985,0.2082522064447403,0.4645031690597534,0.2284226417541504,0.4130953550338745
