,was,the,use,of,the,datanet,1,name,correct
although,0.3711436688899994,0.3265823423862457,0.29689812660217285,0.3024747669696808,0.3265823423862457,0.1565360128879547,-0.2100122570991516,0.1581835001707077,0.2446754425764084
this,0.3638818562030792,0.6274310946464539,0.4395635426044464,0.45148900151252747,0.6274310946464539,0.28698965907096863,-0.23262733221054077,0.30142447352409363,0.41055020689964294
use,0.17744606733322144,0.34342584013938904,1.0,0.2750902473926544,0.34342584013938904,0.2881544232368469,-0.3067699074745178,0.2562561333179474,0.4214363992214203
of,0.4069072902202606,0.733189046382904,0.2750902473926544,1.0,0.733189046382904,0.21044981479644775,-0.09473495930433273,0.24075818061828613,0.22131142020225525
the,0.48711544275283813,1.0,0.34342584013938904,0.733189046382904,1.0,0.22514942288398743,-0.1554475575685501,0.3171212375164032,0.3107529580593109
name,0.2646567225456238,0.3171212375164032,0.2562561333179474,0.24075818061828613,0.3171212375164032,0.18790414929389954,-0.18995489180088043,1.0,0.2392183244228363
was,1.0000001192092896,0.48711544275283813,0.17744606733322144,0.4069072902202606,0.48711544275283813,0.14156921207904816,-0.2275921255350113,0.2646567225456238,0.178055077791214
incorrect,0.20237639546394348,0.24691730737686157,0.3317551910877228,0.22709675133228302,0.24691730737686157,0.3327888250350952,-0.2501696050167084,0.22763243317604065,0.7036482095718384
all,0.23179835081100464,0.4860881567001343,0.38276857137680054,0.42798417806625366,0.4860881567001343,0.2583182454109192,-0.24701951444149017,0.18820150196552277,0.3137684762477875
these,0.19784674048423767,0.49086877703666687,0.43580424785614014,0.42684608697891235,0.49086877703666687,0.22891643643379211,-0.23614619672298431,0.14334434270858765,0.3364264965057373
services,0.21644414961338043,0.2381475418806076,0.3022276759147644,0.23787347972393036,0.2381475418806076,0.20509980618953705,-0.18245607614517212,0.09585019946098328,0.18367555737495422
were,0.590133786201477,0.3906462490558624,0.26967236399650574,0.34038281440734863,0.3906462490558624,0.1810736209154129,-0.20452795922756195,0.1580192744731903,0.14835889637470245
managed,0.2671484351158142,0.2725190818309784,0.13262107968330383,0.19627609848976135,0.2725190818309784,0.21594449877738953,-0.13360950350761414,0.11870811134576797,0.11544477939605713
by,0.4752357602119446,0.4408751428127289,0.21048003435134888,0.3646814823150635,0.4408751428127289,0.22522233426570892,-0.2582099735736847,0.25480157136917114,0.19553889334201813
the,0.48711544275283813,1.0,0.34342584013938904,0.733189046382904,1.0,0.22514942288398743,-0.1554475575685501,0.3171212375164032,0.3107529580593109
same,0.27172183990478516,0.4583131968975067,0.31930166482925415,0.3808329105377197,0.4583131968975067,0.2781630754470825,-0.2535765469074249,0.29578033089637756,0.3970974087715149
people,0.2518421411514282,0.36838498711586,0.27814626693725586,0.3251037895679474,0.36838498711586,0.19063407182693481,-0.12632082402706146,0.14896078407764435,0.21479469537734985
within,0.19280311465263367,0.39827480912208557,0.24091415107250214,0.39594778418540955,0.39827480912208557,0.1836092174053192,-0.10705036669969559,0.12412691861391068,0.22377847135066986
one,0.3752199709415436,0.5514441132545471,0.3501819968223572,0.4999135136604309,0.5514441132545471,0.2152964174747467,-0.22723202407360077,0.27018114924430847,0.28642192482948303
department,0.22511546313762665,0.32582083344459534,0.19534102082252502,0.3181971311569214,0.32582083344459534,0.23274603486061096,-0.11438196152448654,0.1010289341211319,0.15768611431121826
of,0.4069072902202606,0.733189046382904,0.2750902473926544,1.0,0.733189046382904,0.21044981479644775,-0.09473495930433273,0.24075818061828613,0.22131142020225525
kpn,0.2206350564956665,0.21156582236289978,0.27677497267723083,0.1836925894021988,0.21156582236289978,0.42312419414520264,-0.1701708734035492,0.18509608507156372,0.3462367057800293
contributed,0.301775723695755,0.2633678913116455,0.19690802693367004,0.29837220907211304,0.2633678913116455,0.18832717835903168,-0.19635489583015442,0.09643474221229553,0.19005398452281952
to,0.3636345863342285,0.535392165184021,0.47261837124824524,0.41548454761505127,0.535392165184021,0.21068289875984192,-0.2769182622432709,0.27806994318962097,0.339966356754303
the,0.48711544275283813,1.0,0.34342584013938904,0.733189046382904,1.0,0.22514942288398743,-0.1554475575685501,0.3171212375164032,0.3107529580593109
confusion,0.1521790474653244,0.262265145778656,0.37685996294021606,0.2222754955291748,0.262265145778656,0.19618359208106995,-0.19926969707012177,0.2525513172149658,0.3536384105682373
.,0.40146201848983765,0.5934505462646484,0.3711656630039215,0.5352458953857422,0.5934505462646484,0.3119592070579529,-0.15870751440525055,0.24737101793289185,0.25020819902420044
,was,the,use,of,the,datanet,1,name,correct
