,what,else,did,pamela,jelimo,win,after,the,olympics,?
new,0.2130378633737564,0.18226130306720734,0.227974995970726,0.16431687772274017,0.12241677194833755,0.1801450252532959,0.2620960772037506,0.3845241069793701,0.1119079738855362,0.14782847464084625
athletes,0.17248980700969696,0.13440334796905518,0.15994131565093994,0.08177608251571655,0.19729579985141754,0.22774849832057953,0.14582622051239014,0.25337740778923035,0.611335813999176,0.10964834690093994
gained,0.15457381308078766,0.13237808644771576,0.2939504086971283,0.14270944893360138,0.17018406093120575,0.2904670536518097,0.28177154064178467,0.29543522000312805,0.13777674734592438,0.11261032521724701
attention,0.3020271062850952,0.23955696821212769,0.26100146770477295,0.2117944210767746,0.18116658926010132,0.21491913497447968,0.24947208166122437,0.256243497133255,0.10886034369468689,0.19994445145130157
",",0.3087472915649414,0.2643522322177887,0.3015086054801941,0.2572524845600128,0.31658804416656494,0.2999197840690613,0.38860568404197693,0.4933079481124878,0.2428048849105835,0.31091248989105225
such,0.23989605903625488,0.2111855298280716,0.24497397243976593,0.08425643295049667,0.14773131906986237,0.1025119200348854,0.16916970908641815,0.3575236201286316,0.09647999703884125,0.17851735651493073
as,0.31749409437179565,0.24226929247379303,0.3596470057964325,0.2668076455593109,0.2520263195037842,0.17371131479740143,0.3014480769634247,0.48381632566452026,0.15418526530265808,0.27043893933296204
pamela,0.1385999619960785,0.18413150310516357,0.14754770696163177,0.9999999403953552,0.2560643255710602,0.1501522660255432,0.16200439631938934,0.1094505786895752,0.15733806788921356,0.16894355416297913
jelimo,0.19953007996082306,0.19276969134807587,0.2380591630935669,0.2560643255710602,1.0000001192092896,0.27820613980293274,0.301315039396286,0.23078984022140503,0.22578883171081543,0.21903060376644135
",",0.3087472915649414,0.2643522322177887,0.3015086054801941,0.2572524845600128,0.31658804416656494,0.2999197840690613,0.38860568404197693,0.4933079481124878,0.2428048849105835,0.31091248989105225
