,what,did,tesla,design,several,experimental,setups,to,produce,?
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.21856798231601715,0.39405709505081177,0.21968351304531097,0.22679898142814636,0.45010748505592346,0.21160131692886353,0.20430970191955566
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.17410343885421753,0.32140597701072693,0.25502413511276245,0.22308464348316193,0.3715193271636963,0.12907864153385162,0.18075084686279297
research,0.237140491604805,0.2046227902173996,0.1958596110343933,0.2783496677875519,0.22161950170993805,0.4562932550907135,0.1364496946334839,0.2667310833930969,0.23165765404701233,0.13481977581977844
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.19350415468215942,0.3402247726917267,0.2408483773469925,0.25611796975135803,0.44245919585227966,0.19927625358104706,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.27540352940559387,0.12530387938022614,0.3453822135925293,0.19907326996326447,0.17548894882202148,0.148891881108284,0.10250775516033173
devised,0.1725519299507141,0.26588085293769836,0.18785256147384644,0.31021785736083984,0.17531873285770416,0.34637054800987244,0.22532838582992554,0.23223984241485596,0.22257766127586365,0.13165238499641418
several,0.22446060180664062,0.24080568552017212,0.12530387938022614,0.17682434618473053,1.0,0.22899121046066284,0.3144206702709198,0.36196985840797424,0.21491719782352448,0.15595775842666626
experimental,0.24195317924022675,0.20122288167476654,0.3453822135925293,0.34383895993232727,0.22899121046066284,1.0,0.19218634068965912,0.2292875498533249,0.28256428241729736,0.14400577545166016
setups,0.3130899965763092,0.2201705276966095,0.19907326996326447,0.2892138957977295,0.3144206702709198,0.19218634068965912,1.0,0.36108243465423584,0.3030771315097809,0.2579823136329651
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.26415011286735535,0.36196985840797424,0.2292875498533249,0.36108243465423584,1.0,0.30018290877342224,0.29463258385658264
produce,0.1685742735862732,0.21033655107021332,0.148891881108284,0.2532102167606354,0.21491719782352448,0.28256428241729736,0.3030771315097809,0.30018290877342224,1.0,0.19229066371917725
x-rays,0.28683120012283325,0.26103267073631287,0.08711525052785873,0.1536329835653305,0.21767358481884003,0.17408069968223572,0.3837791681289673,0.3761973977088928,0.277865469455719,0.21474985778331757
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.24995818734169006,0.30276554822921753,0.2673594355583191,0.2767625153064728,0.4645031690597534,0.2587496340274811,0.4130953550338745
