,what,titles,are,the,president,given,?
the,0.42745697498321533,0.28764477372169495,0.40399202704429626,1.0,0.24330610036849976,0.37508252263069153,0.22068053483963013
president,0.1870913952589035,0.1537243127822876,0.06442158669233322,0.24330610036849976,1.0000001192092896,0.14346818625926971,0.14148259162902832
is,0.28837618231773376,0.15148578584194183,0.5330929756164551,0.5823672413825989,0.15443938970565796,0.249215230345726,0.22961433231830597
both,0.3361809551715851,0.3351685702800751,0.4594642221927643,0.4931981563568115,0.1563737988471985,0.28195226192474365,0.19455738365650177
the,0.42745697498321533,0.28764477372169495,0.40399202704429626,1.0,0.24330610036849976,0.37508252263069153,0.22068053483963013
head,0.18919230997562408,0.1880078762769699,0.17707157135009766,0.3079071640968323,0.2684410810470581,0.134385347366333,0.10879309475421906
of,0.33290785551071167,0.24191442131996155,0.39081433415412903,0.733189046382904,0.21610750257968903,0.39388060569763184,0.1826142966747284
state,0.24273863434791565,0.14470776915550232,0.19951030611991882,0.3097178041934967,0.29912376403808594,0.23836591839790344,0.1160883978009224
and,0.31309178471565247,0.2998592257499695,0.48576638102531433,0.5171257257461548,0.23286236822605133,0.30185943841934204,0.20544172823429108
head,0.18919230997562408,0.1880078762769699,0.17707157135009766,0.3079071640968323,0.2684410810470581,0.134385347366333,0.10879309475421906
of,0.33290785551071167,0.24191442131996155,0.39081433415412903,0.733189046382904,0.21610750257968903,0.39388060569763184,0.1826142966747284
government,0.28074538707733154,0.16181617975234985,0.20126859843730927,0.31798112392425537,0.3982211649417877,0.2538663446903229,0.18851417303085327
",",0.3087472915649414,0.28934726119041443,0.4062570035457611,0.4933079481124878,0.26552814245224,0.2843315005302429,0.31091248989105225
and,0.31309178471565247,0.2998592257499695,0.48576638102531433,0.5171257257461548,0.23286236822605133,0.30185943841934204,0.20544172823429108
of,0.33290785551071167,0.24191442131996155,0.39081433415412903,0.733189046382904,0.21610750257968903,0.39388060569763184,0.1826142966747284
a,0.3320399522781372,0.2029639631509781,0.265255331993103,0.5829201340675354,0.16959697008132935,0.3335871398448944,0.23916715383529663
multi-party,0.19697049260139465,0.14529378712177277,0.1832265704870224,0.20989717543125153,0.2824370861053467,0.10185420513153076,0.15437869727611542
system,0.23557309806346893,0.14853331446647644,0.21917270123958588,0.3233085572719574,0.09990190714597702,0.20093633234500885,0.15556083619594574
.,0.3567904531955719,0.26940423250198364,0.3452940285205841,0.5934505462646484,0.26255303621292114,0.3169408142566681,0.4130953550338745
