,what,was,the,objective,of,royal,proclamation,of,1763,?
following,0.2506418824195862,0.16493390500545502,0.39779382944107056,0.23817086219787598,0.3576679527759552,0.15359194576740265,0.24999508261680603,0.3576679527759552,0.1642099767923355,0.1555173695087433
the,0.42745697498321533,0.48711544275283813,1.0,0.24117743968963623,0.733189046382904,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
treaty,0.17237819731235504,0.2409621626138687,0.2690109610557556,0.15265294909477234,0.2602092921733856,0.2107655256986618,0.4167756736278534,0.2602092921733856,0.1456281989812851,0.1174844279885292
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2312176525592804,0.4946078956127167,0.24590183794498444,0.30962246656417847,0.4946078956127167,0.10973798483610153,0.31091248989105225
king,0.18449601531028748,0.27377256751060486,0.25887003540992737,0.04228352755308151,0.2938710153102875,0.3860742747783661,0.27274465560913086,0.2938710153102875,0.0775013417005539,0.19130074977874756
george,0.22000353038311005,0.2601471245288849,0.2510760426521301,0.1480812430381775,0.22097964584827423,0.2521124482154846,0.2659553587436676,0.22097964584827423,-0.05199771746993065,0.1479024887084961
iii,0.09164873510599136,0.22718268632888794,0.18552400171756744,0.054163578897714615,0.21691277623176575,0.1664012223482132,0.22901877760887146,0.21691277623176575,0.08304347097873688,0.13642357289791107
issued,0.18988175690174103,0.273990273475647,0.22837360203266144,0.1726253181695938,0.2873246371746063,0.2307099848985672,0.41606447100639343,0.2873246371746063,0.09053809195756912,0.169851616024971
the,0.42745697498321533,0.48711544275283813,1.0,0.24117743968963623,0.733189046382904,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
royal,0.16189028322696686,0.2874114215373993,0.2997032403945923,0.1312745213508606,0.3112924098968506,0.9999999403953552,0.27630332112312317,0.3112924098968506,0.10489785671234131,0.11453001946210861
proclamation,0.3069993257522583,0.27917757630348206,0.3199230134487152,0.21039526164531708,0.31100159883499146,0.27630332112312317,0.9999998807907104,0.31100159883499146,0.06008606776595116,0.2521890103816986
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2389526516199112,1.0,0.3112924098968506,0.31100159883499146,1.0,0.15998519957065582,0.1826142966747284
1763,0.10448963940143585,-0.025243915617465973,0.08999345451593399,0.07813166826963425,0.15998519957065582,0.10489785671234131,0.06008606776595116,0.15998519957065582,0.9999999403953552,0.1296161562204361
