,who,is,the,field,director,of,the,nfl,?
nfl,0.13425186276435852,0.12479410320520401,0.15305201709270477,0.1883016675710678,0.18031010031700134,0.1524115800857544,0.15305201709270477,1.0,0.10610254108905792
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.26487240195274353,0.28465452790260315,0.5116966962814331,0.5171257257461548,0.2080700695514679,0.20544172823429108
atlanta,0.22318808734416962,0.10383545607328415,0.23474927246570587,0.254586786031723,0.17911075055599213,0.15147250890731812,0.23474927246570587,0.33077457547187805,0.15733501315116882
braves,0.23729166388511658,0.15919795632362366,0.28074514865875244,0.30262520909309387,0.15368413925170898,0.21468786895275116,0.28074514865875244,0.46905410289764404,0.1798563301563263
field,0.18098586797714233,0.17269009351730347,0.2105809599161148,1.0,0.13045033812522888,0.20410659909248352,0.2105809599161148,0.1883016675710678,0.11279727518558502
director,0.19509299099445343,0.1963709592819214,0.19949141144752502,0.13045033812522888,1.0,0.14731334149837494,0.19949141144752502,0.18031010031700134,0.09360282123088837
ed,0.1637633740901947,0.11459767818450928,0.21412420272827148,0.07541534304618835,0.1517615020275116,0.19821499288082123,0.21412420272827148,0.1639038324356079,0.16764874756336212
mangan,0.15074826776981354,0.2950025200843811,0.15731443464756012,0.09448862820863724,0.16000911593437195,0.18529467284679413,0.15731443464756012,0.1747453361749649,0.1834498792886734
stated,0.25916561484336853,0.19155573844909668,0.2814950942993164,0.1291855275630951,0.17812666296958923,0.22148488461971283,0.2814950942993164,0.17967255413532257,0.24280361831188202
that,0.45444270968437195,0.3995479643344879,0.5473989248275757,0.2216513603925705,0.1329808384180069,0.41498205065727234,0.5473989248275757,0.15213505923748016,0.32716336846351624
the,0.3733934462070465,0.5823672413825989,1.0,0.2105809599161148,0.19949141144752502,0.733189046382904,1.0,0.15305201709270477,0.22068053483963013
field,0.18098586797714233,0.17269009351730347,0.2105809599161148,1.0,0.13045033812522888,0.20410659909248352,0.2105809599161148,0.1883016675710678,0.11279727518558502
was,0.3318818509578705,0.5810302495956421,0.48711544275283813,0.15975919365882874,0.30621418356895447,0.4069072902202606,0.48711544275283813,0.20145657658576965,0.18412111699581146
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.20553018152713776,0.19124983251094818,0.5696388483047485,0.6662389636039734,0.12599408626556396,0.20430970191955566
``,0.02397952415049076,0.058766357600688934,0.029072100296616554,0.02440645918250084,-0.012710071168839931,0.06780257821083069,0.029072100296616554,0.06351951509714127,0.0685480609536171
great,0.24061277508735657,0.1345067322254181,0.2822027802467346,0.11655192077159882,0.09555206447839737,0.3168134391307831,0.2822027802467346,0.08441508561372757,0.13135133683681488
shape,0.17813456058502197,0.2674638032913208,0.29087939858436584,0.20756827294826508,0.12010859698057175,0.2597946226596832,0.29087939858436584,0.11834775656461716,0.11426173895597458
'',0.024401003494858742,0.0793738141655922,0.041273195296525955,0.037462469190359116,0.004423821810632944,0.13035868108272552,0.041273195296525955,-0.027741191908717155,0.018684765323996544
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.24342265725135803,0.2707504630088806,0.4185989499092102,0.4739971458911896,0.23749186098575592,0.264628142118454
gameday,0.25644901394844055,0.1944466382265091,0.2590949237346649,0.2774827480316162,0.22475101053714752,0.20844827592372894,0.2590949237346649,0.4230652153491974,0.24951578676700592
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.23224417865276337,0.2119152843952179,0.5352458953857422,0.5934505462646484,0.1964210718870163,0.4130953550338745
