,how,much,money,did,a,1/2,minute,commercial,cost,?
cbs,0.2092750519514084,0.10767864435911179,0.1358264833688736,0.15259867906570435,0.16314536333084106,0.17600221931934357,0.21769653260707855,0.16281317174434662,0.1723526418209076,0.14594407379627228
broadcast,0.17885947227478027,0.13251926004886627,0.19737383723258972,0.17054221034049988,0.2046348601579666,0.1048813909292221,0.2957013249397278,0.2591072916984558,0.13827234506607056,0.15760008990764618
super,0.11920704692602158,0.17592276632785797,0.16830426454544067,0.16038043797016144,0.26005712151527405,0.06547113507986069,0.17703157663345337,0.20105868577957153,0.1336439698934555,0.166326642036438
bowl,0.1720007210969925,0.13628067076206207,0.15875811874866486,0.18569406867027283,0.19533146917819977,0.10414750128984451,0.16801349818706512,0.16026756167411804,0.2092275321483612,0.21118052303791046
50,0.014565115794539452,0.018970422446727753,0.053980231285095215,0.03749820590019226,0.034183140844106674,-0.025895413011312485,-0.11304541677236557,0.04720782861113548,-0.040493376553058624,0.030512850731611252
in,0.2601168751716614,0.2725222110748291,0.2393328845500946,0.2593238651752472,0.539380669593811,0.06090612709522247,0.19168905913829803,0.2615188956260681,0.25200018286705017,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.2699695825576782,0.34736719727516174,0.5829201340675354,0.08184071630239487,0.1967015564441681,0.23051398992538452,0.23177006840705872,0.22068053483963013
u.s.,0.08785518258810043,0.020610811188817024,0.03726629912853241,0.11472565680742264,0.0347411222755909,0.007183114532381296,0.09939887374639511,-0.0730244517326355,0.024254169315099716,0.07886100560426712
",",0.22659391164779663,0.36182254552841187,0.24156853556632996,0.3015086054801941,0.427140474319458,0.12903504073619843,0.1875860095024109,0.26546892523765564,0.20970560610294342,0.31091248989105225
and,0.33647966384887695,0.38395699858665466,0.3070235550403595,0.34479495882987976,0.3739250600337982,0.128742054104805,0.20974476635456085,0.240259051322937,0.2846847474575043,0.20544172823429108
charged,0.12999585270881653,0.1953027844429016,0.269765704870224,0.18427717685699463,0.21603477001190186,0.11716827750205994,0.06647671014070511,0.04050228372216225,0.24120937287807465,0.1305682212114334
an,0.2520636022090912,0.2866077721118927,0.13617588579654694,0.22598257660865784,0.44552403688430786,0.1839543581008911,0.058212488889694214,0.19474388659000397,0.15845364332199097,0.19793890416622162
average,0.2824462950229645,0.3068808615207672,0.21623267233371735,0.13524195551872253,0.23812800645828247,0.059986721724271774,0.26646238565444946,0.07954645156860352,0.2914794087409973,0.21764592826366425
of,0.2480744868516922,0.2671096920967102,0.23114095628261566,0.2513895630836487,0.5052502155303955,0.14199262857437134,0.14535203576087952,0.21107374131679535,0.23332229256629944,0.1826142966747284
$,0.18718640506267548,0.205519899725914,0.49513715505599976,0.23203131556510925,0.22939236462116241,0.16382649540901184,0.24976544082164764,0.23296304047107697,0.5133980512619019,0.2786129117012024
5,0.03444203734397888,0.03798956796526909,0.013624994084239006,0.08429081737995148,0.07282212376594543,-0.12032447010278702,0.028537379577755928,0.1487063467502594,0.0013155064079910517,0.06222071498632431
million,0.21114659309387207,0.2792966067790985,0.30804139375686646,0.1815238744020462,0.1811940222978592,0.08506732434034348,0.21522898972034454,0.20363874733448029,0.3814373016357422,0.23092924058437347
for,0.3308170735836029,0.2994346022605896,0.3105318546295166,0.318512886762619,0.44038116931915283,0.15690995752811432,0.2039429098367691,0.25690725445747375,0.2728281319141388,0.264628142118454
a,0.29312583804130554,0.2958075702190399,0.2777978479862213,0.2552328109741211,1.0,0.07917226105928421,0.25094980001449585,0.2696971893310547,0.21993719041347504,0.23916715383529663
30-second,0.2274654656648636,0.2756809592247009,0.14569951593875885,0.14861270785331726,0.3324473798274994,0.056506186723709106,0.3695417046546936,0.11541673541069031,0.23334260284900665,0.18454498052597046
commercial,0.11456913501024246,0.23865090310573578,0.23524533212184906,0.17984269559383392,0.2696971893310547,0.0732850432395935,0.2006390243768692,1.0,0.27838024497032166,0.04216946288943291
during,0.26830652356147766,0.2644806206226349,0.2237977385520935,0.30679523944854736,0.30341604351997375,0.09093338251113892,0.22324718534946442,0.13566018640995026,0.2707549035549164,0.1325719803571701
the,0.33890387415885925,0.35023224353790283,0.2699695825576782,0.34736719727516174,0.5829201340675354,0.08184071630239487,0.1967015564441681,0.23051398992538452,0.23177006840705872,0.22068053483963013
game,0.215279221534729,0.18956831097602844,0.23270222544670105,0.19789010286331177,0.23211604356765747,0.02241566590964794,0.25192198157310486,0.20594170689582825,0.18034349381923676,0.1829071193933487
.,0.3287222981452942,0.3374604284763336,0.2570818066596985,0.35288307070732117,0.50484299659729,0.18857021629810333,0.23421281576156616,0.2460125982761383,0.26134178042411804,0.4130953550338745
