,who,wrote,the,mutants,?
on,0.2340552806854248,0.23949672281742096,0.5107308030128479,0.16146668791770935,0.2714994251728058
31,-0.14438095688819885,-0.06078394129872322,0.12550820410251617,-0.0774359256029129,-0.017570214346051216
july,0.2606464624404907,0.19260744750499725,0.2371699959039688,0.07375480234622955,0.2897891402244568
1963,-0.045281361788511276,-0.021451491862535477,0.03728247061371803,0.06413417309522629,0.03411978855729103
whitaker,0.29821738600730896,0.22058553993701935,0.1699712723493576,0.21422022581100464,0.11579956114292145
commissioned,0.21646440029144287,0.24174918234348297,0.2864282727241516,0.09285943955183029,0.13426002860069275
terry,0.22585463523864746,0.1970079094171524,0.19178617000579834,0.236644446849823,0.15594738721847534
nation,0.23936018347740173,0.09778764843940735,0.39486879110336304,0.24807022511959076,0.17865248024463654
to,0.42656609416007996,0.18888387084007263,0.535392165184021,0.2646252512931824,0.29463258385658264
write,0.3035011887550354,0.6017370820045471,0.23380951583385468,0.16608315706253052,0.3189060389995575
a,0.36608949303627014,0.232523575425148,0.5829201340675354,0.17959284782409668,0.23916715383529663
story,0.3106299340724945,0.3812693655490875,0.2915393114089966,0.2131885588169098,0.2304346114397049
under,0.2962189018726349,0.20004644989967346,0.3348022699356079,0.12759174406528473,0.18233340978622437
the,0.3733934462070465,0.2426944375038147,1.0,0.2691003978252411,0.22068053483963013
title,0.18150031566619873,0.17148008942604065,0.27465343475341797,0.0389186330139637,0.34551161527633667
the,0.3733934462070465,0.2426944375038147,1.0,0.2691003978252411,0.22068053483963013
mutants,0.31213510036468506,0.10829617083072662,0.2691003978252411,1.0,0.17525936663150787
.,0.3541337847709656,0.2480330765247345,0.5934505462646484,0.19261300563812256,0.4130953550338745
