,what,is,the,name,of,the,desert,on,the,border,of,arizona,?
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.17189157009124756,0.41031414270401,0.535392165184021,0.20692045986652374,0.41548454761505127,0.1879066824913025,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.5107308030128479,1.0,0.2856229841709137,0.733189046382904,0.22572119534015656,0.22068053483963013
east,0.19840149581432343,0.2596127688884735,0.3383176326751709,0.20845475792884827,0.314786434173584,0.3383176326751709,0.26414957642555237,0.20555776357650757,0.3383176326751709,0.38017842173576355,0.314786434173584,0.15721413493156433,0.10070597380399704
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.18520480394363403,0.3635730445384979,0.5823672413825989,0.22676031291484833,0.4854315221309662,0.1692543476819992,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.5107308030128479,1.0,0.2856229841709137,0.733189046382904,0.22572119534015656,0.22068053483963013
colorado,0.1414678543806076,0.13344717025756836,0.24470749497413635,0.1339608132839203,0.17896123230457306,0.24470749497413635,0.3184441030025482,0.1674119234085083,0.24470749497413635,0.16211764514446259,0.17896123230457306,0.6227549314498901,0.15461322665214539
desert,0.25473538041114807,0.18520480394363403,0.234701469540596,0.11032266914844513,0.20448997616767883,0.234701469540596,1.0,0.23958668112754822,0.234701469540596,0.25663289427757263,0.20448997616767883,0.3060772120952606,0.16409924626350403
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.23454883694648743,0.4077630043029785,0.5171257257461548,0.29048892855644226,0.5116966962814331,0.20476846396923065,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.5107308030128479,1.0,0.2856229841709137,0.733189046382904,0.22572119534015656,0.22068053483963013
colorado,0.1414678543806076,0.13344717025756836,0.24470749497413635,0.1339608132839203,0.17896123230457306,0.24470749497413635,0.3184441030025482,0.1674119234085083,0.24470749497413635,0.16211764514446259,0.17896123230457306,0.6227549314498901,0.15461322665214539
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.17863500118255615,0.19903257489204407,0.2894456386566162,0.2176361232995987,0.2033996731042862,0.2894456386566162,0.3592299520969391,0.19903257489204407,0.19158510863780975,0.15390869975090027
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.11450952291488647,0.42558613419532776,0.457212895154953,0.14469215273857117,0.4806317389011383,0.457212895154953,0.18072058260440826,0.42558613419532776,0.1613936722278595,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.5107308030128479,1.0,0.2856229841709137,0.733189046382904,0.22572119534015656,0.22068053483963013
border,0.26696228981018066,0.22676031291484833,0.2856229841709137,0.1466246247291565,0.24084383249282837,0.2856229841709137,0.25663289427757263,0.21844281256198883,0.2856229841709137,0.9999998807907104,0.24084383249282837,0.17427074909210205,0.1706928312778473
