,what,was,compounding,seen,as,being,in,the,locomotive,construction,industry,?
the,0.42745697498321533,0.48711544275283813,0.2295212745666504,0.3442007005214691,0.48381632566452026,0.419739305973053,0.6662389636039734,1.0,0.22304096817970276,0.2671978175640106,0.26942890882492065,0.22068053483963013
adoption,0.2520635426044464,0.25843802094459534,0.1644463688135147,0.1489323377609253,0.2650686502456665,0.2485858052968979,0.24107742309570312,0.27656617760658264,0.2134881317615509,0.25805380940437317,0.2809038758277893,0.23771828413009644
of,0.33290785551071167,0.4069072902202606,0.27413690090179443,0.28639769554138184,0.3886612355709076,0.34885138273239136,0.5696388483047485,0.733189046382904,0.21016043424606323,0.2815735340118408,0.27385562658309937,0.1826142966747284
compounding,0.26605767011642456,0.13572673499584198,0.9999998807907104,0.22852274775505066,0.3089309334754944,0.34212392568588257,0.20182771980762482,0.2295212745666504,0.1930103451013565,0.2080334722995758,0.2196534126996994,0.22128498554229736
was,0.22111038863658905,1.0000001192092896,0.13572673499584198,0.2286430299282074,0.3677520453929901,0.5201660394668579,0.45514053106307983,0.48711544275283813,0.17496159672737122,0.224521666765213,0.28708288073539734,0.18412111699581146
common,0.19989867508411407,0.0880795493721962,0.35177525877952576,0.24664051830768585,0.2140667736530304,0.14820167422294617,0.23149342834949493,0.2705984115600586,0.13554175198078156,0.12546473741531372,0.20637105405330658,0.20434872806072235
for,0.3017193675041199,0.3863949179649353,0.2905847132205963,0.24296747148036957,0.44774648547172546,0.41687241196632385,0.4322226941585541,0.4739971458911896,0.21255847811698914,0.2193669229745865,0.29360833764076233,0.264628142118454
industrial,0.16054853796958923,0.2614017128944397,0.28860175609588623,0.0942872017621994,0.20984408259391785,0.23178434371948242,0.3118434548377991,0.30435431003570557,0.2883261442184448,0.3859542906284332,0.677371084690094,0.08039500564336777
units,0.1804584264755249,0.20471836626529694,0.23234988749027252,0.12793637812137604,0.20228685438632965,0.1801549643278122,0.24701444804668427,0.2691343426704407,0.38729000091552734,0.22143356502056122,0.16657856106758118,0.089388407766819
",",0.3087472915649414,0.45456063747406006,0.2131453901529312,0.28642043471336365,0.48816442489624023,0.34499165415763855,0.5201468467712402,0.4933079481124878,0.19542674720287323,0.23704268038272858,0.24502649903297424,0.31091248989105225
for,0.3017193675041199,0.3863949179649353,0.2905847132205963,0.24296747148036957,0.44774648547172546,0.41687241196632385,0.4322226941585541,0.4739971458911896,0.21255847811698914,0.2193669229745865,0.29360833764076233,0.264628142118454
