,combustion,is,caused,by,an,oxidant,and,a,fuel,.,what,role,does,oxygen,play,in,combustion,?
fire,0.2860585153102875,0.20205499231815338,0.20034219324588776,0.17999815940856934,0.18738067150115967,0.2169567346572876,0.2478165328502655,0.2617572844028473,0.28269287943840027,0.2511917054653168,0.19359004497528076,0.07740101218223572,0.14444611966609955,0.2802748680114746,0.16894416511058807,0.2514701783657074,0.2860585153102875,0.14396874606609344
and,0.21818570792675018,0.3859752118587494,0.2892237603664398,0.4289871156215668,0.2838519215583801,0.1817924827337265,1.0,0.3739250600337982,0.22683054208755493,0.588965117931366,0.31309178471565247,0.2629789710044861,0.3461615741252899,0.22261030972003937,0.25634777545928955,0.4954058527946472,0.21818570792675018,0.20544172823429108
explosion,0.3941623568534851,0.24345266819000244,0.3221873342990875,0.1463220864534378,0.20868036150932312,0.2454526275396347,0.1627763956785202,0.30481159687042236,0.34611502289772034,0.22781632840633392,0.1955919712781906,0.09385313838720322,0.1381784826517105,0.3274453580379486,0.12893958389759064,0.2978370189666748,0.3941623568534851,0.14159642159938812
hazards,0.30838117003440857,0.21223413944244385,0.30865898728370667,0.14667564630508423,0.14709652960300446,0.31383079290390015,0.2855883836746216,0.25150901079177856,0.3399985134601593,0.29686102271080017,0.24034540355205536,0.151540145277977,0.22950014472007751,0.2633306086063385,0.11347227543592453,0.2056831270456314,0.30838117003440857,0.22479578852653503
exist,0.21047541499137878,0.24373944103717804,0.15931454300880432,0.09378909319639206,0.13855355978012085,0.1960761696100235,0.2538236081600189,0.20179782807826996,0.13954630494117737,0.29937607049942017,0.3340267241001129,0.10763625800609589,0.3743518888950348,0.2037280946969986,0.15442414581775665,0.2361043095588684,0.21047541499137878,0.28923845291137695
when,0.3128659725189209,0.3471449911594391,0.3178572356700897,0.4376842677593231,0.33026179671287537,0.23338434100151062,0.4716290831565857,0.44397395849227905,0.19850334525108337,0.475719153881073,0.4700249433517456,0.2170606553554535,0.3380102217197418,0.28107690811157227,0.2209858000278473,0.4431333839893341,0.3128659725189209,0.22841128706932068
concentrated,0.25924617052078247,0.25344735383987427,0.24049249291419983,0.25088223814964294,0.1905803680419922,0.31877413392066956,0.337016761302948,0.22587455809116364,0.31878069043159485,0.2786614000797272,0.20476274192333221,0.16546331346035004,0.18856865167617798,0.2913258969783783,0.15021879971027374,0.29073235392570496,0.25924617052078247,0.11501483619213104
oxidants,0.4449343979358673,0.20412951707839966,0.24351558089256287,0.1922483742237091,0.1044512391090393,0.9317748546600342,0.20517461001873016,0.14788439869880676,0.36319446563720703,0.20457129180431366,0.17175498604774475,0.17055903375148773,0.18795044720172882,0.5864989161491394,0.12546779215335846,0.1723872423171997,0.4449343979358673,0.14465956389904022
and,0.21818570792675018,0.3859752118587494,0.2892237603664398,0.4289871156215668,0.2838519215583801,0.1817924827337265,1.0,0.3739250600337982,0.22683054208755493,0.588965117931366,0.31309178471565247,0.2629789710044861,0.3461615741252899,0.22261030972003937,0.25634777545928955,0.4954058527946472,0.21818570792675018,0.20544172823429108
fuels,0.6321029663085938,0.21151012182235718,0.2179187536239624,0.1740596890449524,0.22479680180549622,0.4298954904079437,0.23425807058811188,0.18871913850307465,0.7826094627380371,0.22267504036426544,0.2505243420600891,0.1866932362318039,0.2571444809436798,0.4373892545700073,0.17781640589237213,0.17114129662513733,0.6321029663085938,0.22506318986415863
